sujet;texte;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0
Avis défavorable au Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup, le 30 novembre 2023 à 19h53;Bonjour, Je suis défavorable à ce projet, en effet, un loup mort ne peut plus apprendre à contrario d’un loup avant subit un tir dissuasif. Cordialement;;;;;;;;;;;;;;;;
Avis favorable à cet arrêté., le 30 novembre 2023 à 20h03;"Je retiens tous les items développés dans l’argumentaire ; ils me semblent cohérents et prennent bien en compte l’ensemble de la problématique actuelle de la question.";;;;;;;;;;;;;;;;
NON au projet d’arrêter concernant le loup, le 30 novembre 2023, le 30 novembre 2023 à 20h08;Des études de terrains (menés notamment au parc de Yellowstone) ont mis en évidence  l’importance du loup comme espèce clé de l’écosystème. Nous devons rendre au loup l’espace et la vie auxquels il a droit pour assurer à nos enfants la terre et l’oxygène auxquels ils ont droit ! Il est urgent que l’homme entende les sommations de la Terre (ouragans, tsunamis, tremblements de terre, fonte de la calotte glacière, épuisement de l’eau douce) et reconnaisse son devoir d’intégrer un nouveau paramètre : la préservation de la nature. Regardons, observons les loups !  Aujourd’hui, sur cette Terre où l’homme pratique le grand génocide de la vie, le loup est l’avenir de l’Homme !;;;;;;;;;;;;;;;;
Non au projet, le 30 novembre 2023 à 20h13;Le loup est essentiel pour l’écosystème. Il faudrait plutôt des patous pour défendre les moutons.;;;;;;;;;;;;;;;;
Nouveau projet, le 30 novembre 2023 à 20h22;"Nous souhaitons que le plan national loup intègre : • Un volet spécifique sur l’impact du loup sur la faune sauvage • Stabilise la population à 1100 loups sans la dépasser avec une répartition sur l’ensemble du pays • Propose une gestion adaptative du loup par massif ou département en tenant compte des enjeux agricoles, touristiques, cynégétiques. • Fixe un plafond de prélèvement admissible de 25% minimum pour enrayer la hausse des effectifs ; • Autoriser les éleveurs et les chasseurs à utiliser les jumelles mais également les lunettes thermiques ; • Autoriser les tirs de prélèvements en action de chasse à partir du 1er juin sur les zones concernées par des attaques importantes ; • Revoir le système de comptage en utilisant de nouvelles méthodes comme les enregistreurs sonores";;;;;;;;;;;;;;;;
"La France au dessus des lois ?
, le 30 novembre 2023 à 20h32";Comment se fait il que la France s affranchisse de manière régulière des règles de base sur les espèces protégées ( car il ne s agit pas uniquement du loup). Vos signatures sur les traités de protection de la biodiversité ne semble pas vous engager beaucoup et cela à l heure ou la première ministre s en fait gloire dans les médias. D autres solutions existent et vous le savez parfaitement mais les chasseurs ont l oreille de certains  et c est bien malheureux tant pour la vie sauvage que pour ceux qui aiment et désirent protéger la nature. D autres part les attaquent imputées aux loups sont purement déclaratives et bien dédommagées par l état sans la moindre enquète. A l heure ou on utilise les tests adn pour les crottes de chiens peut être pourrait on au minimum vérifier les chiffres réels de celles dues au loup et non aux chiens.;;;;;;;;;;;;;;;;
Non prise en compte de tous les avis, le 30 novembre 2023 à 20h38;Le Conseil National de Protection de la Nature a émis  de nombreuses réserves quant au texte de la proposition d arrêté mais aucune n à été  prise en compte;;;;;;;;;;;;;;;;
Loup, le 30 novembre 2023 à 20h39;Nous souhaitons que le plan national loup intègre • Un volet spécifique sur l’impact du loup sur la faune sauvage • Stabilise la population à 1100 loups sans la dépasser avec une répartition sur l’ensemble du pays • Propose une gestion adaptative du loup par massif ou département en tenant compte des enjeux agricoles, touristiques, cynégétiques. • Fixe un plafond de prélèvement admissible de 25% minimum pour enrayer la hausse des effectifs • Autoriser les éleveurs et les chasseurs à utilier les jumelles mais également les lunettes thermiques • Autoriser les tirs de prélèvements en action de chasse à partir du 1er juin sur les zones concernées par des attaques importantes • Revoir le système de comptage en utilisant de nouvelles méthodes comme les enregistreurs sonores;;;;;;;;;;;;;;;;
Loup_2024-2029_gestion1234, le 30 novembre 2023 à 20h42;***Nous souhaitons que le plan national loup intègre • Un volet spécifique sur l’impact du loup sur la faune sauvage • Stabilise la population à 1100 loups sans la dépasser avec une répartition sur l’ensemble du pays • Propose une gestion adaptative du loup par massif ou département en tenant compte des enjeux agricoles, touristiques, cynégétiques. • Fixe un plafond de prélèvement admissible de 25% minimum pour enrayer la hausse des effectifs • Autoriser les éleveurs et les chasseurs à utilier les jumelles mais également les lunettes thermiques • Autoriser les tirs de prélèvements en action de chasse à partir du 1er juin sur les zones concernées par des attaques importantes • Revoir le système de comptage en utilisant de nouvelles méthodes comme les enregistreurs sonores;;;;;;;;;;;;;;;;
Respecte le droit du loup à vivre, le 30 novembre 2023 à 20h43;Je suis absolument contre le projet du gouvernement d’éradiquer le loup. La cohabitation est parfaitement possible.;;;;;;;;;;;;;;;;
Favorable , le 30 novembre 2023 à 20h43;"Si vous ne voyez pas ce message correctement, consultez-le en ligne. Madame, Monsieur, La consultation du public sur le projet d’arrêté ministériel ""fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup et sur le projet du  futur plan national d’actions 2024-2029 sur le loup et les activités d’élevage"" est ouverte jusqu’au 07 décembre. Il vous suffit de cliquer sur le lien ci-après pour  accéder sur le site Internet du Ministère de la Transition écologique et solidaire. Plan national loup cliquez-ici Arrêté fixant les conditions de destruction cliquez-ici La Fédération départementale des Chasseurs accueille favorablement l’infléchissement avec la possibilité pour les éleveurs et les chasseurs d’utiliser une caméra thermique et d’avoir 3 tireurs autour d’un troupeau dans le cadre des tirs de défense. Le plan d’action national envisage de travailler sur le changement de statut du loup au sein de la Directive habitats et de la Convention de Berne. Cette avancée peut être saluée,  néanmoins, c’est largement insuffisant avec l’absence de prise en compte de l’impact du loup sur la faune sauvage et la poursuite de l’expansion des populations sans gestion adaptée. Nous vous demandons donc de laisser un message pour donner votre avis sur le loup.Nous vous invitions à reprendre le texte ci-dessous : Nous souhaitons que le plan national loup intègre • Un volet spécifique sur l’impact du loup sur la faune sauvage • Stabilise la population à 1100 loups sans la dépasser avec une répartition sur l’ensemble du pays • Propose une gestion adaptative du loup par massif ou département en tenant compte des enjeux agricoles, touristiques, cynégétiques. • Fixe un plafond de prélèvement admissible de 25% minimum pour enrayer la hausse des effectifs • Autoriser les éleveurs et les chasseurs à utilier les jumelles mais également les lunettes thermiques • Autoriser les tirs de prélèvements en action de chasse à partir du 1er juin sur les zones concernées par des attaques importantes • Revoir le système de comptage en utilisant de nouvelles méthodes comme les enregistreurs sonores";;;;;;;;;;;;;;;;
Le loup, le 30 novembre 2023 à 20h45;Chaque animal a sa place sur notre terre !;;;;;;;;;;;;;;;;
Non à la modification du décret visant à assouplir les conditions de protection du loup, le 30 novembre 2023 à 16h12;"L’avenir du loup ne doit supporter aucune compromission. La préservation du loup est un devoir d’intérêt général vis-à-vis de la protection de la biosiversite et de la transmission de ce patrimoine aux générations futures. Les intérêts particuliers (éleveurs, chasseurs,bétail qui ne sont pas en voie de disparition…..) doivent passer après l’intérêt général !!! Lorsque j’entends "" lieutenant de louveterie"" j’entends privilèges d’un temps ancien que nous devons abolir. Ce sont les lois appuyées sur l’opinion publique qui doivent dicter la voie à suivre. Non aux modifications des derogations accordéesau préfet,arrangements entre gens qui n’aiment pas la vie et ne cessent de la détruire.";;;;;;;;;;;;;;;;
Avis défavorable au projet d’arrêté fixant les dérogations permettant une destruction du loup, le 30 novembre 2023 à 16h35;A partir du moment ou le CNPN est défavorable au projet, comment ne pas l’entendre ? Toutes dérogations permettant la destruction d’espèces protégées est dangereuses pour sa préservation.;;;;;;;;;;;;;;;;
Non aux dérogations, le 30 novembre 2023 à 16h38;Le loup fait partie des habitants de nos territoires . Il en avait été chassé abusivement. Nous en avons besoin pour réguler nos populations de sangliers et de chevreuils !  C’est une espèce protégée et il ne devrait même pas être possible d’effectuer des tirs de prélèvement ciblés. Qu’un berger riposte à une attaque avérée de loup sur son troupeau, cela se comprend mais que l’Etat organise la destruction systématique d’une espèce protégée , c’est scandaleux !;;;;;;;;;;;;;;;;
Préservation de la faune sauvage, le 30 novembre 2023 à 16h47;L’Homme détruit l’équilibre naturel des lieux où il s’installe depuis des siècles, il est temps d’arrêter et de mettre les neurones dont il est si fier au service de la cohabitation avec les animaux sauvages.;;;;;;;;;;;;;;;;
Non, le 30 novembre 2023 à 16h52;Non à ce projet honteux, le loup est et doit rester une espèce protégée, plus de 3/4 des français partagent cet avis, apprenez à les écouter !!!;;;;;;;;;;;;;;;;
Avis défavorable, le 30 novembre 2023 à 16h53;Ce projet constitue une véritable guerre au loup, de manière irrationnelle . Il ne s’agit plus de protéger les troupeaux domestiques mais bien de mettre fin à l’expansion du loup, en contradiction avec les engagements internationaux de la France. Nous voici revenu au Moyen Age !;;;;;;;;;;;;;;;;
NON au projet d’arrêté ci-dessus concernant le LOUP, le 30 novembre 2023 à 16h55;Préservation de la faune sauvage, le 30 novembre 2023 à 16h47 L’Homme détruit l’équilibre naturel des lieux où il s’installe depuis des siècles, il est temps d’arrêter et de mettre les neurones dont il est si fier au service de la cohabitation avec les animaux sauvages.;;;;;;;;;;;;;;;;
Avis défavorable.  Exposé des motifs., le 30 novembre 2023 à 16h59;"À l’écrasante majorité de 16 voix contre une, le Conseil national de protection de la nature a émis un avis défavorable au projet d’arrêté soumis à consultation. Les objections formulées paraissent recevables et il conviendrait au moins de les prendre en compte dans la mise en perspective du projet qui est donnée ici. Non seulement, ce n’est pas le cas, mais cette présentation de la situation est un dossier à charge, étriqué et court termiste. L’existence de populations de loups sur notre territoire comporte certains avantages. Il n’y est pas du tout fait mention dans la présentation. De plus, il n’est pas admissible que la question du seuil critique de 500 individus, qui semble faire l’objet d’une confusion, ne soit pas mieux précisée en réponse au commentaire du CNPN. Une erreur sur ce point pourrait en effet menacer l’objectif même de la réintroduction des loups dans notre pays. Les enjeux se situent à l’échelon des écosystèmes. C’est dans cette perspective que les quantités de meutes et d’individus doivent être évaluées. La vitalité d’un écosystème et les effets multiples de son autorégulation ne peuvent pas être appréciés à partir des taux de croissance annuels (population et actes de prédation) entre 2017 et 2022. Il faut laisser à toutes les composantes de ce système le temps de se développer pour que les différentes boucles de régulation se stabilisent. Une fois ce temps écoulé, l’évaluation des dynamiques et celle de leurs effets doivent être globales, c’est-à-dire porter sur l’ensemble des composantes de l’écosystème et pas seulement sur certaines d’entre elles. Il en va de même de l’analyse des impacts positifs et négatifs des mesures possibles pour rechercher un effet particulier. La présentation des mesures de modification de l’arrêté, soumise à consultation est très éloignée de cet idéal. Comme l’indique la Cour des comptes dans le cas des bovins (""les soutiens publics aux éleveurs de bovins""), à côté des productions alimentaires, les activités des éleveurs rendent des services sociétaux et environnementaux. Dans le cas des ovins, il convient de faire figurer l’acceptation de l’existence des loups et ses bienfaits parmi les services rendus de manière collatérale. Cela justifie pleinement les aides qui doivent bien légitimement être apportées aux éleveurs, comme le financement, actuellement ""à un niveau élevé"", des salaires de bergers supplémentaires, leur sensibilisation et leur formation. Certes l’incertitude que le loup fait peser en permanence sur l’activité des éleveurs affecte leur qualité de vie. La réponse à cette situation ne doit cependant pas être en priorité la destruction des loups. Le temps qu’il convient de se donner doit être utilisé à la fois pour comprendre pourquoi ""le nombre d’animaux tués ou blessés par les loups est plus important en France qu’ailleurs"" et à la fois pour développer des modes de protection mieux adaptés. Il est loisible, par exemple, de se demander si le ministère de la Transition écologique ne devrait pas engager une coopération avec celui des armées, pour développer des tactiques de protection contre les attaques ainsi que des matériels simples et non-létaux de défense des troupeaux, c’est-à-dire produisant des effets non cinétiques (ultrasons, flash lumineux… ?). L’éthique commande en effet de n’en venir à la destruction d’animaux qu’une fois toutes les autres options explorées. En conclusion, j’exprime un avis défavorable au projet de modification de l’arrêté qui est soumis à consultation. Je suis en revanche favorable à une politique qui comporte des mesures de soutien aux éleveurs, des recherches pour améliorer les connaissances et des travaux permettant d’améliorer les moyens de protection des cheptels.";;;;;;;;;;;;;;;;
NON au projet d’arrêté ci-dessus concernant le LOUP, le 30 novembre 2023 à 16h59;Le LOUP est une espèce protégée… Controlez avant tout svp s’il ne s’agit pas de chiens errants… c’est très souvent le cas;;;;;;;;;;;;;;;;
Incohérences…, le 30 novembre 2023 à 17h00;Comment se fait il que l’on soit en train d’augmenter et de faciliter les tirs létaux alors même que, 1/ leur efficacité est mise en cause dans l’augmentation de la prédation au travers de l’éparpillement des meutes, 2/ leur utilisation n’est pas corrélée à la mise en place au préalable de tous les moyens de protection existant et applicables, 3/ que les tirs d’effarouchement ne sont pas mis en place. Ces mesures exceptionnelles et extrêmes sont devenues la norme. Veut-on réellement réintégrer ce grand prédateur dans l’écosystème,  OUI ou NON?;;;;;;;;;;;;;;;;
Conditions tirs , le 30 novembre 2023 à 17h04;Conditions illogiques et irrationnelles.;;;;;;;;;;;;;;;;
Biodiversité , le 30 novembre 2023 à 17h17;Faisons plus confiance aux arguments des scientifiques plutôt qu’à ceux des éleveurs qui ne voient que leur profit. Il y a urgence de maintenir la biodiversité et les équilibres naturels;;;;;;;;;;;;;;;;
Non aux dérogation, le 30 novembre 2023 à 17h22;De nombreux pays vivent avec leurs loups, qu’avons nous de particulier pour que cela ne nous soit pas possible ? Il est temps que nous vivions en harmonie avec la nature et dans ce cadre nul animal n’est nuisible…… sauf, peut-être l’animal humain !;;;;;;;;;;;;;;;;
ARRET du massacre des loups, le 30 novembre 2023 à 17h24;Il est urgent de changer notre regard sur la faune sauvage et de réaliser que la biodiversité apporte à l’équilibre des écosystèmes naturels. Redonnons de la place aux autres espèces en assumant politiquement la légitimité de leur présence à nos côtés.;;;;;;;;;;;;;;;;
Avis défavorable au projet d’arrrété relatif au tir des loups., le 30 novembre 2023 à 17h26;Les tirs sur des animaux protégés par les accords de protection européens sont tout simplement hors la loi. Faire une loi pour les autoriser est en contravention par rapport à ces lois qui défendent la biodiversité et cet espèce en particulier. Les tirs létaux sur les loups relèvent d’une méconnaissance totale des fontionnements de lois naturelles. Une protection bien mise en place évite plus surement des prédations que des tirs qui nourrissent la dispersion d’une espèce. Et puis c’est tout simplement barbare !;;;;;;;;;;;;;;;;
Sans titre, le 30 novembre 2023 à 17h26;Non à cette tuerie facile, c’est la porte ouverte à tout, protégeons le loup et en même temps aidons vraiment les éleveurs à proteger leurs troupeaux dans de bonnes conditions car je comprend que ce n’est pas facile.;;;;;;;;;;;;;;;;
COMME D’HABITUDE !, le 30 novembre 2023 à 17h26;"Comme d’habitude, les avis des scientifiques sur les questions d’environnement ne sont pas pris en compte. Comme d’habitude, les responsables politiques et administratifs ne cherchent pas d’autres solutions que la destruction (la ""régulation"" comme ils disent). Qu’ils aillent voir en Italie ou en Espagne, par exemple, comment font ceux-ci. Comme d’habitude, la France est la honte de l’Europe sur ces questions qui, pour plusieurs d’entre elles, nous coûtent, à nous les citoyens, une fortune en amendes ! Un peu de courage, Mesdames et Messieurs.";;;;;;;;;;;;;;;;
Le  loup dans l’écosystème , le 30 novembre 2023 à 17h28;Il est nécessaire de prendre en compte les avis des scientifiques  concernant la place du loup et son rôle important pour la faune sauvage ainsi que l’avis du Groupe National Loup . Le projet de modification du statut du loup en cours d’élaboration ne tient pas suffisamment compte de ces avis argumentés.;;;;;;;;;;;;;;;;
avis défavorable, le 30 novembre 2023 à 17h28;Ecoutons les scientifiques, défavorables à ce projet,  et non des arguments spécieux et orientés. N’oublions pas que des éleveurs s’accommodent de la présence des loups et posons-nous des questions sur ceux que le loup dérange tellement. Le loup doit être strictement protégé au nom de nos  écosystèmes, et non massacré en contradiction avec le droit européen.;;;;;;;;;;;;;;;;
Protégeons les loups, le 30 novembre 2023 à 17h33;Pourquoi s’en prendre aux loups et systématiquement ne voir que les aspects négatifs de leur présence et non les bénéfices pour l’écosystème ? Je suis sûre qu’il est possible de cohabiter en accompagnant davantage les bergers et les habitants, en communiquant, en mettant en place des mesures concrètes (clôtures électrifiées, chiens, réintégrer une présence humaine avec le troupeau, …).  Il faut préserver la faune sauvage et non la détruire.;;;;;;;;;;;;;;;;
Stop à l’abattage des espèces protégées, le 30 novembre 2023 à 16h12;"Il faut avant tout trouver des solutions alternatives à l’abattage des espèces sauvages d’autant plus si elles sont protégées. Je considère que le PNA précédent n’a pas d’analyse détaillée sur les bénéfices apportés par la protection des troupeaux et l’efficacité supposée des tirs létaux, alors que ce sont deux éléments centraux du plan. Il me semble essentiel de prendre en compte les avis scientifiques et les travaux du Groupe National Loup ; il faut considérer les aspects positifs et négatifs de la présence du loup et du pastoralisme et non pas les aspects négatifs du loup et positifs du pastoralisme. A noter que le Conseil National de Protection de la Nature, instance scientifique indépendante consultée dans le cadre de l’élaboration de ce PNA, a produit un avis négatif qui met en avant notamment des points énumérés ci-dessus, sans que cela ait conduit à la moindre modification du texte. A nouveau, la force des Lobbys a réussi à avoir gain de cause. Je m’oppose à ces mesures qui ne prennent pas en compte tous les aspects du problème. Apprenons à vivre avec les espèces protégées et stoppons les abattages.";;;;;;;;;;;;;;;;
Protection totale du Loup !, le 30 novembre 2023 à 16h02;Le Loup est un être sensible qui participe pleinement à l’équilibre de la faune de notre pays. Que les éleveurs gardent leurs troupeaux ou les fassent garder en engageant un berger au lieu de les abandonner à eux-mêmes et de ne leur rendre visite que juste avant le passage du boucher !;;;;;;;;;;;;;;;;
Avis défavorable , le 30 novembre 2023 à 16h07;En fait,c’est une véritable destruction du loup qui est mise en place puisque le projet consiste à diminuer la population des loups alors qu’il s’agit d’une espèce protégée.Autoriser les tirs sans avoir subi d’attaque est proprement irresponsable.;;;;;;;;;;;;;;;;
Au XXIè siècle, ils en sont encore au fusil !!!, le 30 novembre 2023 à 15h50;Le PNA précédent n’a fait l’objet d’aucune analyse sur les bénéfices apportés par la protection des troupeaux et l’efficacité supposée des tirs mortels alors qu’il s’agit de deux éléments centraux du Plan. Le Conseil National de Protection de la Nature ,instance scientifique indépendante consultée lors de l’élaboration de ce PNA, a donné un avis négatif qui n’a évidemment pas modifié le texte Il est parfaitement invraisemblable qu’alors qu’on réalise des progrès scientifiques et techniques inouïs, le progrès moral n’ait pas dépassé l’âge préhistorique.;;;;;;;;;;;;;;;;
Un plan beaucoup trop timide, des éleveurs délaissés, le 30 novembre 2023 à 15h52;L’élevage français - pour ne pas dire européen - paie le tribut d’une écologie qui repose sur une anthropologie douteuse, laquelle souhaiterait que l’homme retourne à l’état de nature. Elevons le débat, et cessons de penser qu’il faut soit sauver le loup, soit l’éradiquer. Tout est question de priorité. Depuis des années, les gouvernants ont fait le choix de sauvegarder le loup coûte que coûte, au point que cela est devenu plus important que de maintenir l’activité agro-pastorale dans nos territoires ruraux. Cette dernière est aujourd’hui clairement menacée de disparaître, et toutes les aménités économiques et positives qui s’y attachent. J’en appelle au réalisme du gouvernement. Les dispositifs juridiques en place sont complexes au possible, et extrêmement restrictifs. L’idéologie qui leur est sous-jacente est baignée idéalisme, il faut s’adapter au terrain.;;;;;;;;;;;;;;;;
NON à ce projet d’arrêté visant à tuer toujours plus de loups, le 30 novembre 2023 à 15h54;"Une fois de plus, la FNSEA et les chasseurs crient ""Au loup !"" et le gouvernement accourt… Sans aucun fondement, preuve, légitimité. Pour une poignée d’intérêts personnels et financiers, plutôt que d’oeuvrer pour le bien commun et l’intérêt général. Une fois de plus, une espèce sauvage est vue comme ennemie, car elle dérange ces hommes qui pensent être en droit de dominer et d’exploiter totalement la Nature, de ""réguler"".  Les chasseurs se targuent d’être là pour ""réguler"" les populations d’ongulés sauvages ? Mais ne vous donnez pas cette peine Messieurs, laissez-donc faire la nature toute seule, avec ses prédateurs naturels qui font cela très bien, bien mieux que vous même ! Ah mais non, cela vous priverait de votre loisir morbide favori… tuer des animaux pour le plaisir… Quelle hypocrisie !! Les éleveurs se plaignent des attaques sur les troupeaux ? Pourquoi ne parle-t-on jamais dans ce cas des attaques effectuées par les chiens divagants ? 10 fois plus nombreuses que celles effectuées par les loups ! Et quid du nombre de bêtes mortes de maladie ou de chutes ? Bien plus grand là aussi que le nombre d’attaques de loup… Mais non bien sûr, le loup, ce grand méchant, c’est tellement plus facile et éloquent… on ne va quand même pas aller chercher dans le détail et dans la finesse d’analyse… Et avant de demander des tirs ""de défense"", ""de prélèvement"", ou quelqu’autre terme édulcorant décrivant en fait le massacre organisé et légalisé de la population lupine, a-t-on vérifié que tous les éleveurs ont bien mis en place les moyens de protection de troupeaux à leur disposition ? Ceux-ci ont largement prouvé leur efficacité.  Les tirs d’effarouchement et les tirs non létaux ont un effet d’apprentissage sur les loups. Les tirs létaux n’en ont aucun. Pourtant, ils ont votre préférence.  Mais l’on sait bien pourquoi les éleveurs crient ""au loup !"" à la moindre attaque : les indemnisations sont fort généreuses ! Ce nouveau PNA n’a aucun fondement : aucune évaluation de l’efficacité du précédent PNA n’a été effectuée !  AUCUNE étude n’a prouvé l’efficacité des tirs de loup, AUCUNE !!!  Les avis scientifiques sont DEFAVORABLES à votre façon de gérer ! SUR QUOI VOUS BASEZ-VOUS ???? (on l’a bien compris, sur aucun fondement raisonné et raisonnable, mais sur incitations de lobbies de la destruction du vivant) Aux solutions qui ont démontré une véritable efficacité sur la baisse des prédations sur les troupeaux, vous choisissez celles qui n’en ont démontré aucune ! C’est totalement absurde, dénué de sens et de raison. Quant à envisager de déclasser le loup de son statut de protection, c’est tout simplement abject… A peine 1000 individus, et vous vous permettez de penser que l’espèce n’est pas en danger (enfin, que dis-je, c’est déjà le cas, puisque vous autorisez le massacre de 20% de sa population chaque année !)  J’imagine donc que s’il ne restait que 1000 humains en France, vous seriez également d’accord pour que l’espèce humaine ne soit pas protégée, et qu’on puisse en tuer 200 chaque année ? ! Etant donnés les ravages que provoque l’espèce humaine sur la nature, on peut la considérer extrêmement plus nuisible que le loup ! Appliquons donc le même raisonnement ! Pour rappel (mais vous le savez très bien), pour pouvoir déclasser une espèce, il faut que sa population soit viable à long terme démographiquement mais aussi génétiquement. C’est loin d’être le cas en France à l’heure actuelle. Vous vous permettez, depuis des années, de bafouer allègrement les règlements européens, la convention de Berne, la directive Habitats Faune-Flore. L’Europe a condamné les années passées la France pour ses agissements à l’encontre de la protection de la biodiversité et des règlements européens, mais vous montrez une fois de plus votre arrogance en n’en tenant absolument pas compte. Les loups, comme toutes les autres espèces sauvages, ont leur place dans l’écosystème et participent à son bon fonctionnement. Nous, humains, faisons partie intégrante de cet écosystème naturel et sauvage, et nous avons besoin qu’il soit en bonne santé pour vivre.  L’ARGENT NE SE MANGE PAS ! Privilégier encore et toujours les intérêts personnels et financiers des lobbies de l’agriculture intensive, c’est faire un calcul à très court terme, qui nous mène droit dans le mur.  Quand tout le sauvage sera détruit, quand les sols seront lessivés et épuisés et ne pourront plus rien faire pousser à force d’exploitation intensive et de pesticides, quelles solutions proposerez-vous alors ? ! Il faudra alors assumer vos choix, vos politiques, et avoir le courage de dire droit dans les yeux à vos petits-enfants ""j’ai oeuvré et j’ai participé volontairement à cette destruction du vivant"". Sinon, ayez le courage MAINTENANT d’élever votre voix contre les puissants lobbies de la FNSEA et consort, et de revoir votre copie en choisissant l’abandon de ce projet d’arrêté.  Ayez le courage de choisir l’intérêt général et la protection du vivant pour le long terme.  NOUS EN AVONS TOUS BESOIN, y compris vous et votre descendance.  Rien ne peut vous mettre à l’abri des conséquences incroyablement néfastes de la destruction du vivant telle qu’elle est orchestrée actuellement.  Seule l’action pour inverser la tendance le peut.  Nous avons besoin du loup, comme de toutes les autres espèces sauvages. Nous avons besoin de laisser la nature se débrouiller. C’est le plus grand bien que l’on puisse se faire à nous-même.  Abandonnez purement et simplement ce projet d’arrêté. PROTEGEZ LE LOUP ! Réellement !";;;;;;;;;;;;;;;;
NON à ce projet d’arrêté, le 30 novembre 2023 à 15h49;on ne nous parle que des dégâts des loups mais les loups sont utiles comme super-prédateurs pour réguler la biodiversité A quand une étude sur les dégâts faits au sol et à la nature par l’hyperpastoralisme ? Le loup est une espèce protégée et doit le rester;;;;;;;;;;;;;;;;
NON au plan anti-loup, le 30 novembre 2023 à 15h47;Une espèce protégée et menacée ne doit pas être abattue !    Le loup est un stabilisateur naturel de l’écosystème dans lequel nous vivons. C’est à nous de nous adapter et non l’inverse. Nous voulons toujours plus d’élevage et nous nous accaparons des terres sauvages sur lesquels ils vivent. L’élevage et le loup doivent cohabiter, regardez les avis scientifiques et les travaux du Groupe National Loup.      La Convention de Berne de 1979 vise la protection de la faune sauvage ! Il faut suivre les avis du Conseil National de Protection de la Nature. Décidément ce monde marche sur la tête. On réintègre le loup, on le protège, puis on veut à nouveau l’exterminer … C’est complètement insensé;;;;;;;;;;;;;;;;
Stop aux tirs de loups, le 30 novembre 2023 à 15h45;"En 2023, il est inadmissible que tuer des loups soit la seule solution pour aider les éleveurs. Comme chaque être vivant, le loup a toute sa place en France. Prédateur opportuniste, il prélève les animaux malades et affaiblis, évitant ainsi la propagation d’épidémies. Il permet aussi de réguler la prolifération de cervidés, sangliers etc. sans présenter les inconvénients liés à la chasse (nourrissage et lâcher de gibier ; accidents, parfois mortels, trop nombreux chaque année). Il existe d’autres solutions pour aider les éleveurs : financement de chiens de protection, de clôtures… malheureusement pas assez utilisées : trop souvent, nous voyons des troupeaux sans surveillance divaguer, proies faciles pour n’importe quel prédateur (loup, chien errant…) Si le troupeau n’est pas surveillé et qu’une attaque survient, la faute en incombe au gouvernement qui n’a pas su accompagner l’éleveur, ou à ce dernier s’il n’a pas utilisé les aides mises à sa disposition. Par ailleurs, les tirs ne réduisent pas la prédation, bien au contraire : en dispersant les meutes, ils la font augmenter. Autoriser les tirs de loups, c’est favoriser de nouvelles pertes pour les éleveurs (pertes qui seront indemnisées par l’État, c’est à dire le contribuable). Rappelons que 84% des Français sont favorables à une stricte protection du loup (https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/etude-84-francais-sont-faveur-protection-loups-1843238.html), alors que les chasseurs ne représentent qu’une minorité, certes bruyante, mais absolument pas représentative de la population. Comme 84% des Français, j’attends de l’État qu’il prenne des mesures écologiquement sensées sur la question du loup ; tant que le gouvernement d’Emmanuel Macron foulera au pied l’écologie, je lui refuserai mon vote. Oui à des solutions sensées telles que le financement de chiens de protection de troupeaux et de clôtures ! Non au massacre des loups qui paient une fois de plus pour l’incompétence d’un gouvernement trop complaisant envers le lobby de la chasse ! L’humain n’est pas maître sur Terre : il doit apprendre à cohabiter avec le reste du vivant et non le massacrer.";;;;;;;;;;;;;;;;
Avis défavorable, le 30 novembre 2023 à 15h38;"Je comprends l’objectif mais le processus proposé de destruction du loup est contreproductif. Il va contribuer à augmenter le nombre de louveteaux dans les portées et à disséminer l’espèce avec des jeunes loups potentiellement prédateurs sur les troupeaux. Il serait préférable de laisser l’espèce s’autoréguler. Si les territoires voisins sont déjà occupés par une autre meute, la meute occupant un territoire aura moins de petits, voire les laissera mourir dans les premiers mois. Il est indispensable de garder les adultes qui ont l’habitude du territoire et ne s’attaquent pas aux troupeaux en se nourrissant dans le milieu naturel, quitte à éliminer l’individu particulier qui viendrait attaquer aux troupeaux. Conclusion : modifier impérativement la méthode qui figure dans le PNA en prenant en compte les avis des scientifiques.  Conseil : aller voir le film ""Vivre avec les loups"".";;;;;;;;;;;;;;;;
Non au plan anti-loup, le 30 novembre 2023 à 15h29;Je suis contre le plan anti loup. Les loups participent à l’équilibre de son écosystème : apprenons à connaitre mieux le loup plutôt qu’à le combattre.;;;;;;;;;;;;;;;;
