sujet;texte
Avis défavorable , le 29 novembre 2023 à 17h28;J’exprime un avis absolument défavorable concernant ce projet de PNA 2024 2029 sur le loup et les activités d’élevage.
Plan anti loup, le 29 novembre 2023 à 17h29;A l’heure d’une perte gravissime de la biodiversité,  il est irresponsable de vouloir encore tuer des loups.
Avis défavorable, le 29 novembre 2023 à 10h03;Le pastoralisme et la présence du loup et de l’ours est souhaitable tant pour l’acceptation que l’être humain doit cohabiter avec les autres espèces animales non invasives, mais aussi pour la fierté d’être de vrais bergers connectés à leur environnement, qui gardent leur troupeau et mettent en place des systèmes efficaces (subventionnés d’ailleurs) pour protéger les bêtes (chiens, et clôtures…), les nombreux accidents ayant eu lieu sont la plupart dus au délaissement des bêtes en montagne sans surveillance ou pas assez opérationnelle.
Je dis NON au projet de PNA 2024-2029 sur le loup et les activités d’élevage, le 29 novembre 2023 à 10h04;Je suis une citoyenne concernée par la préservation de notre biodiversité, et je m’adresse à vous pour exprimer mon opposition au projet de Plan National d’Actions (PNA) 2024-2029 sur le loup et les activités d’élevage. Mon opposition repose sur plusieurs motifs que je souhaiterais partager avec vous. 1- Arguments basés sur des preuves scientifiques : Je vous encourage à considérer les données scientifiques démontrant le rôle crucial du loup dans l’équilibre des écosystèmes, en particulier en tant que régulateur des populations d’espèces proies. Une réduction drastique de la population de loups pourrait avoir des conséquences graves sur la biodiversité et la stabilité des écosystèmes. 2- Promotion de la cohabitation : Plutôt que de chercher à limiter la présence du loup dans son aire de répartition naturelle, je suggère de privilégier des approches axées sur la cohabitation entre le loup et les activités humaines. Des exemples de succès de coexistence dans d’autres régions du monde montrent qu’il est possible d’adopter des mesures de protection des troupeaux et de former les éleveurs pour minimiser les conflits. 3- Considérations éthiques et légales : Il est primordial de respecter nos engagements internationaux en matière de conservation de la biodiversité, notamment en ce qui concerne la protection des espèces sauvages. Favoriser la coexistence est non seulement éthique mais également en accord avec nos obligations légales. 4- Implications économiques alternatives : Je vous encourage à explorer des solutions économiquement viables pour les éleveurs, telles que la mise en place de mesures de protection des troupeaux, la formation des éleveurs, et d’autres approches qui favorisent la cohabitation. Je vous prie de prendre en considération ces arguments dans l’examen du projet de PNA sur le loup. Plutôt que de privilégier des mesures de destruction, je vous invite à promouvoir des stratégies basées sur des preuves scientifiques solides qui visent la coexistence harmonieuse entre le loup et les activités humaines.
NON AU PLAN OUI A LA PLEINE PROTECTION DU LOUP, le 29 novembre 2023 à 10h28;Un plan simplifié serait inadmissible et indigne. Le loup doit reste pleinement protégé.
Non au plan loup, le 29 novembre 2023 à 10h28;Il parait impensable de continuer a prendre des mesures qui nuisent à la biodiversité de notre pays, et ce malgré les avis défavorables des instances consultées (le texte de la consultation mentionne clairement que ’Le Conseil national de la protection de la nature (CNPN) a donné un avis défavorable le 19 octobre 2023 sur ce plan national d’actions’). L’état doit s’élever à la hauteur des enjeux.
Plan Loup, le 24 novembre 2023 à 19h31;Non a l’abattage de cette espèce protégée ! Le gouvernement de surcroit indemnise les éleveurs   même si  les loups ne sont pas responsables ( chien errants etc ….) . Laissez ces animaux réguler la chaine alimentaires … D’autres pays cohabitent parfaitement avec le loup . Messieurs les politiques  arrêtez  votre hypocrisie . Gérard .
Non au plan de destruction du loup, le 24 novembre 2023 à 19h32;Allez vous encore une fois être influence par une poignée d’éleveur qui ne protègent par leur bétail ou plutôt allez vous écoutez enfin l’avis des français non à la politique d’abattage des loups
Plan loups, le 24 novembre 2023 à 19h34;Il n’y a qu’en France que l’on soit incapable d’adapter l’élevage à la faune sauvage. Comment peut on encore faire cohabiter la présence du loup avec un élevage surdimensionné, incontrôlable et sans protection. Pourtant il existe des solutions mises en pratique dans d’autres pays européens et qui fonctionnent très bien. Les chiens de protection, subventionnés par l’état, font très bien leur travail. Alors pourquoi faire payer à l’autre ce que l’on peut faire soi même. Le loup a son rôle à jouer dans la nature comme n’importe quel autre animal. Ne déséquilibrons pas plus la nature. De plus s’il s’agit de soutenir la filière ovine en France, arrêtons l’importation de Nouvelle Zélande et autres pays.
NON au PNA, le 24 novembre 2023 à 19h34;"Arrêtons de supprimer les espèces sauvages parce qu’elles ""gênent"" les activités humaines.  Nous avons besoin de cette biodiversité pour continuer à vivre sur cette planète. Prenons exemple sur d’autres territoires."
NON au plan loup, le 24 novembre 2023 à 19h36;Non à la destruction d’une espèce protégée. Les éleveurs doivent pouvoir vivre en harmonie avec le loup en basant la protection des troupeaux non pas sur la destruction systématique mais sur la prévention et la protection. Gouverner ne doit pas consister à abonder dans le sens de ceux qui crient le plus fort mais à préserver les équilibres. Je pense que personne ne lira les commentaires et que si les avis défavorables sont majoritaires, ils ne seront pas pris en compte
Non au Plan National Action sur le loup et les activités d’élevage, le 24 novembre 2023 à 19h36;Non au Plan National Action sur le loup et les activités d’élevage
Stop aux débilités , le 24 novembre 2023 à 19h41;Arrêtez de massacrer, car c’est bien d’un véritable carnage que l’on parle, les loups comme les marmottes et autres animaux indispensables pour la biodiversité. C’est malheureux que dans ce pays, aucune cohabitation entre les loups et les hommes ne puissent exister, alors que dans d’autres pays, ce n’est pas un problème. Diminuer le nombre d’animaux dans les troupeaux, comme ça se fait depuis longtemps en Italie, prendre des patous, il existe des solutions intelligentes pourtant !!!!!! Le loup était là avant l’homme, et dans cette époque de fous, on ne veut pas lui laisser sa place, il n’a plus le droit de se nourrir, de vivre !!!! On réduit son espace vital à une peau de chagrin, au nom du fric et pour simplement satisfaire une catégorie d’individus… qui pour la plupart, sont totalement ignares quant à la biodiversité et qui se permettent du droit de vie ou de mort d’animaux précieux, intelligents, et qui méritent de rester sur cette terre , certainement bien plus que certains humains !!!! Alors STOP à ce plan complètement débile et inutile, fouttez la paix aux magnifiques loups et aux autres animaux sauvages, et préoccupez vous plutôt des dramatiques problèmes entre humains. C’est NON, NON, mille fois NON à cet odieux abattage gratuit et nul !!!!!
Le loup est une menace, le 24 novembre 2023 à 19h42;"Aucun loup ne doit vivre en France. Cet animal ne cherche pas seulement à se nourrir, il tue également par plaisir tous les animaux à sa portée (moutons, veaux, chiens, …). À 15 km de chez moi il est venu tuer 20 brebis qui étaient protégées dans un parc électrifié aux normes de l’État.. et tout ça au pied des maisons. Aucune cohabitation possible, inutile de tout réinventer et de cracher sur le travail des anciens qui avaient compris tout cela en s’en débarrassant jusqu’au dernier.  Et vraiment arrêtons le fantasme ""dans certains pays ça se passe bien"". C’est d’une hypocrisie sans nom. Les éleveurs s’en sortent uniquement en abbatant clandestinement des grandes quantités de loups. Et les journalistes font des articles en disant ""regardez c’est génial en Italie il y a un équilibre"". Stop…"
Non  au projet, le 24 novembre 2023 à 19h43;La nature se rrgule bien toute seule. Le loup comme tout autre animal doit vivre libre.
Avis défavorable, le 24 novembre 2023 à 19h45;Notre planète meurt. Et on continue à la détruire. Il ne reste presque plus de mammifères dans le monde, 97% de ceux qui restent sont les humains et leur bétail. Pitié arrêtez ce massacre qui ne profite qu’à quelques uns. Laissons à nos enfants un peu d’espoir.  Pourquoi le PNA 2018 n’a-t-il pas fait l’objet d’une évaluation comme prévu ? Qui peut affirmer que les tirs servent à quelque chose ? Ou sont les études qui montre l’intérêt de ces tirs.  Honte à vous hommes politiques qui contribuez à détruire cette espèce sauvage qui veut juste vivre en paix. Ne nous parlez plus jamais d’écologie et d’environnement, le comportement de l’état vis-à-vis des loup montre que c’est le cadet de ses soucis.
Non au projet, le 24 novembre 2023 à 19h46;Je suis défavorable. La nature se regule fort bien toute seule .Laissons le loup ,comme tous les autres animaux vivre libre !
simon claude, le 24 novembre 2023 à 19h48;Depuis 30 ans,adhérente LPO, et aussi depuis 23 ans adhérente Aspas,Ferus,ADET,venant de voir au festival de Menigoute,le film vivre avec les loups,qui sortira dans les salles le 24 janvier 2024 de jean-Michel Bertrand, je dis stop au massacre de notre faune sauvage qui subit déjà tellement d’impact par nos traffics routiers et ferrovières,nos produits toxiques,nos éoliennes,chasseurs…autoroutes,montagnes complètement industrialisées. .Nos gouvernants ouvrent les marchés qui déstabilisent l’agriculture et les éleveurs et prennent le loup comme bouc émissaire,pour pallier à leurs conflits d’intérêts.
NON, NON, NON, le 24 novembre 2023 à 19h51;"Protection de la biodiversité ! Il faut y associer les grands prédateurs , les ""sauvagines"" et toutes les espèces en danger d’extinction.."
Les loups, le 24 novembre 2023 à 19h51;Les loups ont toutes leur place dans notre écosystème, si on veut bien leur accorder un peu d intérêt
Honteux, le 24 novembre 2023 à 19h53;Laissez les vivre. Les loups sont necessaires pour réguler les espèces.  Nous avons besoin d eux plus que eux de nous.  Respectez-les et laissez-les VIVRE.
Contre le plan , le 24 novembre 2023 à 19h55;Je suis contre ce plan qui me paraît insuffisant et ne considère pas la fragilité et la pérennisation du loup en France. Les solutions pour concilier pastoralisme et préservation de l’espèce loup sont très insuffisantes
NON, le 24 novembre 2023 à 19h55;Non à l’augmentation des tirs létaux .
NON AU PROJET , le 24 novembre 2023 à 19h57;Laissons vivre les loups, et protégeons plutôt les moutons de leurs attaques, comme de celles des chiens !
Laissez vivre le loup , le 24 novembre 2023 à 19h58;Le loup fait partie des écosystèmes. Ce n’est pas une espèce nuisible.
NON à ce plan loups, le 24 novembre 2023 à 19h59;Où est la protection des loups, où est le soutien au petit élevage : nulle part ! Encore une porte grande ouverte à l’industrialisation de l’agriculture et aux chasseurs ! Oui à la cohabitation pour maintenir l’équilibre des milieux naturels !
Avis défavorable, le 24 novembre 2023 à 17h44;Bonjour, Il me semble évident que la proposition n’est pas abouti et doit être revu en faveur du loup. Acteur essentielle d’une biodiversité équilibrée il ne doit pas être tiré. Il est important de faire évoluer les pratiques permettant la cohabitation entre les éleveurs et le loup.
Non au plan loup, le 24 novembre 2023 à 17h44;Solution pro-chasse. N’a t on rien appris ? Honorez vous de solutions respectant la biodiversité. Arrêtez le biberonnage au lobby dela chasse. Nos spécialistes dans les universités et les ministères valent mieux que ça.
"Protéger les loups et la faune sauvage.
, le 24 novembre 2023 à 17h46";Non au plan loup. Oui à la protection des loups, à la protection des troupeaux et au soutien des éleveurs pour une cohabitation pacifique avec la faune sauvage indispensable à la biodiversité.
Sans titre, le 24 novembre 2023 à 17h47;"Je suis totalement opposé a ce projet qui ne protège pas le loup et au vu des nombreuses études scientifiques, relayés d’ailleurs par de nombreux journalistes, il est maintenant largement prouvé que : <span class=""puce"">- Nous faisons aujourd’hui face à la sixième extinction de masse, À la différence que, cette fois, nous sommes seuls responsables de cette crise de la biodiversité, de la disparition des espèces. Et si nous ne réagissons pas très vite, nous en subirons tous les terribles conséquences, tôt ou tard, nous, nos enfants… <span class=""puce"">- Des actions de préservation et de lutte contre les pressions que subissent les écosystèmes doivent être menées en urgence. <span class=""puce"">- Si l’on observe le pourcentage de mammifères sur notre planète, on constate que 77% concernent le bétail élevé par et pour l’Homme, 30% correspondent aux êtres-humains, et 3% seulement concernent les animaux sauvages. <span class=""puce"">- Les prédateurs constituent le groupe le plus important pour le contrôle des organismes nuisibles. <span class=""puce"">- Les loup en tant que superprédateurs jouent un rôle prépondérant dans le maintien des équilibres écologiques.  Les superprédateurs sont nécessaires au maintien de la biodiversité et au fonctionnement des écosystèmes. Ils assurent notamment la bonne régulation des populations des espèces qu’ils consomment. En s’attaquant aux individus les plus faibles (parasités, malformés ou malades), ils améliorent aussi la santé des populations. <span class=""puce"">- Chaque année les humains tuent plus de 2 millions de moutons et de chèvres par jours <span class=""puce"">- L’élevage est responsable de 68 % des émissions nationales de méthane et la culture des sols de 80 % des émissions nationales de protoxyde d’azote. Sans parler de la pollution de l’eau, de la déforestation, des problèmes liés à sa consommation de près de 50 % d’antibiotiques et de la mauvaise santé humaine. <span class=""puce"">- 75 % des terres agricoles dans le monde servent à élever du bétail,  c’est-à-dire à nourrir des bêtes qui serviront, ensuite, à nous nourrir. Notre mode de vie carnivore, réservé à une poignée de privilégiés, exerce une pression telle sur notre planète qu’il déstabilise les écosystèmes. Je suis donc absolument contre l’abattage de ces loups qui ne se dénombrent qu’en quelques petites centaines. Des loups qui tentent simplement de survivre et de jouer leur rôle si indispensable de maintien de l’équilibre de la biodiversité donc de la vie face à des millions de bétails et d’hommes qui sont entrain de la détruire ! Tout est lié, par un ensemble de chaines alimentaires et les superprédateurs comme le loup sont au sommet de cette pyramide trophique et c’est bien au sommet que se joue le destin des écosystèmes, laissons leur de la place ne serait ce que pour notre propre survie. Sans la nature sauvage nous sommes tous condamnés. Ne toucher pas aux loups, ce sont les garants de la bonne santé de leur milieu, ce sont les défenseurs de la nature."
NON, le 24 novembre 2023 à 17h48;Va-t-on indéfiniment éliminer les causes de nos problèmes alors qu’elles ont leur place dans le monde des êtres vivants ? C’est à l’Homme de s’adapter à l’animal, je suis tout a fait contre l’idée d’éliminer des loups ou tout autre prédateur.
Ami loup, le 24 novembre 2023 à 17h49;Ami Loup, prends garde à toi. Ne franchis pas le ruisseau Où le bêlant agneau boit. Pour de si maigres gigots Tu vas mettre en grand émoi Le berger et son troupeau. Reste bien au fond des bois Si tu veux sauver ta peau Et rester de la nuit roi. Ami Loup, soit malicieux Sinon tous les tartarins Sauront, même les plus vieux, Te faire un triste destin. Et sans doute vaut-il mieux Te contenter d’un lapin Que prendre en guise d’adieu, Beau bandit de grand chemin, Une balle entre les yeux. Ami Loup, sacré pirate Bientôt fini le sursis. Alors vite à toutes pattes Tire-toi très loin d’ici Vers tes lointaines Carpates Où tes cousins endurcis T’ouvriront grand leurs pénates. Tu y vivras sans soucis Une vie bien moins ingrate. Fabrice Couaillet
Contre ce plan national , le 24 novembre 2023 à 17h54;"Contre le projet de PNA, le 24 novembre 2023 à 16h17 Que ce soit parce que l’Etat français s’affranchit des demandes du CNPN qu’il consulte pourtant, les lacunes d’études et de résultats concernant l’efficacité des tirs prélèvements sur la protection des troupeaux, par l’absence d’une veille de mise en œuvre de réels moyens de protection des troupeaux, ou encore simplement parce que ""tirs de régulation"" ne peut rimer avec conservation d’une espèce… Ce PNA est obsolète et ne sert aucunement la cause de la biodiversité. Un PNA oui, mais qui alliera maintient de la protection STRICTE du loup tout en mettant en œuvre des actions aidant les éleveurs à évoluer à ses côtés."
Contre le projet , le 24 novembre 2023 à 17h56;Avis défavorable au projet.
"Contre
, le 24 novembre 2023 à 17h57";Bien sur je suis contre,  La population des loups est déjà très fragile. Ce n’est pas en exterminant certaines espèces que l’on réglera tous les problèmes. L’humain se prend pour une espèce superieure, mais il est parfois bien plus nuisible que ceux qu’il qualifie de nuisibles.
Avis Défavorable Plan loups 2024-2029, le 24 novembre 2023 à 17h58;Les associations dénoncent un nouveau Plan National d’Actions Loup (PNA) qui, au lieu d’être un projet de conservation de l’espèce, devient un plan dédié uniquement à l’élevage pour occire toujours. il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices qu’elle apporte. A l’inverse, l’élevage est présenté uniquement au travers de ses aménités positives, sans tenir compte des problèmes qu’il peut engendrer. Ce PNA n’est en réalité pas un plan d’action visant à favoriser le bon état de conservation du loup. Il faut abandonner ce projet et créer un texte plus équilibré, prenant en compte les avis scientifiques et les travaux du Groupe National Loup. Francine Bouvard
PNA Loup 2024-2029 : Avis défavorable !, le 24 novembre 2023 à 17h59;Ce projet de Plan National d’Action, malgré quelques points positifs, est largement déséquilibré et ne vise pas à obtenir un bon état de conservation de la population de loups dans l’ensemble de son aire de répartition. Au contraire, il organise une régulation de l’espèce qui n’est pas acceptable.     La volonté affichée de baser les décisions sur des bases scientifiques est bienvenue. Le programme de recherche, issu d’un travail partagé du GNL, doit être poursuivi et financé durablement. Mais le contenu de ce PNA est en totale contradiction avec les bases scientifiques. Il ne tient pas compte des nombreux avis scientifiques (Muséum national d’histoire naturelle, Conseil national de la protection de la nature…).      Le PNA précédent (2018-2023) n’a fait l’objet d’aucune évaluation de la pertinence des actions engagées. En particulier, il ne présente pas d’analyse de l’évolution de la situation en termes de dommages, de développement de la population de loups, de valorisation des expériences de terrain favorisant la coexistence, ou de baisse du nombre d’animaux d’élevage tués par rapport au nombre de loups présents. En conséquence, le projet actuel ne tient pas compte des enseignements du plan précédent.     Alors que ce PNA devrait viser l’atteinte du bon état de conservation de l’espèce en France, tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices qu’elle apporte. A l’inverse, l’élevage est présenté uniquement au travers de ses aménités positives, sans tenir compte des problèmes qu’il peut engendrer.     L’engagement de l’Etat en faveur de la modification du statut de protection du loup et son déclassement d’espèce strictement protégée, envisagé à la fois dans la convention de Berne et dans la directive Habitats Faune-Flore, est une démarche sans précédent dans un PNA et contraire à l’objectif d’assurer le bon état de conservation.     Les autorisations et modalités de tir dérogatoire sont simplifiées et le PNA envisage d’augmenter le plafond annuel. Ces mesures visent à introduire une régulation de la population de loups, ce qui est contraire aux engagements de l’Etat.     Le principe de non protégeabilité de certains troupeaux reste maintenu, contrairement à l’avis du CNPN** et du rapport de l’IGEDD***. Ceci ne permet pas la généralisation des mesures de protection des troupeaux, qui reste la principale méthode efficace pour limiter les dommages.     Ce PNA ne présente pas clairement les actions, leur pilote, le calendrier de mise en œuvre, les financements…
Avis défavorable à l’extermination des loups qui étaient là bien avant nous, le 24 novembre 2023 à 18h03;Bien évidement,  je suis contre,  La population des loups est déjà très fragile. Ce n’est pas en exterminant certaines espèces que l’on réglera tous les problèmes. L’humain se prend pour une espèce superieure, mais il est parfois bien plus nuisible que ceux qu’il qualifie de nuisibles.
Refus du Projet de Plan national d’actions 2024-2029 sur le loup, le 24 novembre 2023 à 18h09;Décidément les décideurs continuent à marcher sur la tête. Un P.N.A. géré à coup de fusil !!!!!!!!!!!!!!!!!!!! J’ai cru à une farce au début. C’est un véritable délire. En fermant les yeux et les oreilles sur l’état de la planète vous nous emportez dans une folie suicidaire , et vous nous faites subir un choix de vie qui ne nous correspond pas. L’espèce humaine doit apprendre à s’adapter au monde du vivant et plus l’inverse. Vous êtes en train de forger des militants/activistes qui se radicaliseront de plus en plus pour faire face à votre folie et rendre un futur possible à nos petits enfants.
Les loups sont les bienvenues , le 24 novembre 2023 à 18h10;Les loups ont besoin de protection. Nous ne pouvons pas nous attendre à laisser des moutons dans les montagnes pendant des semaines sans protection et sans conséquences. Il faudrait tuer tous les animaux sauvages de la planète pour élever ainsi des animaux en dehors des rythmes de la nature. Autrefois, on ne laissait jamais les moutons seuls dans les montagnes. Aujourd’hui, nous avons beaucoup de chômeurs…. Concentrons-nous sur le retour des bergers dans les montagnes (un travail pour ceux qui en ont besoin), et non sur l’élimination de toutes les menaces possibles afin de laisser les animaux sans protection.
Projet PNA loup, le 24 novembre 2023 à 18h12;Les orientations de ce projet se situent nettement vers une augmentation des tirs sans aucune remise en cause de cette politique, ni même d’un retour d’expérience sur son inefficacité constatée les années passées. Le PNA loup se trouve  se trouve être le seul PNA renouvelé en l’absence de bilan des PNA précédents. Le projet présenté va à l’encontre d’un véritable projet de cohabitation élevage-faune sauvage et conforte ceux dont le seul objectif est l’éradication des prédateurs. En conséquence je ne peux qu’émettre un avis fermement opposé à ce projet. Bernard Guillemot
Sauvegarde du loup, le 24 novembre 2023 à 18h13;Le loup est un partenairen, le loup n’a jamais tué aucun humain. Les attaques  contre les troupeaux de mouton sont la pluspart du temps dues aux chiens errants et a des actes malveillants de certains humains Le loup est d’utilité publique, en effet l’exemple de la drôme est tres significatif ou le nombre de sanglier a été divisé par deux depuis 2018 grace  la prédation naturel du loup.
Participation à la consultation sur le projet de plan national d’actions 2024-2029 sur le loup et les activités d’élevage, le 24 novembre 2023 à 18h16;Je m’oppose radicalement au projet du gouvernement. Le plan proposé ne tient pas compte de l’avis des scientifiques et des naturalistes.  Il ne respecte pas la convention de Berne.  Il s’acharne à l’encontre des loups, alors que de nombreuses populations ont trouvé des solutions pérennes qui permettent la cohabitation avec ce merveilleux animal.
PNA, le 24 novembre 2023 à 18h18;"Ce PNA doit absolument sauvegarder les activités d’élevage à l’herbe qui sont aujourd’hui menacées par les attaques de plus en plus nombreuses sur nos troupeaux. Le statut du loup ""strictement protégé"" doit être revu comme suggéré par Madame Von Der Leyen, les protocoles de tirs de défense et de prélèvements simplifiés, et le plafond de prélèvement de 19% supprimé !"
Avis défavorable, le 24 novembre 2023 à 18h20;"Comment c’est possible que dans certains pays européen on arrive à ""maîtriser le loup"", et dans d’autres c’est un problème. La solution n’est pas le tir, la solution est de donner des moyens de suivi sur le terrain, qui permettront de comprendre les zones d’implantation du loup en France, et en fonction de ça amener de l’aide aux éleveurs… Tirer menera exactement à la gestion qu’on a du renard en France : 500000 tués par an, et il est toujours là, car il s’adapte en produisant plus de femelles par portées, donc plus de portées l’année d’après… Ca n’a aucun sens sinon celui de faire plaisir aux lobbies agricoles en vue des prochaines élections…"
Cessez les tirs de loups, le 24 novembre 2023 à 18h25;Le loup n’est pas l’ennemi de l’homme, c’est plutôt le contraire. Notre pays n’est pas capable d’observer et d’appliquer l’exemple d’autres pays qui vivent en harmonie avec le loup : l’Italie, le Slovénie dont les troupeaux ne sont pas menacés par les loups. Ces pays ont mis en oeuvre des mesures de protections qui protègent les troupeaux. Mais en France on préfère éliminer les individus plutôt que d’observer le principe de précaution. Dans le pars ce Yellowstone, une expérience a été réalisée en réintroduisant les loups. Il s’avère que grâce à cette réintroduction, les ongulés ont diminués  ce qui a permis le développement d’espèces qui avaient presque diminué (cassons… Alors cessons de massacrer les loups et cherchons un peu plus loin que le bout d’une carabine ! Cordialement D. Cazaban
"Participation à la consultation

Projet de Plan national d’actions 2024-2029 sur le loup et les activités d’élevage, le 24 novembre 2023 à 15h00";"Bonjour, Pour pas changer  les politiques préfèrent aller dans le sens des chasseurs, agriculteurs, éleveurs ,la biodiversité rien à battre. Toutes les études sérieuses prouvent qu’un prédateur comme le loup participe largement à la régulation des sangliers et chevreuils. Mais comme d’habitude cette enquête n’est qu’une facade de ""démocratie "" et mon avis ne sera certainement pas retenu, le ministère de l’écologie ( peut-on encore l’appeler ainsi ) a déjà tranché. Helbling Charles."
"Je suis contre ce nouveau PNA. 
, le 24 novembre 2023 à 15h08";Nous n’avons pas tiré d’enseignement du PNA précédent (2018-2023) Pourquoi n’est-il fait mention que des impacts négatifs de la présence du loup alors que sa présence est bénéfique aux écosystèmes. Le déclassement du loup comme espèce strictement protégée est simplement inacceptable et détrimental à notre biodiversité.  Pourquoi toujours suivre les avis des chasseurs et de l’agroindustrie alors que le pastoralisme a déjà prouvé qu’il pouvait vivre avec le loup?
AVIS DÉFAVORABLE , le 24 novembre 2023 à 15h14;Quel dommage de ne pas se rendre compte qu’il faut préserver notre biodiversité et que le loup en fait partie !
Non à ce nouveau PNA, le 24 novembre 2023 à 15h15;Cela ne sert à rien de tuer des loups alors qu’ils sont bénéfiques à notre biodiversité. Allez voir ce qui est fait ailleurs au lieu de croire certains. Plus de loups et moins de chasseurs permettrait une meilleure cohérence et cohabitation et aiderait les agriculteurs
Avis défavorable, le 24 novembre 2023 à 15h18;Je reprends les arguments d’une autre personne ayant déposé son avis avec qui je suis totalement d’accord : * Ce projet de Plan National d’Action est déséquilibré et ne vise pas à obtenir un bon état de conservation de la population de loups dans l’ensemble de son aire de répartition mais organise une régulation de l’espèce qui n’est pas acceptable. * Son contenu est en totale contradiction avec les bases scientifiques. Il ne tient pas compte des nombreux avis scientifiques (Muséum national d’histoire naturelle, Conseil national de la protection de la nature…).  * Il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices qu’elle apporte. A l’inverse, l’élevage est présenté uniquement au travers de ses aménités positives, sans tenir compte des problèmes qu’il peut engendrer. * L’engagement de l’Etat en faveur de la modification du statut de protection du loup et son déclassement d’espèce strictement protégée, envisagé à la fois dans la convention de Berne et dans la directive Habitats Faune-Flore, est contraire à l’objectif d’assurer le bon état de conservation. * Les autorisations et modalités de tir dérogatoire sont simplifiées et le PNA envisage d’augmenter le plafond annuel. Ces mesures visent à introduire une régulation de la population de loups, ce qui est contraire aux engagements de l’Etat. * Ce PNA ne présente pas clairement les actions et le calendrier de mise en œuvre, les financements…
"Je suis CONTRE quelque ""prélèvement"" que ce soit dans la population des loups, le 24 novembre 2023 à 15h21";Quand donc accepterons-nous le vivant et surtout quand donc nos dirigeants reverront-ils les modes d’élevage ? Les hommes considèrent encore les animaux comme leurs ennemis. Ils font partie d’un tout, d’un équilibre que seul l’homme romps.
Contre, le 24 novembre 2023 à 15h28;Bonjour, Je suis contre. C’est ce genre de comportement qui bouleverse l’équilibre de la nature. Le loup est chez lui. Que les bergers surveillent leurs troupeaux.
En défaveur du PNA, le 24 novembre 2023 à 15h29;Comme le préconise le CNPN, ce plan va à l’encontre des politiques de préservation du Loup. Les données sont en plus largement insuffisantes pour tirer une conclusion juste. Enfin, les associations de garde de troupeau par des bénévoles sont une très belle initiative qui renforcent le lien social et participent à la protection du pastoralsime.
Nouveau plan loup, le 24 novembre 2023 à 15h30;"Bonjour, Merci de me lire, Voici mes remarques et réflexions : 1 - je trouve tres choquant que lors de constat faits par l’ofb et confirmés comme des attaques de loup il soit mentionné : ""Loup non écarté"" C’est le refus de reconnaître la réalité. 2 - Les parcs à loup fleurissent dans toutes les régions françaises sur des surfaces de quelques milliers de m2 pour plusieurs meutes. Des mesures très strictes ont été imposées aux cirques et aux zoos pour détenir des animaux sauvages, sous le prétexte du bien être animal : un loup n’est-il pas un animal sauvage, réputé pour parcourir de grandes distances sur des territoires importants : que font-ils dans de telles structures ? Quelles sont les motivations réelles de ces propriétaires de parcs à loups ? Quels contrôles sont effectués sur les naissances et le devenir des animaux ? 3 - un prosélytisme effréné sur la non dangerosité du loup envers l’humain et les dégâts qu’il provoque dans les élevages est diffusé par la voie de films et documentaires, de conférences dans les établissements scolaires et bien plus grave encore : dans des livres pour les enfants dès leur plus jeune âge où on leur raconte que le loup est vegan ! Exemple dans le département du puits de dôme où un tel ouvrage est remis systématiquement par le conseil départemental aux parents à la naissance de leur bébé : où va t’on ?? 4 - qu’en est-il du bien être animal devant tous ces animaux d’élevages dévorés vivants par ce prédateur, qu’aucune mesure de sécurité n’arrête. 5 - comment gérer la protection des élevages et des animaux dans les régions autres que les alpages et la montagne ? Dans les bocages ou la plantation de haies à été encouragée comme clôture naturelle ? Dans les villages avec les chiens de protection et les problèmes de voisinage…. et le danger inhérent à ces chiens ? 6 - l’exemple de nos voisins européens est parlant : on est pris dans une spirale qui s’accélère et qui mènera à une situation de catastrophe nationale. La population est complètement ignorante de ce qui l’attend comme contraintes au quotidien. Cordialement. Merci d’avoir initié cette consultation D. Guilbert Labbé"
Contre le nouveau PNA, le 24 novembre 2023 à 15h32;Bonjour  Je suis contre le nouveau PNA qui ne tire aucun enseignement du précédent. Pourquoi la biodiversité n’est elle jamais regardée à la lumière de tous les points de vue? Pourquoi toujours considérer le seul intérêt des chasseurs et des éleveurs? Pourquoi retirer au loup son statut d’espèce préservée alors que d’autres pays autour de nous savent concilier les intérêts de l’élevage et la préservation du loup? Comment peut-on systématiquement ne pas entendre que la présence du loup permet de réguler les espèces sauvages (chevreuil, cerfs…) et participe à l’amélioration du peuplement forestier et corrélativement à l’amélioration du peuplement des oiseaux notamment
