sujet;texte
kkl, le 21 mars 2024 à 21h29;"<span class=""puce"">- Je suis favorable à une méthode de comptage fiable ; <span class=""puce"">- Je suis favorable à ce que les chasseurs participent au déploiement de cette nouvelle méthode de comptage."
POUR, le 22 mars 2024 à 04h31;Je suis favorable à la proposition issue du groupe national Loup. Il important que l’occasion de rassembler les acteurs avec la mise en œuvre  des ces opérations de dénombrement ne soit pas manquée pour une meilleure acceptation du retour de grand prédateur Aussi il faut envisager sérieusement la participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage aux côtés de l’OFB.
pour un comptage fiable et partagé, le 22 mars 2024 à 07h57;Oui à une méthode de comptage fiable oui à un comptage partagé notamment avec la participation des chasseurs qui maillent le territoire
Oui à un comptage fiable, le 22 mars 2024 à 08h17;Oui à une méthode de comptage fiable oui à un comptage partagé avec la participation des chasseurs qui mieux que personne maillent le territoire
comptage fiable et objectif de la population de loups le 24 Mars 2024 20 h00, le 24 mars 2024 à 20h02;Il est indispensable que tous les acteurs puissent être impliqués dans le comptage des populations de loups afin d’obtenir une fiabilité acceptable des effectifs et prévoir les tirs d’élimination pour réaliser la limitation de cet animal.
COMPTAGE DU LOUP, le 24 mars 2024 à 20h19;Oui à une méthode de comptage fiable avec une participation active des instances cynégétiques
Oui, le 24 mars 2024 à 20h35;Oui pour une méthode fiable de comptage et la participation des chasseurs qui connaissent parfaitement le terrain. Favorable aussi à une taxe forfaitaire prélevée à toute association promouvant l’essor ou la protection à outrance du loup, ceci afin de ne plus laisser aux seuls contribuables français d’avoir à supporter les coûts exorbitants de ces prédateurs aussi envahissants que gênants.
Consultation publique loup, le 24 mars 2024 à 21h30;Oui à une méthode de comptage fiable. Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
loups, le 24 mars 2024 à 21h53;oui je suis favorable a un comptage fiable nous chasseurs nous sommes les mieux placer pour en parler
Projet relatif à la méthode d’estimation de la population de loups, le 24 mars 2024 à 22h11;Oui, je suis favorable à la méthode CMR Oui, je suis favorable pour la participation du monde cynégétique à ces estimations
Avis favorable, le 24 mars 2024 à 22h23;Oui pour une méthode fiable Oui a la participation du monde cynégétique
OUIAVIS FAVORABLE, le 24 mars 2024 à 22h29;Oui à une méthode de comptage fiable avec une participation importante des instances cynégétiques
Oui avis favorable, le 24 mars 2024 à 22h43;La détermination du nombre de loup est un exercice difficile et seul le monde cynégétique peut, par sa connaissance du territoire, contribuer à cette analyse.
Avis Favorable, le 25 mars 2024 à 02h12;Favorable à cet arrêté. Cela semble la méthode d’estimation la plus fiable. Il serait préférable d’intégrer les FDC à ce protocole, qui connaissent mieux que quiconque les territoires de leur département.
avis favorable, le 25 mars 2024 à 06h25;avis favorable a cette methode afin d’être plus proche de la réalité
Oui avis favorable, le 25 mars 2024 à 07h08;Oui avais favorable à cette méthode beaucoup plus fiable . Mais on devrait y associer les fédérations de chasse dont les membres connaissent parfaitement les territoires et les fréquentent en permanence. Pour un plus grand maillage du territoire
METHODE D’ESTIMATION DE LA POPULATION DE LOUPS, le 25 mars 2024 à 07h17;OUI A UN COMPTAGE GENETIQUE QUI EST LE SEUL MOYEN FIABLE fAVORABLE A UNE PARTICIPATION DES FEDERATIONS DES CHASSEURS
Laissons les professionnels faire leur travail , le 25 mars 2024 à 07h18;Laissons les personnes habilités à faire leur travail.
Mon avis sur cet arrêté, le 25 mars 2024 à 07h41;Oui à une méthode de comptage fiable  Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage
oui, le 25 mars 2024 à 07h47;Oui à une méthode de comptage fiable … Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage…..
Comptage des loups , le 25 mars 2024 à 07h51;Oui a un comptage encadré permettant une estimation exacte de la population afin de réguler cette espèce
projet de texte, le 25 mars 2024 à 07h55;Je suis pour une méthode de comptage fiable.
Dénombrement des loups, le 25 mars 2024 à 08h12;"•	Oui à une méthode de comptage fiable ; •	Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Estimation population loups, le 25 mars 2024 à 08h13;Oui à ce projet  Associer le monde de la chasse permettra une approche plus précise
bon sens, le 26 mars 2024 à 10h02;"Il serait temps que l’on revienne au ""bon sens"" a savoir les premiers impactés : les éleveurs de bétail,sur leur revenu,les chasseurs pour leur gestion du gros gibier ( qui agissent sur le terrain immensément plus que  les ecolos de salon) doivent être à la tête des organismes de décision concernant la gestion du loup.c’est eux qui sont sur le terrain et pas dans l’idéologie ni dans les bureaux à décider pour leur devenir. je suis pour cet arrêté ."
Oui pour une méthode fiable de comptage pour réguler la population des loups, le 26 mars 2024 à 10h16;"Oui pour une méthode fiable de comptage et la participation des chasseurs qui connaissent parfaitement le terrain. Favorable aussi à une taxe forfaitaire prélevée à toute association promouvant l’essor ou la protection à outrance du loup, ceci afin de ne plus laisser aux seuls contribuables français d’avoir à supporter les coûts exorbitants de ces prédateurs aussi envahissants que gênants. La méthode CMR semble fiable, au moins théoriquement. Dans la pratique, il reste à voir si les moyens humains et matériels déployés permettront d’effectuer un suivi rigoureux et scientifiquement pertinent. Quand Nicolas HULOT était Ministre, il nous assurait qu’il fallait atteindre au moins 500 loups pour assurer leur bonne réintroduction sur le territoire national. Nous avons plus que doublé ce chiffre ! On sait que le pastoralisme est nécessaire pour le maintien de la biodiversité et l’entretien des paysages. On sait que l’élevage extensif est aussi le type d’exploitation animale le plus exposé à la prédation. Cela occasionne des dégâts particulièrement importants sur le plan économique aux cheptels domestiques ; surtout ovins, mais également bovins et équins, à un coût particulièrement élevé alors que les deniers publics doivent être consacrés à la santé, l’éducation, la protection. La faune sauvage souffre également du trop grand nombre de loups. Une régulation, même particulièrement drastique n’impactera en rien la biodiversité. La régulation des ours ne doit pas être taboue et une régulation doit également être envisagée Le poids financier de la prédation est à ce jour démontré et les éleveurs en assument souvent en grande partie la charge. L’impact psychologique et le sentiment d’abandon sont quant à eux de plus en plus importants. Mieux compter les loups est une chose. Choisir résolument de soutenir le pastoralisme en est une autre tout aussi importante."
Méthode de comptage, le 26 mars 2024 à 10h17;"Favorable à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
CONTRE, le 26 mars 2024 à 10h18;"L’objectif du monde cynégétique et du monde pastoral, est qu’il y est moins voire plus du tout de Loups.  Pour l’un, pour garder son quota de chasse de cervidés et pour l’autre, pour sécuriser sans coût son cheptel ! Donc, ce comptage sera forcément surestimé pour ainsi avoir un quota de ""destruction"" le plus élevé possible !  Alors, je vous suggère de tous les tuer comme ça, vous ne serez plus obligé de prendre de votre temps pour ce comptage ""CMR"" et tous les acteurs que je viens de citer préalablement seront satisfaits !"
Oui à une méthode de comptage fiable, le 26 mars 2024 à 10h22;Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage
Oui à une méthode  de comptage impliquant le plus grand nombre d’intervenants possible, issus de tout univers, le 26 mars 2024 à 10h26;Savoir, c’est la base ! Comment prendre de bonnes décisions sans une connaissance fiable des effectifs ?
Contre ce projet, contre l’abatage des loups, le 26 mars 2024 à 10h29;"* Le loup n’est pas une marchandise ""dont la destruction"" peut être autorisée chaque année, comme il est cité dans le titre. * Les méthodes de comptage sont toujours en faveur des lobbies, de la chasse de la pêche,  de l’agro-industrie, etc. *C’est pour cela que depuis 2008, les arrêtés autorisant la chasse et la ""destruction"" des ""spécimens"" sauvages se multiplient et que sur 13.842 espèces évaluées, 2.430, soit 17,6%, sont menacées de disparition. 187 espèces ont disparu de France. ""C’est triste que la nature parle et que le genre humain n’écoute pas."" Victor Hugo."
Avis favorable (mais avec réserves) !, le 26 mars 2024 à 10h32;"Bonjour, la méthode d’estimation actuelle pour définir les populations de loups sur notre territoire est parmi les plus efficaces au monde. A ce niveau, continuer la technique dite ""CMR"" est important et essentiel. Celle-ci doit rester sous le seul contrôle d’organismes indépendants et scientifiques (hors chasseurs). Ils ne peuvent pas prendre la main sur ce sujet. Les connaissances de terrain que certains vantent dans leur camp sont très approximatives puisque rarement liées à une simple observation naturelle sans interaction, pression… A l’heure où beaucoup veulent amplifier les plans de chasse sur les cervidés, je souhaite qu’on revoit notre approche et qu’on laisse ""sa part au loup"". Il est un merveilleux auxiliaire du milieu sylvicole et les études prouvent que les loups préfèrent la viande sauvage. Ainsi, double avantage : aider les professionnels de la forêt et réduire les risques sur les élevages. Concernant ces derniers, le déploiement des moyens de protection portent ses fruits donc il ne faut pas se réfugier derrière le nouveau PNA loup dévoilé en ce début d’année pour ne plus se préparer aux futures zones de colonisation. Continuons à travailler à la mise en œuvre d’un élevage prenant en compte l’ensemble des composants du Vivant dont le loup fait partie. C’est aussi une question d’héritage, de legs que les générations futures d’exploitants n’auront plus à gérer. Ceci deviendra leur contexte de travail apaisé et plus un challenge et permettra plus facilement la passation.  Je suis pour revoir à la baisse les abattages de loups qui sont souvent l’éclatement de meutes, dispersant des jeunes non préparés qui vont logiquement aller au plus facile. Et pour s’assurer que les conditions de ces actes étaient en tout point dans un cadre légal. Et bien sûr, lutter contre le braconnage qui est sous-estimé ! Petite information pour les personnes incultes qui nous souhaitent depuis des années de nous faire ""bouffer"" par les loups. Coucou, nous sommes toujours là ! Et ce n’est pas faute de chercher les loups, seul souvent, dans des secteurs isolés. Certains espèrent une attaque et doivent se dire ""m…., il est toujours là, il s’est toujours pas fait dévorer"" en me voyant. Car quel petit plaisir en plus si c’est un défenseur de la nature, protégeant vraiment celle-ci, qui subit son courroux ! Sans doute certains chercheraient-ils à agresser un loup si cela pouvait amener à une contre-offensive, filmée, qu’ils pourraient balancer sur les réseaux en nous disant ""on vous l’avait dit !"". La vérité est que la dernière attaque sur humain remonte à 1918 en France par un loup enragé. Bien plus antérieur sur un individu sain. Moins de 20 attaques loups dans le monde depuis 5 ans (Canada, Moyen-Orient) dans des conditions très particulières, voir avec des individus enragés (loups bien sûr, pas humains puisque nous le sommes tous !). Combien d’attaques sur des humains en France chaque année par des chiens errants? Peut-être pas si loin de 10 000.  Nous tuons depuis des décennies, des siècles beaucoup d’espèces. Ont-ils eu un sentiment de révolte? De vengeance malgré tout ça? Combien d’entre nous aurions laisser faire une telle chose sans répliquer? Et bien non, ils cherchent juste à nous fuir désespérément et sans doute que certains doivent jubiler à se sentir le suprême prédateur à exercer sa terreur sur tout le reste. Espèce parmi les espèces, j’avoue que pour ma part, persécuté, j’aurai eu envie de rendre les coups pour ne pas mourir sans combattre. Qui ne le voudrait pas? Mais puisque nous sommes incapables d’empathie, y compris souvent avec ceux de notre espèce, comment pourrions-nous en avoir pour ce qui est différent. Alors que cela est le vrai, le seul sens de l’humanité à mes yeux. Le jour où nous penserons avec notre esprit conscient de sa place, sa connexion au monde et non plus avec des données comptables brutes, nous commencerons à nous élever !"
consultation du projet d’arrêté de comptage des loups , le 26 mars 2024 à 10h34;Je suis pour la nouvelle méthode , qui est plus fiable .  A mon avis seul les agents de l’ofb et les louvetiers doivent compté et réguler . Les éleveurs eux doivent pouvoir protéger les troupeaux  en prédation.
Oui, le 26 mars 2024 à 10h35;Oui à une méthode de comptage fiable.  Oui à une possible participation du monde.
Dénombrement des loups , le 26 mars 2024 à 10h37;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde"
Comptage loups , le 26 mars 2024 à 10h53;Oui à une méthode de comptage fiable Oui à une possible participation du monde
projet d’arrêté relatif à la méthode d’estimation de la population pour le comptage des loups., le 26 mars 2024 à 11h01;Oui à une méthode de comptage fiable. Oui à une possible participation du monde.
Oui au changement de méthode d’estimation de la population de loups, le 26 mars 2024 à 11h01;Pour mémoire, le réseau loup-lynx est ouvert à tous, chasseurs y compris, à condition d’avoir suivi la formation comme chaque membre du réseau.
Comptage des loups, le 26 mars 2024 à 11h07;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
modification du système de comptage en association avec les chasseurs, le 26 mars 2024 à 11h11;"Oui à une méthode de comptage plus fiable ; Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Loup , le 26 mars 2024 à 11h14;une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Comptage du loup, le 26 mars 2024 à 11h21;.Oui a une méthode de comptage fiable du loup .Oui à une possible participation du monde cynégétique dans le déploiement de cette méthode de comptage
Pour une participation du monde cynégétique, le 26 mars 2024 à 11h27;je souhaiterai que le monde cynégétique participe au déploiement de cette nouvelle méthode de comptage.
"Contre ce comptage soit disant ""fiable""/ Contre l’Abattage du Canis Lupus (en danger), le 26 mars 2024 à 11h29";"En Europe, le loup est protégé par la Convention de Berne (1979) transcrite dans le droit français en 1989. Il est inscrit dans les annexes II et IV de la directive « Habitats » de l’Union Européenne et fait partie des espèces prioritaires. Mais l’espèce reste vulnérable dans notre pays ; les modalités de tirs autorisés par l’État toujours plus assouplies et le braconnage peuvent la fragiliser davantage. Alors que l’État français cède de plus en plus aux lobbies des éleveurs et des chasseurs, il semble faire des tirs de loups son objectif principal, des associations interviennent juridiquement pour dénoncer l’illégalité croissante des arrêtés ministériels et préfectoraux vis à vis d’une espèce protégée. Rétablir les faits, parce que le loup ne doit pas être le bouc-émissaire de la filière ovine. Et parce qu’une espèce animale ne doit pas être sacrifiée pour assouvir la haine et les intérêts de quelques-uns, ni être utilisée à des fins politiciennes."
Comptage annuel des loups - 23.03.2024 à 14h.20, le 23 mars 2024 à 14h24;Oui pour une méthode plus fiable qu’auparavant, pour le comptage annuel des loup. Il est indispensable qu’à chaque opération de comptage, un membre du monde cynégétique soit présent, ainsi qu’un agriculteur ou un éleveur.
Oui, le 23 mars 2024 à 14h26;Je souhaite une méthode de comptage fiable.Pour cette raison je demande à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage
comptage loups, le 23 mars 2024 à 14h27;oui pour une méthode fiable. favorable à la participation du monde cynégétique
OUI Pour un comptage fiable des loups, le 23 mars 2024 à 14h27;oui je suis pour un comptage des loups fiable , le 23 mars 2024 à 14h22 et j aimerai que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Oui, le 23 mars 2024 à 14h34;Oui pour une participation du monde cynégétique pour l évaluation des populations. De par notre activité sur le terrain , nous sommes compétents pour détecter, constater la présence de loup.
Sans titre, le 23 mars 2024 à 14h34;oui pour une méthode fiable. Je suis favorable à la participation du monde cynégétique
Sans titre, le 23 mars 2024 à 14h40;oui je suis pour un comptage des loups fiable , le 23 mars 2024 à 14h37 et j aimerais , soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Comptage des loups , le 23 mars 2024 à 14h51;Oui à une méthode de comptage fiable Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Oui, le 23 mars 2024 à 14h54;oui pour une méthode fiable de comptage . Je suis favorable à la participation du monde cynégétique pour participer à ce comptage
Oui à une méthode de comptages fiable, le 23 mars 2024 à 15h21;Oui à une méthode de comptage fiable Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Loup, le 23 mars 2024 à 15h24;Oui à une méthode de comptage fiable                       oui avec  une participation du monde cynégétique pour le comptage
comptage de la population de loups, le 23 mars 2024 à 15h32;oui à une méthode de comptage fiable participation possible du monde cynégétique
LOUP, le 23 mars 2024 à 15h33;oui a une méthode de comptage fiable avec les chasseurs de France.
Loup , le 23 mars 2024 à 15h36;Oui à une méthode de comptage fiable avec la participation du monde cynégétique.
Loup, le 23 mars 2024 à 15h37;Oui à une méthode de comptage fiable Avec le monde cynégétique
Participation à la consultation d’estimation de la population de loups., le 23 mars 2024 à 15h38;"Oui à une méthode de comptage fiable ;     Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Loup comptage, le 23 mars 2024 à 15h42;Méthode de comptage fiable, et participation des chasseurs qui sont toujours sur le terrain et non dans des bureaux, pour le déploiement de cette nouvelle méthode de comptage.
oui a une participation du monde cynégétique dans les comptages, le 23 mars 2024 à 15h45;Oui a la participation du monde cynégétique dans l’évaluation des comptages
David, le 23 mars 2024 à 16h03;Oui à la participation du monde  cynégétique pour le comptage du loup
Méthode de comptage du loup, le 23 mars 2024 à 16h13;Oui pour une méthode plus fiable de dénombrement d’une espèce mais associer le monde de la chasse me paraît être une erreur car il peut y avoir conflit d’intérêt notamment dans les zones où le loup rempli son rôle de régulateur et où les chasseurs n’ont plus besoin d’assumer ce rôle (Drôme par exemple). Le monde de la chasse et de l’élevage sont étroitement lié et leur position vis à vis du loup clairement affirmé. Le dénombrement doit continuer d’être mis en œuvre par le réseau loup/lynx.
Comptage de presence du loup , le 22 mars 2024 à 08h39;Oui pour une méthode de comptage fiable Oui pour une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage
comptage loup, le 22 mars 2024 à 08h51;je suis favorable à une méthode de comptage fiable et je souhaite qu’y soit associé le monde cynégétique et plus particulierement les fédérations des Chasseurs
loup, le 22 mars 2024 à 09h04;je suis favorable a cette méthode de recensement  il est souhaitable que les chasseurs soient associés à cela
Michel, le 22 mars 2024 à 09h05;Je suis favorable à une méthode fiable pour le comptage des loups à laquelle je souhaite y associer le monde cynégétique et en particulier les fédérations départementales des chasseurs les mieux à même de remonter les informations de terrain.
favorable à une méthode de comptage fiable, le 22 mars 2024 à 09h07;Maïs il faut que le  onde cynégétique participe dans le déploiement de cette nouvelle méthode de comptage.
Loup, le 22 mars 2024 à 09h10;je suis favorable à une méthode de comptage fiable et je souhaite qu’y soit associé le monde cynégétique et plus particulierement les fédérations des Chasseurs
Méthode CMR, le 22 mars 2024 à 09h24;Je suis favorable à une méthode de comptage fiable, et à une possible participation du monde cynégétique dans le développement de cette nouvelle méthode de comptage.
EMR, le 22 mars 2024 à 09h26;Je suis d’accord avec cet arrêté, il faut absolument associer tout les acteurs de terrain, pour assurer un maximum de transparence et d’éfficacité.
Méthode cmr, le 22 mars 2024 à 09h59;Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Méthode cmr , le 22 mars 2024 à 10h01;Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle technique de comptage.
Favorable, le 22 mars 2024 à 10h02;Je suis favorable à une méthode de comptage fiable dans la mesure où les résultats sont obtenus rapidement. Il serait judicieux d’associer le monde cynégétique à la collecte des indices.
avis positif, le 22 mars 2024 à 10h12;Je suis favorable à une méthode de comptage fiable dans la mesure où les résultats sont obtenus rapidement. Il serait judicieux d’associer le monde cynégétique à la collecte des indices.
Comptage population loup, le 22 mars 2024 à 10h22;Oui je suis favorable à une méthode fiable et à la participation du monde cynégétique pour y participer.  JFB
Avis favorable, le 22 mars 2024 à 10h28, le 22 mars 2024 à 10h29;Je suis favorable à une méthode de comptage fiable. Par ailleurs, je souhaite qu’y soit associé le monde cynégétique.  De plus, je suis favorable à ce que les chasseurs participent au déploiement de cette nouvelle méthode de comptage.
Dénombrement des loups, le 22 mars 2024 à 10h35;Oui je suis favorable à une méthode fiable et à la participation du monde cynégétique pour y participer. André Pesce
Avis favorable. AH69, le 22 mars 2024 à 10h39;Favorable à une méthode fiable d’estimation des populations qui objective la situation et qui associe le monde cynégétique.
Pour, le 22 mars 2024 à 10h48;je suis favorable à une méthode de comptage fiable et je souhaite qu’y soit associé le monde cynégétique et plus particulièrement les fédérations des Chasseurs. SL
Avis  , le 22 mars 2024 à 11h01;"Oui à une méthode de comptage fiable ; <span class=""puce"">- Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Avis Favorable , le 22 mars 2024 à 11h31;Une méthode de comptage fiable s’impose vue les dégâts occasionnés sur l’élevage par cet animal sauvage et je souhaite qu’y soit associé le monde cynégétique, plus particulièrement les fédérations des Chasseurs , les gardes particuliers de chasse, pêche et bois  assermentés.
Avis favorable, le 22 mars 2024 à 11h52;Il est temps d’avoir une méthode statistique fiable pour connaître la population au vu des enjeux sociaux-économiques . Les chasseurs pourraient être des relais indispensables à cette mise en oeuvre.
Oui a cette nouvelle méthode de comptage , le 24 mars 2024 à 11h43;Oui a une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage
Bob Tollu 24 mars 24. Favorable à une méthode de comptage plus fiable, le 24 mars 2024 à 11h48;Je suis favorable pour qu’enfin soit mis en place une méthode de comptage plus fiable et qui reflète plus précisément le nombre réel de loups sur le territoire Français. Pour arriver à des résultats plus précis et non contestés tous les acteurs  du monde rural  ( éleveurs, forestiers, chasseurs, techniciens cynégétiques, gardes ect…) doivent être consultés et doivent participer chacun à leur niveau . Il se voit de plus en plus de loups en plein jour près de la civilisation, de plus en plus de collisions sur les routes, signe que la population est bien au delà des chiffres annoncés par l’OFB . Les attaques sur les troupeaux sont prises en compte mais on ne parle jamais de la prédation sur la faune sauvage et des baisses de populations constatées chaque années au travers des comptage. Les outils de prélèvement d’indices doivent eux aussi être mis à disposition pour avoir moins de déchets et pour encourager chacun à saisir les nombreuses occasions de collecte.
Comptage, le 24 mars 2024 à 11h50;Je suis favorable à cet arrêté pour une méthode de comptage plus fiable et donc plus précise. De plus il serait intéressant de convier le monde cynégétique au développement de cette méthode de comptage, car dispose d’une grande connaissance des territoires .
Le 24 mars 2024, le 24 mars 2024 à 11h56;Oui à une méthode plus fiable de comptage des loups pour arriver à des chiffres plus réalistes et moins contestables  Oui à une participation du monde cynégétique à ce comptage et plus largement tous les acteurs du monde rural concernés en priorité
Méthode d’estimation de la population de loups en Cote d’or, le 24 mars 2024 à 12h02;Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage à venir.
Lolo MC, le 24 mars 2024 à 12h04;Oui à une méthode efficace de comptage des loups. Aidons nos éleveurs.
NON A LA PARTICIPATION DU MONDE CYNÉGÉTIQUE , le 24 mars 2024 à 12h14;Arrêtons de massacrer le loup, ce qui, on le voit bien ne répond aux problèmes des éleveurs. Je suis contre la participation du monde cynégétique à ce grand massacre.
oui pour une méthode de comptage loup fiable, le 24 mars 2024 à 12h15;Enfin on aura une meilleure approche du nombre de loups ! Et un affinage des prélèvements à effectuer. oui pour une possible participation du monde cynégétique.
avis favorable, le 24 mars 2024 à 12h21;oui !! pr la proposition de comptage..
"Participation à la consultation
Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups (Canis lupus) dont la destruction pourra être autorisée chaque année, le 24 mars 2024 à 12h23";Oui je suis favorable à l’utilisation d’une méthode de comptage fiable Oui je suis favorable à la participation éventuelle du monde cynégétique dans le déploiement d’une méthode de comptage fiable.
Capture Marquage Recapture à privilégier, le 24 mars 2024 à 12h25;"tout à fait d’accord à une maitrise du nombre de loups Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Estimation population loup, le 24 mars 2024 à 12h26;Oui à une méthode de comptabilisation fiable. Oui à une participation du monde cynégétique a ce type d’opération.
CMR, le 24 mars 2024 à 12h27;OUI a la CMR et  Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Oui oui et oui, le 24 mars 2024 à 12h59;Oui à une méthode de comptage
Projet d’arrêté de la méthode sur l’estimation de comptage des loups , le 24 mars 2024 à 13h04;Avis favorable à ce projet d’estimation de comptage des loups cela permettra de connaitre vraiment la population
Modif méthode comptage loups, le 24 mars 2024 à 13h17;Avis favorable à ce projet d’estimation de comptage des loups cela permettra de connaitre vraiment la population
Avis favorable, le 24 mars 2024., le 24 mars 2024 à 13h17;Je suis favorable à une méthode de comptage fiable ainsi qu’a une participation massive du monde cynégétique, dans le déploiement de cette nouvelle méthode de comptage.
Modif méthode comptage loups, le 24 mars 2024 à 13h18;Avis favorable à ce projet d’estimation de comptage des loups cela permettra de connaitre vraiment la population et d’envisager un re équilibre vis à vis de la faune sauvage.
Avis favorable !! , le 24 mars 2024 à 13h21;Oui à la CMR et Oui à une  participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Favorable  , le 24 mars 2024 à 13h45;Oui à cette méthode de comptage plus juste
Avis favorable , le 26 mars 2024 à 21h10;Pour un comptage fiable et une régulation des loups à problèmes . Encore une attaque en Béarn il y a peu !! 5 brebis de plis tuées,  juste après une intervention de la brigade anti loup..
comptage fiable, le 26 mars 2024 à 21h36;oui a comptage fiable est si nécessaire réguler les populations à problème
Pas plus favorable à ce comptage qu’au précédent, le 26 mars 2024 à 21h56;Changer de méthode de comptage des loups qui ont recolonisé naturellement notre pays depuis une vingtaine années, pourquoi pas si ces comptages sont effectués en présence de naturalistes indépendants spécialistes de l’espèce, afin qu’il n’y ai pas de doute sur les résultats qui nous seront communiqués. Ces dénombrements peuvent intéresser les scientifiques, et une majorité de citoyens qui est favorable à l’espèce. Malheureusement le but est tout autre puisqu’il s’agit avant tout de fixer des quotas annuels de tirs létaux selon des critères destinés à satisfaire des éleveurs et des chasseurs. La prédation du loup, qui n’est qu’une très faible part de la mortalité des animaux d’élevages, est stabilisée dans notre pays depuis 7ans et les mesures de protection ont fait leurs preuves.  Laissons donc les loups nous aider à réguler les sangliers dont les chasseurs ont favoriser la prolifération.
Non à ce projet , le 26 mars 2024 à 23h45;Laissez les tranquille ! Pourquoi les avoir réintroduit pour les massacrer ! Quelle honte ce pays !
oui à un comptage fiable avec participation souhaitée des chasseurs, le 27 mars 2024 à 07h34;les chasseurs, excessivement nombreux et connaissant parfaitement le terrain doivent apporter leurs compétences au comptage des loups .
Favorable , le 27 mars 2024 à 08h50;Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Oui à un comptage des loups plus exact réalisé par ceux qui vivent et pratiquent leurs activités en zone de présence du prédateur., le 27 mars 2024 à 09h14;"Vivant avec les loups présents chez moi depuis 30 ans je peux dire que ce que certains estiment une chance est en pratique une catastrophe ; perte minime pour les animaux d’élevage ? 10% de brebis tuées sur le camp militaire de Canjuers (1500 sur 15000), régulation du sanglier et du chevreuil ? Ça fonctionne, ils ont quasiment disparu, comme les chamois ou ailleurs les mouflons. Sans parler des dommages causés par les chiens de protection. Et pourtant tout chasseur que je sois je me réjouissais du retour du loup, mais sans réaliser que le problème prendrait une telle ampleur."
Favorable , le 27 mars 2024 à 09h54;Je suis pour utiliser une méthode de comptage Plus fiable
OUI à un comptage fiable afin de réguler , le 27 mars 2024 à 10h18;De nouvelles attaques avec énormément de moutons tués il y a 8 jours chez l’éleveur du village de l’arriere pays niçois (Levens). il faut réduire la population car ça devient intenable : Presque plus de mouflons en montagne alors qu’on en voyait des centaines au bord du lac Negre le soir, beaucoup moins de chamois, et autant de sangliers qu’auparavant alors qu’il n’y a jamais eu de réintroduction et  uniquement qques agrainages d’éloignement en haut du Ferion  pour les éloigner des jardins. Les loups sont un gros problème et les chiffres actuels des comptages sont complètement fantaisistes. Gardons les loups mais à un niveau acceptable.
Oui au comptage des loups selon la nouvelle méthode, le 27 mars 2024 à 10h45;La protection d’une espèce n’exclut pas sa régulation lorsqu’elle cause des dommages qui pourraient ainsi être limités. Le cas du loup se pose aussi dans les Pyrénées Atlantiques où les attaques de troupeaux sont devenues fréquentes dans des zones péri urbaines . L’implication des Fédérations et des sociétés de chasse qui gèrent le terrain me semble tout aussi indispensable que les interventions de défenseurs et autres ligues de protection autoproclamées de la cause animale.
Le loup… dans la bergerie ! On peut constater le fléau engendré par sa prolifération !!!!, le 27 mars 2024 à 12h15;Oui à une participation des représentants du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Oui, le 27 mars 2024 à 12h21;"<span class=""puce"">- Oui à une méthode de comptage fiable  - Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage. ­"
