titre;texte
Défavorable, le 3 juin 2025 à 14h23;Défavorable à ce projet d’arrêté
Agricultrice, le 3 juin 2025 à 14h25;Avis défavorable à la destruction des loups en France. La vie est sacrée et la nature ne nous tue pas. Pourquoi la tuer ?
AVIS DEFAVORABLE, le 3 juin 2025 à 14h27;Je suis contre ce projet d’arrêté, avant de chercher l’éradication, il faudrait plutôt chercher des solutions avec les éleveurs. Le loup revient à peine sur notre territoire qu’il faudrait déjà le condamner. La sauvegarde de la biodiversité passe par la sauvegarde de nos grands prédateurs. Nos pays voisins arrivent à réaliser cette cohabitation.
Défavorable, le 3 juin 2025 à 14h27;Je suis défavorable à cet arrêté.
Défavorable , le 3 juin 2025 à 14h28;Je suis contre ce projet de loi. Il y a des solutions qui ont été prouvées efficaces dans d’autres pays. Il n’y a qu’à les appliquer.
DÉFAVORABLE, le 3 juin 2025 à 14h30;Je suis pour une réintroduction du loup en France, pour son soutien, son encadrement raisonné et totalement contre toute tentative humaine de régulation par armes létales.
AVIS TRES DEFAVORABLE, le 3 juin 2025 à 14h30;"Le seuil déclencheur des autorisations de destruction est beaucoup trop faible ;d’autre part,le loup est un élément essentiel du retour à  l’équilibre démographique des populations .Ainsi,les solutions non létales doivent être absolument privilégiées, des solutions, par ailleurs,très efficaces,utilisées pas très loin de chez nous.De plus,le nombre de loups ,en France,aujourd’hui ,est encore trop insuffisant pour que l’on se permette de lui nuire à ce point."
Défavorable, le 3 juin 2025 à 14h32;Je suis défavorable à ce projet d’arrêté.
Loup, le 3 juin 2025 à 14h32;Je suis contre la modification de la loi. Je suis pour le retour du loup et de sa liberté .
Avis défavorable, le 3 juin 2025 à 14h32;Je suis l’avis du CNPN qui a remis un rapport défavorable sur le sujet.
Participation à la consultation  Projet d’arrêté modifiant l’arrêté du 21 février 2024 fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus) - AVIS DEFAVORABLE, le 3 juin 2025 à 14h33;Non seulement je dénonce ce projet mais attend au contraire une interdiction totale de l’abattage de loups en France ! J’attend également le reclassement du loup en espèce totalement protégée.
Défavorable , le 3 juin 2025 à 14h33;Tuer est une solution de facilité  dangereuse ! Cela évite de chercher d’autres solutions qui existent mais peuvent être un peu complexe.  La Terre est un habitat partagé aux équilibres fragiles . Aucun abattage d’animaux sauvages sans preuve de danger imminent !
Avis défavorable, le 3 juin 2025 à 14h34;Bonjour Je suis défavorable à la lutte pour le développement du loup.  Cordialement
AVIS DEFAVORABLE, le 3 juin 2025 à 14h34;Je suis contre ce projet d’arrêté qui en modifie un autre. La protection du loup a déjà été baissé d’un cran. Cela ne peut pas aller plus loin. Il faut travailler à une plus grande cohabitation avec le loup et le pastoralisme comme cela se gère trés bien dans les pays voisins de la France. Stop à la pression des lobbys
DEFAVORABLE, le 3 juin 2025 à 14h35;Je porte un avis défavorable à ce projet d’arrêté. Les tirs ne sont pas la solution à envisager systématiquement et il est important d’aider à mettre en place et à développer les alternatives non létales en priorité.
Haro contre les tirs sur les loups !, le 3 juin 2025 à 14h36;Les loups sont là naturellement, donc ils sont nécessaires à l’équilibre naturel. Leur tirer dessus, c’est se tirer une balle dans le pied. Partout où ils sont revenus, ils ont fait du bien à toute la nature. Il faut leur foutre la paix et défendre les troupeaux autrement. Les moyens de défense sans meurtre sont connus : chiens patous, clôtures, présence humaine, tirs d’effarouchement. Il y’a aussi la mise en sécurité du troupeau la nuit, je peux comprendre que c’est parfois impossible sur des pâturages de haute altitude, mais en plaine elle doit s’imposer. C’est inadmissible de laisser un troupeau dehors sans surveillance, quand on est éleveur, on doit agir en bon père de famille. Laisserait-on un enfant dehors seul la nuit ? c’est trop facile comme argument de vouloir opposer citadins et ruraux, mes grand-parents étaient ruraux, il n’y avait pas de loups chez eux, mais ils rentraient leurs vaches la nuit. Leur voisin qui élevait des brebis les rentrait aussi. un loup ou une meute aurait pu passer, ils n’auraient pas fait de mal. En Algérie et notamment en Kabylie, il y’a pas mal de loups dans les montagnes du Djurdjura, tout le monde les respecte et les gens sont chagrinés quand ils trouvent le cadavre d’un loup, ils sont parfois victimes des feux de forêt qui sont fréquents en été,  jamais de la chasse, pourquoi vouloir faire comme ces barbares d’Américains qui ont décimé la faune sauvage et aussi la population locale au 19e siècle ? Oui les hommes et les loups peuvent coexister sans problème, les histoires effrayantes racontées sur les loups ne sont que fiction, ils ne sont pas nos prédateurs. Ils peuvent manger un agneau ? Et alors ? Nous aussi, un agneau qui est égorgé et dévoré par un loup aurait autrement été égorgé et dévoré par des humains. Alors foutons-leur la paix.
Avis DEFAVORABLE , le 3 juin 2025 à 14h39;Trouvons d’autres solutions pour cohabiter
Avis très défavorable, le 3 juin 2025 à 14h41;Je m’oppose fermement à ce projet d’arrêté qui facilite encore davantage les tirs de loups, une espèce strictement protégée. Ce texte affaiblit les engagements de la France en matière de biodiversité et privilégie une logique de destruction au lieu de promouvoir des moyens de protection éprouvés et durables (clôtures, chiens de protection, gardiennage). Augmenter les possibilités de tirs ne résoudra pas les difficultés rencontrées par les éleveurs, et contribue à banaliser la violence contre une espèce essentielle à l’équilibre écologique. Ce projet constitue un recul inacceptable. Je demande son retrait.
Défavorable. D’autres pays européens utilisent des moyens de protection efficaces , le 28 mai 2025 à 17h47;"L’affirmation qu’il n’existe pas de référentiel de protection dédié aux troupeaux bovins et équins est fausse et dangereuse. La 6ème recommandation du rapport ""Parangonnage sur la politique publique du loup"" (juillet 2023) conduit par les inspections IGEDD/CGAAER (juillet 2023) porte sur l’abandon de la notion de non-protégeabilité pour les bovins. Il est inexcusable que l’État ignore ce rapport et les recommandations rédigés par ses propres services dans le seul but de faciliter l’octroi de dérogations aux troupeaux ou parties de troupeaux bovins ou équins susceptibles d’être reconnus comme ne pouvant être protégés. Dans sa décision de juillet 2024 (CJUE C-601/22 - 11 juillet 2024) la CJUE précsie que : avant d’autoriser une dérogation, l’État doit s’assurer que celle-ci ne nuit pas à l’état de conservation favorable de l’espèce dans son aire de répartition naturelle (locale, nationale et extra frontalière) ; la balance doit être réalisée entre la délivrance de la dérogation et les intérêts en cause, en termes d’avantages et d’inconvénients écologiques, économiques et sociaux, sans pour autant que les implications économiques revêtent un caractère déterminant dans la définition de la non-protégeabilité ; en ce qui concerne la non-protégeabilité, la ""mise en œuvre de ces programmes et plans de gestion"" peut impliquer l’introduction de ""changements dans les activités agricoles concernées"" afin d’assurer une protection suffisante contre les loups (clôtures, chiens de garde, etc.). De tels changements, observe la Cour, ""s’accompagnent nécessairement de certains coûts"", et ces coûts ""ne sauraient constituer un motif suffisant pour déroger"" à la protection stricte prononcée dans l’article 16, paragraphe 1, de la directive 92/43, telle que modifiée par la directive 2013/17."
avis défavorable, le 28 mai 2025 à 17h48;Sous la pression des lobbys agricoles, l’état et l’Europe faut machine arrière sur la protection du loup, c’est comme pour les pesticides l’état veut mettre des normes plus basse pour la santé des consommateurs mais sous la pression des agriculteurs il revient en arrière
Défavorable , le 28 mai 2025 à 17h50;Défavorable,La régulation par l’homme n’est plus la solution dans le cadre d’un effondrement de la biodiversité
Absolument Défavorable, le 28 mai 2025 à 17h57;La réintroduction du loup permet aux écosystèmes détruits de se rééquilibrer. Respectons cet animal et mettons en place (les éleveurs) les mesures de sécurité nécessaires (patous etc…) Nous assistons aujourd’hui à un véritable déchaînement anti-loup, en particulier de la part des chasseurs qui ne respectent rien. C’est inadmissible !  Arrêtons de détruire la nature. Le véritable prédateur n’est pas celui qu’on croit : c’est l’homme
Contre le ’’massacre’’ des loups , le 28 mai 2025 à 17h58;Je suis contre les tirs sur le loup qui est une espèce protégée. Les éleveurs n’ont qu’à surveiller les bêtes.
Défavorable , le 28 mai 2025 à 18h01;D autres solutions pour le vivre ensemble existent !
Avis défavorable, le 28 mai 2025 à 18h06;Que l’on supprime la chasse. Les loups iront se nourrir sur la faune sauvage. Les éleveurs ne font rien ou très peu pour protéger leur bétail. L’homme, à force de jouer l’apprenti sorcier avec la nature est en train de couper la branche sur laquelle il est assis
Avis défavorable , le 28 mai 2025 à 18h11;Texte beaucoup trop permissif. Certains arguments sont de mauvaise foi. Un juste terme doit exister pour à la fois permettre une présence raisonnable du loup et une protection des élevages
AVIS DÉFAVORABLE , le 28 mai 2025 à 18h16;Le Conseil National de Protection de la Nature a rendu un avis défavorable à l’unanimité contre ce projet de modification, il faut suivre cet avis scientifiquement fondé.
Projet d’arrêté modifiant l’arrêté du 21 février 3/2024 concernant le loup, le 28 mai 2025 à 18h20;Avis DEFAVORABLE !! Le loup doit rester protégé !
Très Défavorable !!!, le 28 mai 2025 à 18h25;- Le recours à l’effarouchement est pourtant reconnu comme méthode non létale de dissuasion, n’est plus requis avant d’autoriser un tir létal = une abérration  - Le seuil déclencheur d’une autorisation reste très faible : une seule prédation au cours des 12 derniers mois suffit, sans que l’efficacité des tirs pour réduire les prédations soit démontrée à ce jour = pression des syndicats agricoles - L’appréciation de l’état de conservation de l’espèce repose encore uniquement sur les effectifs nationaux, ce qui ne reflète pas la réalité écologique locale.  - Bien que vous dites vouloir encadrer les tirs par des mesures de prévention, il n’est ^pa prévu d’obligation de mettre en place plusieurs dispositifs efficaces. Une seule mesure, même marginale, peut suffire pour obtenir une autorisation de tir, sans contrôle ni évaluation de son efficacité = encore sous pression des syndicats agricoles - Le texte ne prévoit ni accompagnement humain, ni appui financier pour les éleveurs afin de mettre en place ces mesures, ce qui compromet leur réelle application sur le terrain = les créateurs de ce texte n’ont aucune connaissance des réalités du terrain.
Favorable , le 28 mai 2025 à 18h36;Le loup coûte trop cher à la société et donc aux contribuables . Son expansion incontrôlée va accentuer ce coût. L’élevage rend plus de services à la biodiversite et crée de la richesse. Toutes les associations pro loup se sont créés pour faire du business, elles possèdent des moyens financiers insoupçonnés, il faut les faire participer à l’indemnisation des dégâts. Une régulation est indispensable, surtout que l’action très bénéfique du prédateurs sur la biodiversite n’est pas prouvée.
DEFAVORABLE AU PROJET D’ARRETE, le 28 mai 2025 à 18h41;Ce projet d’arrêté ignore une étude de parangonnage sur la politique publique du loup conduite par les inspections IGEDD/CGAAER (publiée en septembre 2023) qui indique que des moyens de protection des troupeaux bovins sont utilisés dans d’autres pays européens et sont efficaces. Ces mesures de protection sont à déterminer en fonction des caractéristiques locales et des conduites des troupeaux. La 6e recommandation de ce rapport IGEDD/CGAAER porte précisément sur l’abandon de la notion de non-protégeabilité pour les bovins.     Ce projet d’arrêté prévoit que le préfet de département puisse octroyer des tirs sur la base d’une analyse technico-économique territoriale. Or, les modalités de définition de cette analyse « technico-économique » territoriale ne sont pas encadrées dans le projet d’arrêté et ne correspondent pas aux conclusions de la décision de la CJUE de juillet 2024 (CJUE C-601/22 - 11 juillet 2024) qui affirme qu’en ce qui concerne la non-protégeabilité, la « mise en œuvre de ces programmes et plans de gestion » peut impliquer l’introduction de « changements dans les activités agricoles concernées » afin d’assurer une protection suffisante contre les loups (clôtures, chiens de garde, etc.). De tels changements, observe la Cour, « s’accompagnent nécessairement de certains coûts », qui « ne sauraient constituer un motif suffisant pour déroger » à la protection stricte de l’article 16.     Le projet d’arrêté liste 10 mesures « valant réduction de la vulnérabilité des troupeaux bovins et équins, et prévoit que l’application d’une seule d’entre elles permet l’autorisation de tir par le préfet de département. Or, seulement 5 d’entre-elles permettent effectivement de réduire la vulnérabilité voire sont de nature à assurer la protection des troupeaux. Les 5 autres (les colliers GPS et les pièges photos permettent juste d’alerter, les clôtures dans les zones dangereuses, la présence de bovins à cornes, le regroupement des lots pour avoir des troupeaux plus importants en nombre, visite quotidienne), ne réduisent pas la vulnérabilité des troupeaux. Le projet d’arrêté prévoit que le préfet peut octroyer des tirs si le troupeau a subi une prédation au cours des 12 derniers mois. Ce seuil de déclenchement pour autoriser des tirs est très bas et ne répond pas à la condition « de dommages importants aux troupeaux domestiques » justifiant un tir. Le critère de « dommages importants » prévu par le cadre juridique doit être respecté. Dans des situations de troupeaux en cours de mise en place de mesures de protection ou de réduction de vulnérabilité efficaces, l’autorisation de tirs létaux doit être interdite. L’effarouchement des loups par des tirs non létaux peut correspondre à une solution satisfaisante si elle est conditionnée à la mise en place de moyens plus efficaces.    Au lieu de faciliter encore et toujours les tirs du loup, alors que l’efficacité de ces tirs n’est toujours pas prouvée, l’Etat devrait élaborer un « schéma de protection techniquement validé » pour les élevages bovins, en lien avec les professionnels, les parties prenantes et en tenant compte des expériences et pratiques dans d’autres pays, comme cela a été fait pour l’élevage ovin depuis des années déjà.
Avis défavorable , le 28 mai 2025 à 18h42;Tirer sur tout et n importe quoi et comment ne fera qu empirer les choses.. Mettons déjà des moyens de protection efficace..donnons les aides a ceux qui les mettent en oeuvre et limite..ou ne sont plus attaques…privilégions le bons sens..se protéger.. c’est la base et l essentiel….
Très défavorable, le 28 mai 2025 à 18h43;Le loup est et doit rester un animal sauvage protégé. Il y a énormément de solutions connues non léthales qui permettent d’éviter les prédations. La nature doit être respectée . Les abattages ne sont de toute manière pas une solution car le loup tué laisse la place à un nouveau conquérant de l’espace vide laissé. ce sera donc sans fin !
Avis défavorable , le 28 mai 2025 à 18h46;Aucuns humains à le droit de mettre en cause la nature, d’autant plus que les éleveurs ne font Aucuns efforts pour la protection sur leurs pâturages.  Le loup est en aucuns cas coupables des attaques si ont lui laisserais reguler naturellement, alors que l’humains piétine sa chasse et qu ils est essentiel à la biodiversité.  Si l’humains à peur sans vouloir prendre conscience que tout les animaux ont une fonction importante pour la nature c est eux qui faut visé, puisqu’ils seront toujours incapable de cohabiter.  Je dis non, aux abattage des loups et je dis oui à la cohabitation protéger.
Contre le projet de loi, le 28 mai 2025 à 18h49;Je suis contre le projet de loi.  Il y a beaucoup de moyens à mettre en place pour protéger les troupeaux sauf que les agriculteurs ne veulent fournir aucun effort. Le loup est essentiel à la biodiversité et à la nature. Laissez le vivre !
AVIS DEFAVORABLE, le 28 mai 2025 à 18h56;Le loup est nécessaire à la Nature et à la Biodiversité. La solution est d’aider les éleveurs de troupeaux à mieux protéger leurs animaux. La Nature est capable de réguler la population des loups naturellement si on veut bien la laisser le faire. D’autres pays ont appris à co-habiter avec le loup depuis le fond des âges, pourquoi pas la France?
Projet d’arrêté à arrêter net !, le 28 mai 2025 à 19h01;Que ce projet soit signé par une ministre qui devrait avoir en mémoire la Loi de restauration de la nature et devrait avoir pour objectif la protection de la biodiversité, c’est un LOUP-É ! En Aquitaine quelques loups commencent à être observés ici ou là. Certes il y a eu une prédation certaine sur des moutons, mais le troupeau n’était pas gardé ! Certes une affirmation saugrenue est apparue dans la loi d’orientation agricole comme quoi il n’existerait pas de moyens de prévention et de protection pour des troupeaux exposés à des loups ! Faut-il rappeler à des ministres épaulés par des conseillers qu’un écosystème, c’est un système où il y a des prédateurs supérieurs ? Faut-il rappeler à ces ministres que dans nos départements il y a un accroissement des populations de cervidés et surtout de sangliers qui pourrait être prédatés par des loups ? Enfin faut-il leur rappeler que la prévention passe par l’éducation : éducation des éleveurs (5 des mesures prévues pour autoriser un tir léthal ne sont pas efficaces !) éducation des loups (un tir d’effarouchement est lui très efficace !) Le CDCFS 40 m’avait suivi lorsque j’avais émis le souhait de laisser des loups prospérer dans le département des Landes. J’ai beaucoup apprécié l’avis du CNPN et j’aimerais que les ministres le relise. Georges Cingal, Secrétaire général SEPANSO Aquitaine
Favorable , le 28 mai 2025 à 19h02;Il faut arrêter de dilapider l’argent que ce soit pour la protection du loup mais aussi pour toutes ces associations qui n’ont comme but que leur petit business. Et non la cohabitation ne ce passe pas mieux en Italie ou dans beaucoup d’autre pays comme le répète tous les lobotimisé du cerveau après avoir vu 2 vidéos youtube mais ne sont jamais confronté au sujets dont ils parlent
défavorable, le 3 juin 2025 à 15h26;Les solutions non létales existent et ont fait leurs preuves ! Elles existent dans d’autres pays.
Defavorable, le 3 juin 2025 à 15h26;Le loup n est pas un problème… il régule les grands mammifères.  Et lui  ne pollue pas…
Avis défavorable, le 3 juin 2025 à 15h28;J’espère le monde de demain avec sa bio-diversité, loups , oiseaux, renards, abeilles …
DEFAVORABLE, le 3 juin 2025 à 15h29;Le loup , tout comme les autres espèces sauvages, sont nécessaires à l’équilibre et au bien être de la planète. L’homme doit arrêter de détruire cet équilibre et doit apprendre à respect le vivant et à vivre avec. C’est dans son intérêt pour les générations à venir. Les éleveurs français n’ont qu’à s’inspirer les éleveurs italiens qui vivent en harmonie avec le loup.
Defavorable , le 3 juin 2025 à 15h30;As t on encore besoin d expliquer qu il faille proteger le sauvage
Défavorable , le 3 juin 2025 à 15h31;Contre.  D’autre solutions existent.
Avis favorable , le 3 juin 2025 à 15h33;En tant que particulier possédant des poneys Shetland en Bretagne et un veau mangé par le loup sur ma commune je trouve absolument aberrant qu’on puisse laisser les loups revenir sur le territoire !  Construire des clôtures hors de prix et donc dénaturer le paysage ….quelle blague. Mes animaux ne sont pas mon gagne pain mais font partis de la famille. Ils sont faits pour vivre dehors alors quelle hérésie de vouloir voir les loups traumatiser nos belles campagnes.  Après plusieurs mois à stresser à cause des mutilations d’animaux on voudrait nous laisser indéfiniment dans un contexte de stress permanent pour nos compagnons à 4 pattes.  Donc stop, nos animaux ont le droit de vivre sans être menacés par les loups.
Défavorable, le 3 juin 2025 à 15h33;Toujours adorer la solution de facilité qui consiste à éliminer ce qui gêne . D’autres pays arrivent à avoir une cohabitation avec le loup , il faudrait peut-être s’en inspirer .
Avis défavorable, le 3 juin 2025 à 15h33;La présence du loup est important pour l’écosystème. Il faut travailler en amont avec les éléveurs afin de trouver des moyens de vivre côte á côte avec les animaux sauvages. Les techniques efficaces employées dans les autres pays doivent être étudiées et appliquées également en France.
DEFAVORABLE, le 3 juin 2025 à 15h33;1. Une synthèse des études et des expérimentations sur les moyens de protection des élevages bovins doit être réalisée et diffusée, comme le prévoit le PNA 2024-2029 « Loup et activités d‘élevage ».  2. L’attribution des autorisations de tir par les Préfets se base uniquement sur les dommages, sans évaluation de l’état de conservation du loup aux différents niveaux géographiques. 3. Les solutions non létales telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement, soutenus par une aide financière adaptée, doivent être privilégiées avant toute autorisation de destruction.  4. Aucun bilan des effets des arrêtés précédents sur la conservation du loup et sur les dommages aux troupeaux n’a été réalisé.   L’élaboration de l’analyse technico-économique territoriale doit être mieux cadrée et réalisée par un prestataire « neutre ».   Le seuil déclencheur d’une autorisation de destruction est très faible : une seule prédation au cours des 12 derniers mois suffit. 5. Si l’élaboration d’une liste de mesures de réduction de vulnérabilité est un progrès de principe par rapport à l’affichage de la « non-protégeabilité » des troupeaux de bovins, une seule de ces mesures peut suffire pour obtenir une autorisation de tir. Il est important qu’au minimum deux mesures soient requises, afin que le dispositif soit efficace en termes de protection.  6. Des moyens de protection efficaces pour les troupeaux bovins et équins existent ailleurs en Europe et fonctionnent très bien, comme le montre l’étude « Parangonnage sur la politique publique du loup ». 6. Le projet d’arrêté a également reçu un avis défavorable du Conseil national de la protection de la nature (CNPN).
Défavorable, le 3 juin 2025 à 15h35;Les arguments des associations environnementales sont connus pour faire vivre côte à côte faune sauvage et élevage. Alors  l’éradication ça suffit. Votre politique de l’environnement est de manière générale néfaste.
Défavorable , le 3 juin 2025 à 15h35;Après avoir été exterminés,  les loups sont revenus dans notre pays et ne sont pas les bienvenus. Pourtant les loups font partie intégrante de la biodiversité et participent à sa préservation et à celle de nos territoires.  Laissez les vivre.  D’autres solutions existent.
loup, le 3 juin 2025 à 15h36;Je suis contre toutes les exterminations !!!! donc contre celle là aussi, le vivant est à respecter, toutes les espèces sont utiles…
Défavorable !, le 3 juin 2025 à 15h37;Défavorable ! L’élimination du loup (souvent incriminé sans preuve) qui est faite sans chercher à trouver d’autres solutions (elles existent !) est une aberration !
Et si on s’inspirait de ce qui se passe en Italie dans les Abruzzes?, le 3 juin 2025 à 15h38;Je suis tout à fait défavorable à ces destructions , à ces autorisations de tirs sur les loups c’est un manque total de respect des chaines alimentaires , sans aucune autre solution envisagée alors qu’elles existent , informez vous donc sur la cohabitation des loups et des bergers dans la Abruzzes !
DEFAVORABLE, le 3 juin 2025 à 15h38;Le loup a toute sa place dans la biodiversité. Il prélève très majoritairement dans la faune sauvage, et s’auto régule trés efficacement. La cohabitation peut s’organiser sans tuer, cela se pratique avec succès dans d’autres pays.
Oui au loups sauvages ., le 3 juin 2025 à 15h39;Pour la survie de la faune et flore sauvage.  Oui au loup.  Non à leurs tuerie.
Sauvons les loups  , le 3 juin 2025 à 15h40;Je suis défavorable à ce nouvel arrêté proposé. Nous devons trouver d’autres solutions que d’abbattre les loups qui sont indispensables pour le bien etre de nos forêts et l’équilibre de notre nature. Pour limiter les dégâts, il faut apprendre a vivre avec eux comme font beaucoup de nos confrères européens. Le loup n’est pas responsable de tous ces déséquilibres que l’humain. À nous de respecter la nature qui nous entoure.
Conservation de toutes les espèces y compris le loup , le 3 juin 2025 à 15h42;Avis défavorable, le 3 juin 2025 à 15h33 La présence du loup est important pour l’écosystème. Il faut travailler en amont avec les éléveurs afin de trouver des moyens de vivre côte á côte avec les animaux sauvages. Les techniques efficaces employées dans les autres pays doivent être étudiées et appliquées également en France.
Défavorable , le 3 juin 2025 à 15h43;Le loup a toute sa place ds d l’écosystème
TRES DÉFAVORABLE , le 3 juin 2025 à 18h24;Laissez la nature tranquille ! Arrêtez de contribuer à faire disparaître les animaux sauvages ! Les solutions non létales telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement, soutenus par une aide financière adaptée, doivent être privilégiées avant toute autorisation de destruction.  Des moyens de protection efficaces pour les troupeaux bovins et équins existent ailleurs en Europe et fonctionnent très bien, comme le montre l’étude « Parangonnage sur la politique publique du loup ».
Défavorable, le 3 juin 2025 à 18h24;Le loup est un régulateur naturel qui participe à l’équilibre de la faune. Il représente moins de danger pour l’homme que la pratique de la chasse et ses accidents.
Avis DÉFAVORABLE , le 3 juin 2025 à 18h24;Je suis contre cet arrêté. Et franchement agacée par cet acharnement contre les loups alors qu’il existe des solutions non létales qui fonctionnent dans d’autres pays d’Europe.    Encore une idée révoltante du gouvernement Macron pour satisfaire le lobby de la chasse et la fnsea. La cohabitation est possible avec le loup, mais encore faut-il se renseigner sur les solutions au lieu de vouloir toujours tuer la faune sauvage. C’est écoeurant.
Avis défavorable , le 3 juin 2025 à 18h24;Avis défavorable !!!!!!!! Laissez les loups tranquille
Defavorable, le 3 juin 2025 à 18h25;Le loup est un régulateur naturel et d’autres solutions non légales devraient être mis en place.
completement défavorable, le 3 juin 2025 à 18h25;la nature a été completement désorganisée par l’homme qui veut avoir la main mise sur tout. le loup fait parti de cette nature qui n’ appartient à personne et qui se suffit à elle même. d’autres pays comme l’Italie cohabite avec le loup  sans problème et la france n’est pas capable d’en faire autant.
N’ayez plus peur du grand méchant loup, le 3 juin 2025 à 18h26;Prenez le temps et le recul pour réaliser que depuis des siecles rien n’a bougé , vous en etes encore à tuer des loups. De quoi avez vous peur ???? Soyez des adultes responsables et arretez de vous acharner sur cette espece et soyez capable de partager la nature avec elle.  Il est temps de grandir  Catherine
AVIS DEFAVORABLE, le 3 juin 2025 à 18h26;"Laissez le loup tranquille. Il contribue à l’équilibre des écosystèmes. Regardez le documentaire sur ""Les loups, sauveurs du parc de Yellowstone"" qui a été diffusé le Samedi 24 Mai 2025 sur Arte. Il existe bien d’autres méthodes que vous connaissez déjà pour préserver les troupeaux."
Avis défavorable , le 3 juin 2025 à 18h27;Je suis CONTRE toute atteinte au statut du loup.
AVIS DEFAVORABLE, le LOUP doit pouvoir VIVRE, le 3 juin 2025 à 18h27;le loup est un prédateur naturel et en tant que tel doit être protégé, laissons les vivre tranquilles
défavorable, le 3 juin 2025 à 18h27;Il n’y aucune évaluation de l’état de conservation du loup aux différents niveaux géographiques. Où sont les effets des arrêtés précédents sur la conservation du loup et sur les dommages aux troupeaux? Rien n’a été réalisé et on veut encore tirer sur le loup sans vraiment savoir !   Des moyens de protection efficaces pour les troupeaux bovins et équins existent ailleurs en Europe et fonctionnent très bien, comme le montre l’étude « Parangonnage sur la politique publique du loup ». Pourquoi ne pas s’en inspirer?
Avis Défavorable., le 3 juin 2025 à 18h28;Il existe d’autres moyens, mis en œuvre dans d’autres pays européens, permettant la cohabitation entre les élevages et les loups. Il faut nous en inspirer !
Evelyne, le 3 juin 2025 à 18h28;Non à toute atteinte contre le peu de nature et d’animaux encore présents sur terre !
Contre, le 3 juin 2025 à 18h29;Laissez les loups tranquilles !
Mon avis projet loup, le 3 juin 2025 à 18h29;Je m’oppose à ce nouveau projet pour permettre la régulation par tir du loup en France. Ce n’est pas une solution. Il existe de nombreux moyens pour améliorer la cohabitation loup / troupeaux qui ont fait leurs preuves dans d’autres pays. Le loup est une espèce qui doit rester protégée Si on laissait la Nature faire son auto régulation seule ce serait plus efficace. Plutôt que d’abattre bêtement les loups, vous devriez en faire un moyen d’observer la faune sauvage qui rapporterait de l’argent aux locaux. Les espagnols ont su le faire : pourquoi pas les français ?
Très défavorable, le 3 juin 2025 à 18h30;Très défavorable à l’emprise de l’homme sur les écosystèmes et à la destruction du vivant. Il existe des moyens de cohabiter avec le loup autrement qu’en lui tirant dessus.
DEFAVORABLE, le 3 juin 2025 à 18h30;"Avant de permettre l’abattage des loups, il faudrait analyser les raisons pour lesquelles il y a plus d’animaux d’élevage tués en France que dans les autres pays d’Europe où les élevages cohabitent avec les loups. Autoriser les tirs contre les loups, lorsqu’une seule ""mesure de réduction de la vulnérabilité"" a été mise en oeuvre serait déraisonnable, c’est souvent la conjugaison de plusieurs stratégies qui permet une meilleure protection."
Très défavorable , le 3 juin 2025 à 18h30;Les expériences ont montré que la surveillance des troupeaux et l’utilisation de clôtures électriques étaient efficaces. Les tirs ne font que déstabiliser les meutes, isoler les individus qui n’ont alors plus la possibilité de chasser des animaux sauvages. Ils se reportent alors sur les animaux d’élevage.
Avis défavorable , le 3 juin 2025 à 18h32;Le loup est un régulateur  naturel précieux. Laissez le tranquille et laissez lui assez de place pour vivre sa vie tranquillement.
DÉFAVORABLE, le 3 juin 2025 à 18h32;"Défavorable à ce projet de dérogation. Les solutions non létales (bergers, clôtures, chiens de protection, effarouchement), soutenus par une aide financière adaptée doivent être privilégiées avant toute autorisation de destruction. Ras-le-bol des articles à charge. Les chiens errants (et non errants) font plus de victimes parmi le bétail que le loup. Mais rien dans la presse… Il serait grand temps d’apprendre à cohabiter avec l’ensemble du monde ""sauvage"" qui se meure de plus en plus vite."
AVIS DÉFAVORABLE , le 31 mai 2025 à 19h32;Des solutions multiples existent, il est temps de les appliquer. Certains pays ont des populations bien plus élevées qu’en France et la cohabitation se passe parfaitement bien. L’état doit arrêter de succomber aux lobbies divers.  KA BIODIVERSITE N’EST PAS UN SUJET DE NEGOCIATION
avis défavorable, le 31 mai 2025 à 20h02;Ce projet d’arrêté fait passer la facilité administrative avant la cohérence scientifique. La coexistence entre pastoralisme et prédateurs est affaiblie
Defavorable, le 31 mai 2025 à 20h09;Les tirs létaux n’ont jamais résolu les problèmes de prédation, voir les expériences dans divers pays. USA, Slovaquie, Italie et en particulier les dernières études US de 2025 sur la prédation des troupeaux des ranchs (Brooke Jacobs, Peter Kareiva ) en se basant sur les informations de l’USDA ( ministère de l’agriculture). Les tirs d’effarouchement et la protection intégrale des troupeaux ont montré une plus grande efficacité.
avis défavorable , le 31 mai 2025 à 20h22;suivant les recommandations et les remarques que fournit le CNPN donnant un avis défavorable pour les raisons données dans le présent document fourni par le CNPN.
