opinion,sujet,checked_text
Défavorable," Contre la poursuite des destructions, le 17 juin 2023 à 15h20",Contre la poursuite des destructions. Je suis contre ce projet d’arrêté qui vise à la destruction par l’homme d’espèces qui ont toute leur place dans le vivant. D’autres méthodes existent pour lutter contre les dérangements occasionnés par les ESOD mais ne sont pas suffisamment mises en œuvre.
Défavorable," Participation à la consultation

Projet d’arrêté pris pour l’application de l’article R. 427-6 du code de l’environnement et fixant la liste, les périodes et les modalités de destruction des espèces susceptibles d’occasionner des dégâts, le 17 juin 2023 à 15h15","Projet d’arrêté pris pour l’application de l’article R. NOMBRE - NOMBRE du code de l’environnement et fixant la liste, les périodes et les modalités de destruction des espèces susceptibles d’occasionner des dégâts. Bonjour,,Non à la destruction de tous les animaux qualifiés ( Esod ). ,Tous ces animaux font partie de la chaîne naturel au même titre que l’homme qui pourtant produit les plus gros dégâts sur notre terre.,Toujours vouloir oublier les pouvoirs naturels de régulation des renards, putois, belette, fouine , martre mais préférer le chimique et la chasse.,France pays des lumières tolère encore le piégeage cruel , le déterrage, la col , quelle honte pour satisfaire les modernes divers et variés.,Bref je fais partie des NOMBRE de français contre ce nouvel projet de classement esod pour les NOMBRE année à venir.,BLING-BLING Charles Alsacien du Bas-Rhin fier que dans notre département le blaireau n’est plus chassable."
Défavorable," Je suis contre cet arrêté, le 17 juin 2023 à 15h14","Je suis contre cet arrêté. Je suis contre la destruction du vivant et ce projet issu de la prétention d’un humain qui n’a toujours pas compris que la nature se régule mieux que lui peut le faire. On ne compte plus les désastres écologiques que l’homme crée et continue de répandre le message que sans lui tout est déréglé. Concernant les espèces considérées, elles sont tout à fait utiles. Le Renard régule Lyme, Lyme est en pleine expansion. Il n’y a aucun contre argument. Les poules sont bien souvent tuées par des chiens errants, on ne tue pas les chiens pour autant. On ne va pas détruire tout ce qui mange la même chose que nous, ou alors l’être humain est tellement stupide qu’il mérite bien la disparition vers laquelle il se mène lui-même, à grands coups d’arrêtés autorisant les DESTRUCTIONS d’espèces. Nous sommes dans la 3D ère de disparitions massives d’espèces animales et végétales. Il n’y a plus à détruire mais à retrouver les modalités de vie en harmonie avec notre planète. La planète n’est pas faite pour être couverte de béton, de câbles électriques, de centrales nucléaires, et sans animaux. Toutes les études montrent bien l’importance de chaque maillon dans la vie d’un écosystème. Détruire (ha pardon ""réguler"") une espèce c’est déséquilibrer un écosystème qui est plus intelligent que nous. De ce fait, et en connaissance des fonctions infiniment complexes et parfaites d’autorégulation de la nature, je m’oppose totalement à la soi disant prise en charge de la régulation de la nature pour l’homme. NON à ce projet."
Défavorable," Stop à l’écocide, le 17 juin 2023 à 15h13","Stop à l’écocide. Et l’être humain on le classe où? Pour moi il est en tête de la liste des nuisibles. C’est le premier à déséquilibrer et détruire les écosystèmes, totalement contre ce projet !!"
Défavorable," Non aux destructions d’espèces vivantes, le 17 juin 2023 à 15h13","Non aux destructions d’espèces vivantes. en tant que citoyenne française, votante, je tiens compte comme beaucoup aujourd’hui de l’attitude des autorités vis à vis de la faune sauvage. Et je m’oppose à des mesures visant à détruire des espèces soit disant nuisibles, à tuer par des méthodes cruelles, de piégeage, de déterrage etc..des oiseaux, des animaux qui ont un rôle bénéfique pour la biodiversité et l’équilibre écologique : le renard et d’autres se nourrissent des petits rongeurs qui dévastent les cultures, en éliminant les renards on voit les agriculteurs utiliser des produits chimiques polluants pour s’en débarrasser.,Les procédures de classement sont réalisés d’après les données des chasseurs qui ne sont jamais vérifiées et l’on s’aperçoit qu’il s’agit surtout pour eux de se débarrasser d’animaux concurrents pour l’accès au gibier. Les français sont très très majoritairement opposés désormais à la chasse alors que la biodiversité s’effondre partout et que ces chasseurs nous font peur quand on les rencontre dans les chemins le dimanche.,Faisons appel à des scientifiques pour analyser de façon objective la place de la faune sauvage dans notre pays et arrêtons les massacres indignes encore présents dans notre pays !"
Défavorable," Biodiversite, le 17 juin 2023 à 15h13","Biodiversité. La nature est plus armée que nous . l espèce humaine est devenue un pou pour la planète . Elle saura réguler les espèces. Tout etre vivant a son utilité. L un est proie, l autre prédateur. Laissons les renards, blaireaux, et ""autres nuisibles"" faire leur boulot. Laissez les vers de terre vivre et réparer la terre. . Il est grand temps de se réveiller et de réparer ces années folles."
Favorable," POUR, le 17 juin 2023 à 22h58","POUR. Je suis pour la mise en place de cet arrêter car la régulation des espèces est essentielle à l’écosystème et la biodiversité, toutes espèces doit être régulé intelligemment pour l’équilibre et la bonne santé de chacune d’elles ."
Défavorable," Contre ce projet, le 17 juin 2023 à 13h22","Contre ce projet. Lorsque Mao a voulu éradiquer les quatre nuisibles : moineaux, rats, moustiques et mouches, au lieu d’augmenter les récoltes, il a plongé son pays dans une famine sans précédent. Nous savons maintenant que chaque espèce est importante pour la biodiversité.,Aujourd’hui, cette biodiversité est en régression du fait des activités de l’homme. Au lieu de continuer à détruire des animaux il faudrait préserver leur habitat, leur environnement, leurs ressources et arrêter de les empoisonner.,L’urgence environnementale est primordiale. C’est le travail de nos politiques de la faire passer au premier plan."
Défavorable," Ça suffit !, le 17 juin 2023 à 22h16",Ça suffit !. La seule espèce nuisible c’est l’humain… Tous ces animaux ont leur place et leur utilité dans l’écosystème. Pourquoi vouloir détruire ceux auxquels nous n’arrivons pas à nous adapter plutôt que de remettre en question nos outils et nos coutumes ?
Défavorable," Avis défavorable , le 17 juin 2023 à 22h16",Avis défavorable . Ces animaux sont des régulateurs et font partie d’une biodiversité indispensable et déjà en souffrance
Défavorable," Défavorable , le 17 juin 2023 à 22h17","Défavorable . Il me semble complètement aberrant d’autoriser le massacre (le terme régulation est effectivement plus doux aux yeux et aux oreilles et évite ainsi de choquer mais il s’agit bien de massacre) d’espèces qui prolifèrent du fait de la gestion de l’environnement. Comment justifier l’autorisation d’utilisation de produits chimiques pour réguler des campagnols et en parallèle, juste à côté, autoriser le déterrage de renards ? ,Qui « régule » ? Des personnes habilitées et neutres ou des personnes qui prennent plaisir à tuer, persuadées d’être au-dessus de toute vie sur terre et d’avoir le pouvoir de vie et de mort sur autrui ? ,Par ailleurs, je doute qu’exterminer quelques espèces, puisque c’est bien l’objectif de ceux qui pratiquent cet exercice, permettent à d’autres de se développer si l’on ne tient pas compte, en parallèle, de leurs besoins primaires en matière de nourriture et d’environnement…."
Défavorable," Contre , le 17 juin 2023 à 22h17",Contre . Qui sont les vrais nuisibles hein ??? Je suis contre ! Laissez les animaux tranquille c’est nous qui sommes sur leur royaume
Défavorable," Avis totalement défavorable à l’inscription du renard sur la liste ESOD, le 17 juin 2023 à 22h19","Avis totalement défavorable à l’inscription du renard sur la liste ESOD. NOMBRE . L’écosystème évolue aujourd’hui d’une manière très difficile à prévoir ou comprendre (effets, vitesse du changement) avec le dérèglement climatique. Les experts eux-mêmes en sont surpris. L’impact du classement du renard en ESOD pour une période de NOMBRE ans dans ce contexte est totalement déraisonnable. L’action de supprimer des renards est irréversible et porte effet pour de longues années (les NOMBRE ans de classement, plus les années à retrouver une population souhaitée en cas d’évolution défavorable). C’est d’autant plus vrai que pour certaines régions comme l’Auvergne, l’effet du dérèglement climatique sur l’écosystème est très difficile à prévoir (grosses variabilité des paramètres à prendre en compte et des effets). De nombreux experts recommandent pour l’instant de ""laisser faire"" et d’intervenir le moins possible, tant qu’on ne sait pas où on va.,NOMBRE . Par ailleurs, le renard considéré comme nuisible pour certains (élevages aviaires) s’avère un auxiliaire précieux pour d’autres (cultivateurs ou éleveurs bovins ayant subi les ravages du campagnol par exemple). La protection d’un élevage aviaire est aisé à mettre en place (vivant personnellement dans une région où je vois des renards très fréquemment, je n’ai jamais subi de dommage dans mon poulailler, pas plus que mes voisins proches ou un peu plus éloignées). Des aides peuvent être allouées aux éleveurs aviaires afin de mettre en place des protections adéquates. Les dégâts occasionnés par le renard n’ont jamais mis en péril une saison d’activité d’aucun de ces éleveurs.,NOMBRE . Finalement, laisser la ""charge"" de l’élimination, qui est dans la pratique opérée sans contrôle sur ses modalités, à des gens dont on ne vérifie pas leur position vis à vis du respect du bien être animal est totalement irresponsable et indigne. Il suffit de rappeler les actes de grande cruauté commis au cours de déterrages (avec ou sans chien) des blaireaux. Au non de quoi des particuliers dont on ne sait rien peuventils être investis de la charge qu’a l’État de réguler les ESOD ?,,On ne peut pas laisser l’intérêt immédiat de quelque uns porter préjudice à l’ensemble."
Favorable," Favorable , le 17 juin 2023 à 22h19",Favorable . Favorable a cette arrêté on parle de régulation et non d’extermination de ces espèces qui cause énormément de dégâts dans nos campagnes mais sa il faut y vivre pour le voir
Défavorable," CONTRE CE CLASSEMENT "" ESPECES NUISIBLES"", le 17 juin 2023 à 22h20","CONTRE CE CLASSEMENT "" ESPÈCES NUISIBLES"". aucun animal ne doit être classé nuisible,faisons preuve de bienveillance à l’ensemble des animaux cela changerait le monde dans lequel nous vivons , c’est à dire un monde ayant peu d’empathie pour les animaux mais aussi finalement les hommes ,ces espèces ont autant le droit de vivre que nous !,quel droit avonsnous de les tuer ?,aucun ,supprimons le droit de tuer ces animaux"
Défavorable," Non aux arrêtés de destruction des nuisibles, le 17 juin 2023 à 22h20","Non aux arrêtés de destruction des nuisibles. Face à l’action de l’homme si néfaste à la nature, qui peut considérer une espèce animale comme nuisible ? Franchement ! L’action bénéfique des animaux concernés compense largement les dégâts qu’ils peuvent causer. Je suis donc absolument contre ces arrêtés de destruction cachés sous le terme de régulation."
Défavorable," avis défavorable, le 17 juin 2023 à 22h24","avis défavorable. Laissons la nature s’équilibrer seule,Ce sont les activités humaines qui déséquilibrent le vivant"
Défavorable," Consultation publique/ animaux classé nuisibles , le 17 juin 2023 à 22h24","Consultation publique animaux classé nuisibles . C’est criminel aujourd’hui de vouloir encore autoriser la Tuerie de ces bêtes,Renard, belettes etc ."
Défavorable," Marre du lobby des chasseurs…, le 17 juin 2023 à 22h18","Marre du lobby des chasseurs…. …qui s’autoproclament les seuls ""vrais"" ruraux alors qu’ils ne font que véhiculer leur idéologie mortifère à coups de carabines. Merci d’entendre les autres habitants des campagnes, tout aussi légitimes que ceuxlà et majoritaires car plus nombreux mais soumis au silence de l’omerta des petits villages, qui veulent vivre en harmonie dans les éco-systèmes. Les renards chassent un nombre infini de ""nuisibles"". Ils sont beaux. Ils sont utiles. Nous les aimons et n’aimons pas les chasseurs qui nous privent chaque weed en de notre nature, celle qui n’est pas plus à eux qu’aux autres, qu’ils n’aiment pas plus que les autres sous prétexte qu’ils y relâchent des faisans d’élevage et s’y promènent avec des armes. Quand seronsnous enfin entendus ?"
Défavorable," CONTRE ce projet d’arrêté ESOD, le 17 juin 2023 à 22h38","CONTRE ce projet d’arrêté ESOD. Contre cette logique d’un autre âge. L’homme décide de la vie et de la mort d’espèces qualifiées de nuisibles : mesure-on les dégâts réels ? Au contraire, mesure-on les services rendus par ces espèces (régénération de la végétation, prédations de rongeurs au bénéfice des activités agricoles…) ? Nous avons besoin d’écosystèmes fonctionnels dans lesquels les régulations se font naturellement. Je vois NOMBRE espèces concernées dans le Val d’Oise, le renard, la fouine, le corbeau freux et la corneille noire. Je fais souvent de la randonnée dans ce département, en forêt, et je désespère de voir des êtres vivants, la plupart du temps c’est vide. quelques oiseaux, NOMBRE écureuil de temps en temps, je n’ai jamais vu de fouine, de martre, de belette de ma vie, quel regret. Il y a déjà la pression des pratiques agricoles (pesticides, plus de prairies, de friches, de haies), la pression des chasseurs, n’en rajoutez pas encore et toujours. Nous sommes en phase finale d’un effondrement généralisé de la biodiversité, que voulezvous de plus ?"
Favorable," Favorable, le 17 juin 2023 à 22h39",Favorable. Vu des villes il est mignon le Roy de Wall Disney… mais le matin où vous avez NOMBRE poules de tuées par ce mignon Roy et bien vous le regardez d’un autre œil …
Défavorable," ça veut dire quoi, titre???, le 17 juin 2023 à 22h39","ça veut dire quoi, titre???. Défavorable à cette liste, mais foutons la paix aux animaux, bon sang ! A TOUS les animaux ! Pour qui nous prenons nous???"
Défavorable," Non à la liste ESOD, le 17 juin 2023 à 22h39",Non à la liste ESOD. Halte à l’écocide !!! Laissons la nature se réguler par elle-même et arrêtons de satisfaire les demandes du lobby des chasseurs.
Défavorable," Défavorable à ce projet d’arrêté arbitraire, le 17 juin 2023 à 22h24","Défavorable à ce projet d’arrêté arbitraire. Dans un passé lointain, tous ces animaux trouvaient leur place parmi les êtres humains.,Mais depuis, à force de vouloir à tout prix augmenter les rendements financiers, l’homme a sacrifié la nature et la biodiversité : destruction des haies, utilisation massive de pesticides, agriculture intensive et autres … Et avec tout ça on veut encore faire d’autres massacres !,Où sont les études scientifiques pour démontrer la nuisance de ces ESOD ? ,En revanche, ces derniers apportent une régulation naturelle des espèces.,Une fois ces ESOD exterminés, qui fera leur travail de régulation (élimination des campagnols mulots, oiseaux planteurs, équarrissage…) car l’utilisation des produits chimiques a déjà fait trop de dégâts irréversibles dans le monde et sur l’homme !,Des solutions existent, ils est temps d’y passer. La nature nous le rendra si on sait la respecter."
Indéterminé," J ajoute l homme, le 17 juin 2023 à 22h25","J ajoute l homme. Bonjour,,L’homme fait il parti de la liste des nuisibles ?,Si non, je propose de le mettre en haut de la liste"
Défavorable," Je suis contre la liste des espèces susceptibles d’occasionner des dégâts., le 17 juin 2023 à 22h25","Je suis contre la liste des espèces susceptibles d’occasionner des dégâts.. Établir une liste d’espèces qui contrarient les objectifs économiques de l’espèce humaine, ou pour assouvir l’instinct de domination de cette espèce sur tout le monde vivant? non et NON. Il y a un équilibre naturel qui s’établit sans notre intervention si nous laissons faire. Et chaque espèce animale a son rôle à jouer dans la chaîne du vivant, et est à la fois chasseur et chasser. Il est temps de cesser de décider qui peut vivre et qui doit mourir, alors que tant d’espèces sont menacées ou disparaissent partout."
Défavorable," non au Projet d’arrêté pris pour l’application de l’article R. 427-6 du code de l’environnement et fixant la liste, les périodes et les modalités de destruction des espèces susceptibles d’occasionner des dégâts
, le 17 juin 2023 à 22h25",. il existe aucune données scientifiques prouvant que certaines espèces occasionnent des dégâts et si tel était le cas il existe des méthodes pacifiques pour gérer les problèmes
Défavorable," Liste des espèces nuisibles, le 17 juin 2023 à 22h26",Liste des espèces nuisibles. NON pour l’inscription des corvidés cités sur la prochaine liste des nuisibles:respectons la brillante intelligence de ces oiseaux en nous montrons à leur hauteur.Négocions avec eux !
Défavorable," contre ce massacre organisé, inutile et contre-productif, le 17 juin 2023 à 22h26","contre ce massacre organisé, inutile et contre-productif. le renard se régule tout seul, c’est fou comme la nature fait bien les choses, elle ! Ainsi s’il y a trop de renards sur un territoire, les portées suivantes donneront moins de renardeaux. Le renard mange les campagnols et là où il y a des renards il y a moins de tiques. Chacun a sa place dans la nature, pas besoin que les hommes y mettent leur grain de sel, tout ce que l’homme veut réguler, il le dérégule."
Défavorable," Contre l’arrêté de destruction des renards autres nuisibles., le 17 juin 2023 à 22h29","Contre l’arrêté de destruction des renards autres nuisibles.. Je suis contre cet arrêté car Notre monde est fait de diversités et c’est ce qui fait sa richesse. Si nous n’étions pas si nombreux il y aurait de la place pour toutes les espèces. Dans certains endroits ils ont voulu éradiquer le renard, maintenant ils sont envahis par les mulots. Il ne faut pas oublier que chaque espèces joue un rôle dans notre éco système. Le plus grand pour la nature c’est l’homme."
Favorable," Pour , le 17 juin 2023 à 22h31",Pour . Régulation nécessaire
Défavorable," Contre l’arrêté visant les ESOD, le 17 juin 2023 à 22h32",Contre l’arrêté visant les ESOD. Va-on avoir cet été une même consultation publique sur le prochain arrêté de la liste dite positive des animaux autorisés à la détention et à l’élevage d’agrément ? Va-on tenir compte de tous ces avis défavorables à liste des ESOD ?
Défavorable," Liste des animaux nuisibles, le 17 juin 2023 à 22h38","Liste des animaux nuisibles. Quand l’homme arrêtera til de jouer aux apprentis sorciers ? ,Un peu moins de ceci, un peu plus de cela…oh, flûte, j’ai tout déréglé !"
Défavorable," Stop au massacre , le 17 juin 2023 à 22h38",Stop au massacre . Tous les êtres vivants ont le droit de vivre normalement dans leur milieu naturel. C’est nous qui sommes chez eux !
Défavorable," Contre la destruction des espèces, le 17 juin 2023 à 22h35",Contre la destruction des espèces. Absolument contre cet arrêté de destruction des espèces
Défavorable," Non à l’abattage , le 17 juin 2023 à 22h35","Non à l’abattage . Je m’oppose de manière générale à la destruction illimitée d’espèces animales autochtones. En plus d’être inutiles, ces abattages portent atteinte aux équilibres écosystémiques et sont à l’origine de souffrances eu égard aux modes d’abattage et aux périodes d’abattage autorisées (pièges non sélectifs et mutilants, déterrage pour le renard, abattage en période d’élevage des jeunes, etc.).,,Concernant ce projet en particulier, je demande a minima :,,l’interdiction du déterrage du renard à l’échelle nationale ;,la reconnaissance du rôle bénéfique de toutes les espèces dans les écosystèmes et vis-à-vis des activités humaines ;"
Défavorable," Pour une vraie ecologie, le 17 juin 2023 à 22h37","Pour une vraie écologie. TOUS les animaux sont utiles pour préserver la biodiversité.,Si certains gênent l’être humain, peut-être fautil envisager d’éliminer ce dernier, qui est bel et bien le nuisible dans un écosystème."
Favorable," Favorable , le 17 juin 2023 à 22h07",Favorable . Destruction des nid d’oiseau par les pies. Invasion du corbeau freux dans certaines ville Destruction des poulailler par les renards. Destruction des berges par les ragondin. Fouines qui détruise les isolations des maison.
Défavorable," Contre, le 17 juin 2023 à 22h10","Contre. Je suis contre. Laissez les renards, il y aura alors moins de tiques ! L’étude a déjà été faite. Et laissez le peu d’oiseaux encore vivants en vie ! Ainsi que tous les animaux. Occupezvous de sauvegarder ce qu’il reste de notre planète…"
Défavorable," Qu’on laisse les animaux en paix, le 17 juin 2023 à 22h11","Qu’on laisse les animaux en paix. Pouvonsnous arrêter de nous considérer comme les maîtres du monde en voulant tuer toute espèce qui ""dérange"" ? Je ne vois qu’un nuisible sur terre : l’être humain qui se croit supérieur à toute autre forme de vie, qui détruit, qui ne pense qu’à l’argent et au pouvoir dans sa grande majorité… La beauté d’un renard, d’un blaireau, d’une martre… Si tant est que l’on ait envie de les observer, de les comprendre, ces animaux sont des puits à beauté, ont des émotions, et ont les mêmes souhaits que nous : vivre en paix. Qu’on les respecte et surtout qu’on laisse juste les animaux vivre leur vie !!"
Défavorable," Avis très défavorable, le 17 juin 2023 à 22h12","Avis très défavorable. Non au massacre de ces espèces.,Ces animaux ne sont pas nuisibles, ils ne font que jouer leur rôle dans l’équilibre naturel.,C’est l’homme le plus grand prédateur qui détruit la bio-diversité."
Défavorable," Contre , le 17 juin 2023 à 22h12","Contre . Avis défavorable a ce classement, ces espèces ont leur place dans l’écosystème !"
Défavorable," Laissons les vivre., le 17 juin 2023 à 22h14","Laissons les vivre.. Bonjour, je suis normande, vivant au bord de mer, entre la campagne et l’air salin.,Autour de nous des champs, beaucoup de bœufs qui n’ont le droit de mettre leur museau dehors que du printemps au début de l’automne, le reste du temps enfermés voire enchaînés dans des étables.,Nous avons un beau jardin, dans lequel nous avons planté de nombreuses haies, des petites mares, laissé pousser une prairie pour le bonheur de la biodiversité. Nos enfants de NOMBRE et NOMBRE ans se réjouissent tous les jours de voir nos malignes pies et corneilles ( mais aussi de nombreux moineaux, porte-baïonnette gorges, piverts, pigeons, mésanges, rouge queue, renard en fin de soirée…), venir réclamer des graines, aller se rafraîchir et faire leur toilette à la mare.,Je ne comprends pas et ne pourrais expliquer à mes enfants que ces animaux si beaux et intelligents puissent figurer sur une liste de nuisibles au seul titre qu’ils pourraient commettre des dommages sur les terres agricoles, alors que ces mêmes terres agricoles sont responsables de la disparition des hirondelles qui venaient il y a NOMBRE ans encore nicher et se reproduire sous notre auvent.,Il faut arrêter de marcher sur la tête et penser simplement. ,Un animal, encore moins un oiseau de 80g ne peut être considéré comme nuisible là où nous ne respectons aucune notion de vie sauvage, à plumes ou à poils. Laissons les vivrez, laissons les mulots manger des insectes, laissons les renards manger les mulots, laissons les vivre !!,Vive les poils, vive les plumes, vive les légumes et vive la France"
Défavorable," La nature a ses droits ! , le 17 juin 2023 à 22h07","La nature a ses droits ! . Il faudrait que l’être humain arrête de se croire au dessus de tout et tous. La nature est bien faite et n’a nul besoin de l’homme pour se réguler ! Laissons la nature faire les choses … chaque espèces est importante, nécessaire …"
Défavorable," Contre, le 17 juin 2023 à 22h14",Contre. Le « droit à détruire » des espèces est un non-sens écologique. Les dommages constatés devraient d’abord engendrer des solutions localisées dans l’espace et dans le temps
Favorable," Espèces esod , le 17 juin 2023 à 22h15",Espèces esod . Je suis favorable à la liste et aux modalités de régulation des esod
Favorable," Pour et très favorable , le 17 juin 2023 à 22h15","Pour et très favorable . La nature peut être magnifique que si il elle est contenue avec intelligence. ,Pas comme toutes ces personnes qui se croient mère nature."
Défavorable," Non ! , le 17 juin 2023 à 22h16","Non ! . Stop aux sacrifices d’espèces animales pour assouvir les instincts arriérés de certains hommes. Des libertés de plus accordées aux chasseurs pour empiéter sur la qualité de vie et le la sécurité des personnes ?,Non !"
Défavorable," Contre l’arrêté de destruction des renards et autres « nuisibles », le 17 juin 2023 à 22h03","Contre l’arrêté de destruction des renards et autres « nuisibles ». Bonsoir, alors que tous les scientifiques nous alertent sur la disparition accélérée d’une multitude d’espèces animales (oiseaux, rongeurs, insectes…) des technocrates sûrement influencés par le lobby de la chasse, veulent continuer à détruire des animaux qui sont en grand danger (manque de nourriture d’un aux pesticides, sécheresse, bétonisation, chasse, …). Quel monde veuton laisser à nos enfants ? Un monde où la faune et la flore seront devenues si rares et si fragiles ! L’équilibre naturel et les chaînes alimentaires fonctionnent très bien et non pas besoin que l’humain intervienne pour détruire telle ou telle espèce . C’est aux hommes (soit disant espèce supérieure) à s’adapter à la nature et pas l’inverse !"
Défavorable," Liste des ESOD : la discrimination en action, le 17 juin 2023 à 22h03","Liste des ESOD : la discrimination en action. Je m’oppose de manière générale à la destruction illimitée d’espèces animales autochtones. En plus d’être inutiles, ces abattages portent atteinte aux équilibres écosystémiques et sont à l’origine de souffrances eu égard aux modes d’abattage et aux périodes d’abattage autorisées (pièges non sélectifs et mutilants, déterrage pour le renard, abattage en période d’élevage des jeunes, etc.).,,Je demande :,, l’interdiction du déterrage du renard à l’échelle nationale ;,, la reconnaissance du rôle bénéfique de toutes les espèces dans les écosystèmes et vis-à-vis des activités humaines ;,, une refonte de la procédure de classement qui est une instruction à charge menée par les chasseurs et dont les données sont invérifiables ;,, l’interdiction de tuer ces espèces pour satisfaire les intérêts liés à la chasse,,, la mise en œuvre obligatoire de méthodes alternatives à la destruction pour toutes les espèces,,, un zonage par espèce prenant en compte les dégâts constatés et la présence d’exploitations agricoles, et l’interdiction de tuer ces espèces en dehors des activités sensibles à leur présence.,,Au nom des sans voix, merci de votre attention."
Favorable," « POUR les 420 classements accordés

CONTRE les classements refusés par le ministère.

CONTRE l’Article 3 », le 17 juin 2023 à 22h14","CONTRE l’Article NOMBRE ». « Pour la protection du gibier, la régulation doit se faire surtout en période de reproduction du gibier au printemps et la chasse est fermée à cette époque. Le succès des repeuplements de petit gibier en dépendent »,,« France, les chasseurs sont les seuls à verser au débat des données locales, adaptées aux contextes locaux, les Associations de protection de la nature se contentent seulement de les contester. »,,« La destruction à tir et le piégeage sont tout simplement ceux qui marchent, qui solutionnent les problèmes. Ils sont aussi extrêmement réglementés. »,,« Il a été scientifiquement montré que plus il y a de renards, plus il y a de cas humains d’échinococcose alvéolaire, maladie mortelle. Il faut donc contenir l’augmentation des populations de renards. »,,« L’Échinococcose augmente dans les milieux urbains. Et on dénombre malheureusement des morts »,,« Les corneilles noires qui sont omnivores sont également des prédateurs de la petite faune en période de nidification mais aussi sur les oisillons (passereaux), poussins (galliformes notamment) et certains jeunes mammifères (lapereaux, levrauts …). »,,« Les populations de petites faunes ont considérablement baissé en France et en Meurthe-et-Moselle particulièrement, et ne peuvent plus accepter une hausse des effectifs de leurs prédateurs (au risque de totalement disparaître) d’autant que certains sont protégés (buse variable, chats …). »"
Favorable," « POUR les 420 classements accordés

CONTRE les classements refusés par le ministère.

CONTRE l’Article 3 », le 17 juin 2023 à 22h06","CONTRE l’Article NOMBRE ». « En Meurthe-et-Moselle, la Pie bavarde a été proposée par le Préfet sur l’ensemble du département et que ce classement a été refusé de façon injustifiée par le ministère. Elle fait d’importants dégâts à nos vignes et vergers patrimoniaux »,,« NOMBRE hectares de semis agricoles détruits par les corvidés en NOMBRE en Meurthe-et-Moselle. Les corneilles noires et les freux réalisent de gros dégâts à la période des semis. »,,« Les dégâts de ces espèces ne sont ni indemnisés, ni assurables, ni facilement évitables. Il ne reste donc qu’à les contenir par la régulation des effectifs des espèces en cause »,,« Pour la protection du gibier, la régulation doit se faire surtout en période de reproduction du gibier au printemps et la chasse est fermée à cette époque. Le succès des repeuplements de petit gibier en dépendent »,,« En Meurthe-et-Moselle, comme en France, les chasseurs sont les seuls à verser au débat des données locales, adaptées aux contextes locaux, les Associations de protection de la nature se contentent seulement de les contester. »,,« La destruction à tir et le piégeage sont tout simplement ceux qui marchent, qui solutionnent les problèmes. Ils sont aussi extrêmement réglementés. »,,« Il a été scientifiquement montré que plus il y a de renards, plus il y a de cas humains d’échinococcose alvéolaire, maladie mortelle. Il faut donc contenir l’augmentation des populations de renards. »,,« Dans le Grand Est et en Meurthe-et-Moselle, l’Échinococcose augmente dans les milieux urbains. Et on dénombre malheureusement des morts »,,« Les corneilles noires qui sont omnivores sont également des prédateurs de la petite faune en période de nidification mais aussi sur les oisillons (passereaux), poussins (galliformes notamment) et certains jeunes mammifères (lapereaux, levrauts …). »,,« Les populations de petites faunes ont considérablement baissé en France et en Meurthe-et-Moselle particulièrement, et ne peuvent plus accepter une hausse des effectifs de leurs prédateurs (au risque de totalement disparaître) d’autant que certains sont protégés (buse variable, chats …). »"
Défavorable," Il y a toujours des solutions constructives et respectueuses, surtout pas la chasse ! , le 17 juin 2023 à 22h06","Il y a toujours des solutions constructives et respectueuses, surtout pas la chasse ! . Il est important de souligner que chaque espèce a un rôle précis dans l’écosystème et que la préservation de la biodiversité est essentielle. Plutôt que de chercher à éliminer les nuisibles, comme le renard, classé ESOD, il est préférable d’adopter des approches plus respectueuses de la nature. Voici quelques idées :,,Prévention des dégâts : Au lieu de tuer les renards, il est possible de prendre des mesures pour protéger les zones sensibles. Par exemple, en renforçant les enclos pour les animaux domestiques ou en utilisant des clôtures appropriées autour des poulaillers.,,Encourager la cohabitation : Les renards jouent un rôle important dans la régulation des populations de petits rongeurs. Plutôt que de les éliminer, il peut être bénéfique de trouver des moyens de cohabiter avec eux. Par exemple, en créant des habitats naturels pour les renards afin de les éloigner des zones résidentielles.,,Contrôle des populations : Si une augmentation excessive de la population de renards pose des problèmes, il est possible de mettre en œuvre des programmes de contrôle des naissances ou de stérilisation pour maintenir les populations sous contrôle, plutôt que de recourir à des méthodes létales.,,Sensibilisation et éducation : Informer les communautés locales sur les avantages écologiques des renards et sur les moyens de cohabiter avec eux peut aider à changer les mentalités et à favoriser une approche plus respectueuse envers ces animaux.,,Il est important de trouver un équilibre entre la protection des cultures et des animaux domestiques et le maintien de la biodiversité. En adoptant des approches non létales et respectueuses de la nature, nous pouvons préserver l’équilibre écologique et coexister de manière harmonieuse avec les espèces que nous considérons parfois comme nuisibles.,,Merci d’être là."
Favorable," Favorable , le 17 juin 2023 à 22h04",Favorable . Favorable au maintien de la liste esod pour limiter l’impact sur la petite faune et les animaux de compagnie
Défavorable," Aucune espèce ne doit être considérée comme nuisible. , le 17 juin 2023 à 22h10","Aucune espèce ne doit être considérée comme nuisible. . Non à la régulation des espèces sauvages, classées nuisibles.,Classées d’après des critères beaucoup trop subjectifs, liés principalement aux problèmes du partage de l’espace vital avec l’être humain.,Malgré bip de connaissances acquises sur la biodiversité, l’homme met encore bip d’énergie à vouloir éliminer plutôt qu’à trouver des moyens de se protéger et savoir partager en même temps. Pourtant c’est faisable."
