titre;date;heure;sujet;raw_text;checked_text;lemma;opinion
Avis defavorable;24 mai 2025;06h54;Avis defavorable, le 24 mai 2025 à 06h54;Avis defavorable. Le loup, seul vrai régulateur indispensable à une biodiversite équilibrée et naturelle. Obligation de surveillance des troupeaux par les éleveurs et régulation des du nombre de chasseurs…;Avis défavorable. Le loup, seul vrai régulateur indispensable à une biodiversité équilibrée et naturelle. Obligation de surveillance des troupeaux par les éleveurs et régulation des du nombre de chasseurs…;avis défavorable loup vrai régulateur indispensable biodiversité équilibrer naturel obligation surveillance troupeau éleveur régulation nombre chasseur;
Avis défavorable ;24 mai 2025;12h34;Avis défavorable , le 24 mai 2025 à 12h34;Avis défavorable . Le loup et les grands prédateurs sont des régulateurs de la biodiversité. Notre biodiversité s’effondre depuis cinquante ans à cause de l’activité humaine qui prend le pas systématiquement sur la nature. Notre société détruit ce qui la gène dans son rendement économique. Apprenons le vivre avec plutôt que la destruction systématique. On se plaint des dégâts des cerfs et des sangliers dont les chasseurs portent l’entière responsabilité pour ces derniers alors que l’on sait que la présence de grands prédateurs permet cette régulation. Inspirons nous du retours des vautours alors qu’on les avait exterminés et que l’on a aujourd’hui conscience de leur intérêt dans l’écosystème et pour le tourisme. Chaque animal a sa place dans notre biodiversité et l’avenir de l’homme en dépend;Avis défavorable . Le loup et les grands prédateurs sont des régulateurs de la biodiversité. Notre biodiversité s’effondre depuis cinquante ans à cause de l’activité humaine qui prend le pas systématiquement sur la nature. Notre société détruit ce qui la gène dans son rendement économique. Apprenons le vivre avec plutôt que la destruction systématique. On se plaint des dégâts des cerfs et des sangliers dont les chasseurs portent l’entière responsabilité pour ces derniers alors que l’on sait que la présence de grands prédateurs permet cette régulation. Inspirons nous du retours des vautours alors qu’on les avait exterminés et que l’on a aujourd’hui conscience de leur intérêt dans l’écosystème et pour le tourisme. Chaque animal a sa place dans notre biodiversité et l’avenir de l’homme en dépend;avis défavorable loup grand prédateur régulateur biodiversité biodiversité effondrer an cause activité humain prendre systématiquement nature société détruire gène rendement économique apprendre vivre destruction systématique plaindre dégât cerf sanglier chasseur porter entier responsabilité pour dernier présence grand prédateur régulation inspirer retour vautour exterminer aujourd’hui conscience intérêt écosystème pour tourisme animal place biodiversité avenir homme dépendre;
Avis défavorable ;24 mai 2025;07h05;Avis défavorable , le 24 mai 2025 à 07h05;Avis défavorable . Laissons le loup tranquille garant de la biodiversité. Protégeons les troupeaux.;Avis défavorable . Laissons le loup tranquille garant de la biodiversité. Protégeons les troupeaux.;avis défavorable laisser loup tranquille garant biodiversité protéger troupeau;
Avis défavorable : Le loup doit rester une espèce protégée ;24 mai 2025;07h00;Avis défavorable : Le loup doit rester une espèce protégée , le 24 mai 2025 à 07h00;Avis défavorable : Le loup doit rester une espèce protégée . Contrairement à ce que veulent nous faire croire les éleveurs et chasseurs le loup est en diminution sur notre territoire. Sa disparition entraînerait un déséquilibre dans la faune sauvage en tant que prédateur naturel. Il est plus facile de tenir le loup coupable de tous les maux de la filière ovine et bovine plutôt que de chercher les vraies causes qui sont le résultat de la mondialisation;Avis défavorable : Le loup doit rester une espèce protégée . Contrairement à ce que veulent nous faire croire les éleveurs et chasseurs le loup est en diminution sur notre territoire. Sa disparition entraînerait un déséquilibre dans la faune sauvage en tant que prédateur naturel. Il est plus facile de tenir le loup coupable de tous les maux de la filière ovine et bovine plutôt que de chercher les vraies causes qui sont le résultat de la mondialisation;avis défavorable loup rester espèce protéger contrairement vouloir faire croire éleveur chasseur loup diminution territoire disparition entraîner déséquilibre faune sauvage prédateur naturel facile loup coupable mal filière ovin bovin chercher vrai cause résultat mondialisation;
Le loup;24 mai 2025;09h34;Le loup, le 24 mai 2025 à 09h34;Le loup. Avis défavorable. Il semble que la cohabitation se passe mieux chez nos voisins, pourquoi ne pas étudier leurs solutions ? Partout dans le monde où le loup a été éradiqué, il a été réintroduit car il fait partie de la chaîne alimentaire et sans lui, plus de végétation car les herbivores mangent toutes les jeunes pousses. Si les chasseurs ne prélevaient pas autant de gibier, le loup pourrait se nourrir sans attaquer les troupeaux.;Le loup. Avis défavorable. Il semble que la cohabitation se passe mieux chez nos voisins, pourquoi ne pas étudier leurs solutions ? Partout dans le monde où le loup a été éradiqué, il a été réintroduit car il fait partie de la chaîne alimentaire et sans lui, plus de végétation car les herbivores mangent toutes les jeunes pousses. Si les chasseurs ne prélevaient pas autant de gibier, le loup pourrait se nourrir sans attaquer les troupeaux.;loup avis défavorable cohabitation passe mieux voisin étudier solution partout monde loup été éradiquer été réintroduire partie chaîne alimentaire végétation herbivore manger jeune pousse chasseur prélever autant gibier loup nourrir attaquer troupeau;
défense du pastoralisme;24 mai 2025;11h05;défense du pastoralisme, le 24 mai 2025 à 11h05;défense du pastoralisme. oui, il faut tenter de sauver le pastoralisme, sous toutes ses formes, y compris par le tir, seul moyen efficace, contrairement à quelques idées reçues;défense du pastoralisme. oui, il faut tenter de sauver le pastoralisme, sous toutes ses formes, y compris par le tir, seul moyen efficace, contrairement à quelques idées reçues;défense pastoralisme oui falloir tenter sauver pastoralisme forme tir moyen efficace contrairement idée reçu;
Favorable mais aller plus loin encore;24 mai 2025;07h41;Favorable mais aller plus loin encore, le 24 mai 2025 à 07h41;"Favorable mais aller plus loin encore. Encourageons nos agriculteurs. Aidons les, plutôt que de les obliger à mettre en place des moyens de protection qui les surchargent encore plus de travail ! C’est la catégorie d’actifs qui travaille le plus en France ( NOMBRE à 14h de travail par jour et des nuits aussi pour les naissances,1 semaine de vacances par an ) et nous voudrions encore leur imposer de faire des heures de surveillance des troupeaux jours et nuits toute l’année, d’avoir NOMBRE chien par pré et donc avoir une 15aine de chiens ( dans certaines régions de bocages ) autant dire un élevage de patous en plus des animaux dont ils s’occupent déjà tous les jours, doubler tous leurs près (regions de bocages ) de clôtures NOMBRE fils et tout le travail d’entretien de ces clotures au cours de l’année en plus? Mais n’avons nous pas honte de leur demander ce travail de TITAN ! N’avons nous pas honte de leur faire assumer la gestion du loup? Dans les régions de bocages, ce sont nos agriculteurs qui font les paysages et qui permettent de garder toute une biodiversité grâce à leurs haies et leurs surfaces enherbées, souvent en extensif grâce à la mise en place (contraignantes aussi ) des mesures agroenvironnementales qu’ils choisissent de mettre en place pour le bien justement de l’environnement,pour le bien de tous. La gestion du loup devrait être totalement assumée par les associations pro-loups et l’état, financièrement et physiquement. Arrêtons de demander l’impossible aux agriculteurs, ils vont craquer et abandonerons leur métier…nous n’aurons plus que des friches et les loups…tout n’est pas bon dans la "" nature"". Les exemples donnés des abbruzes et de Yellowstone sont tellement loin de notre problématique française.c’est ridicule. Tres favorable pour toutes mesures en faveur des agriculteurs qui sont des victimes. Le loup est fascinant et surtout malin…et opportuniste…pourquoi aller courir après des sangliers ou des chevreuils alors que de paisibles moutons ou veaux leur sont offerts…Iriez vous chasser avec vos flèches si vous aviez faim plutôt que vous servir dans un garde manger grand ouvert? Cette nature fantasmé est un problème de pays riche dont la population n’a plus la sensation de faim ,ou toute l.alimentation est à profusion dans nos supermarchés. Ne lâchons pas nos agriculteurs, gardons notre indépendance alimentaire en les protegeant";"Favorable mais aller plus loin encore. Encourageons nos agriculteurs. Aidons les, plutôt que de les obliger à mettre en place des moyens de protection qui les surchargent encore plus de travail ! C’est la catégorie d’actifs qui travaille le plus en France ( NOMBRE à 14h de travail par jour et des nuits aussi pour les naissance semaine de vacances par an ) et nous voudrions encore leur imposer de faire des heures de surveillance des troupeaux jours et nuits toute l’année, d’avoir NOMBRE chien par pré et donc avoir une 15aine de chiens ( dans certaines régions de bocages ) autant dire un élevage de patous en plus des animaux dont ils s’occupent déjà tous les jours, doubler tous leurs près (régions de bocages ) de clôtures NOMBRE fils et tout le travail d’entretien de ces clôtures au cours de l’année en plus? Mais n’avons nous pas honte de leur demander ce travail de TITAN ! N’avons nous pas honte de leur faire assumer la gestion du loup? Dans les régions de bocages, ce sont nos agriculteurs qui font les paysages et qui permettent de garder toute une biodiversité grâce à leurs haies et leurs surfaces enherbées, souvent en extensif grâce à la mise en place (contraignantes aussi ) des mesures agrienvironnementales qu’ils choisissent de mettre en place pour le bien justement de l’environnement,pour le bien de tous. La gestion du loup devrait être totalement assumée par les associations pro-loups et l’état, financièrement et physiquement. Arrêtons de demander l’impossible aux agriculteurs, ils vont craquer et abandonnerons leur métier…nous n’aurons plus que des friches et les loups…tout n’est pas bon dans la "" nature"". Les exemples donnés des abruptes et de Yellowstone sont tellement loin de notre problématique française.c’est ridicule. Tres favorable pour toutes mesures en faveur des agriculteurs qui sont des victimes. Le loup est fascinant et surtout malin…et opportuniste…pourquoi aller courir après des sangliers ou des chevreuils alors que de paisibles moutons ou veaux leur sont offerts…Iriez vous chasser avec vos flèches si vous aviez faim plutôt que vous servir dans un garde manger grand ouvert? Cette nature fantasmé est un problème de pays riche dont la population n’a plus la sensation de faim ,ou toute l.alimentation est à profusion dans nos supermarchés. Ne lâchons pas nos agriculteurs, gardons notre indépendance alimentaire en les protégeant";favorable aller loin encourager agriculteur aider obliger mettre place moyen protection surcharger travail catégorie actif travailler nombre 14h travail jour nuit pour naissance semaine vacance an vouloir imposer faire heure surveillance troupeau jour nuit année nombre chien pré 15aine chien région bocage autant élevage patous animal occuper jour doubler région bocage clôturer nombre fils travail entretien clôturer cours année honte demander travail titan honte faire assumer gestion loup région bocage agriculteur paysage permettre garder biodiversité grâce haie surface enherbées extensif grâce mise place contraignant mesure agrienvironnementales choisir mettre place pour bien justement environnement pour bien gestion loup devoir totalement assumer association pro-loups état financièrement physiquement arrêter demander impossible agriculteur craquer abandonner métier avoir friche loup bon nature exemple donner abrupt yellowstone loin problématique française.c’ ridicule favorable pour mesure faveur agriculteur victime loup fascinant malin opportuniste aller courir sanglier chevreuil paisible mouton veau offrir aller chasser flèche avoir faim servir garde manger grand nature fantasmer problème pays riche population sensation faim l.alimentation profusion supermarché lâcher agriculteur gardon indépendance alimentaire protéger;
Non;24 mai 2025;09h34;Non, le 24 mai 2025 à 09h34;Non. Avis défavorable ! Le loup est garant de la biodiversité a droit de vivre. En Italie les bergers réussissent la cohabitation tout simplement en faisant leur job ! Il n’y a pas de bergers NOMBRE ni d’autre façon que d’être présent pour protéger le troupeau ! C’est un travail dur et harassant, mais si noble !! Aimez vos bêtes, protégez les autres lieu d’encaisser primes pour chaque carcasse retrouvée et militer pour l’extinction du loup. Donc, non, non et définitivement NON.;Non. Avis défavorable ! Le loup est garant de la biodiversité a droit de vivre. En Italie les bergers réussissent la cohabitation tout simplement en faisant leur job ! Il n’y a pas de bergers NOMBRE ni d’autre façon que d’être présent pour protéger le troupeau ! C’est un travail dur et harassant, mais si noble !! Aimez vos bêtes, protégez les autres lieu d’encaisser primes pour chaque carcasse retrouvée et militer pour l’extinction du loup. Donc, non, non et définitivement NON.;non avis défavorable loup garant biodiversité droit vivre italie berger réussir cohabitation simplement job berger nombre présent pour protéger troupeau travail dur harassant noble aimer bête protéger lieu encaisser prime pour carcasse retrouver militer pour extinction loup non non définitivement non;
Avis favorable bien sûr il faut tenter de protéger le pastoralisme sous toutes ses formes. ;24 mai 2025;10h25;Avis favorable bien sûr il faut tenter de protéger le pastoralisme sous toutes ses formes. , le 24 mai 2025 à 10h25;Avis favorable bien sûr il faut tenter de protéger le pastoralisme sous toutes ses formes. . Il faut aussi cesser de classer presque systématiquement les attaques sur bovins en « indéterminé » qu’elles soient indemnisables est la moindre des choses mais quel est l’objectif que de ne pas reconnaître clairement que c’est une attaque de loup ?;Avis favorable bien sûr il faut tenter de protéger le pastoralisme sous toutes ses formes. . Il faut aussi cesser de classer presque systématiquement les attaques sur bovins en « indéterminé » qu’elles soient indemnisables est la moindre des choses mais quel est l’objectif que de ne pas reconnaître clairement que c’est une attaque de loup ?;avis favorable bien sûr falloir tenter protéger pastoralisme forme falloir cesser classer presque systématiquement attaquer bovin indéterminé être indemnisables moindre chose objectif reconnaître clairement attaquer loup;
Doublement défavorable;25 mai 2025;19h56;Doublement défavorable, le 25 mai 2025 à 19h56;"Doublement défavorable. Non seulement je suis opposé à ce projet qui n’ a pour objet que de flatter les syndicats extrémistes et violents agricoles dans le cadre d’une régression globale de la protection de l’Environnement , mais en outre , je suis opposé à ce type de ""consultation"" qui est un simulacre d’enquête publique : Pas de publicité préalable tout public, pas de commission d’enquête , pas d’avis indépendant .";"Doublement défavorable. Non seulement je suis opposé à ce projet qui n’ a pour objet que de flatter les syndicats extrémistes et violents agricoles dans le cadre d’une régression globale de la protection de l’Environnement , mais en outre , je suis opposé à ce type de ""consultation"" qui est un simulacre d’enquête publique : Pas de publicité préalable tout public, pas de commission d’enquête , pas d’avis indépendant .";doublement défavorable non opposé projet ne pour objet flatter syndicat extrémiste violent agricole cadre régression global protection environnement opposé typer consultation simulacre enquête public publicité public commission enquête avis indépendant;
Défavorables;25 mai 2025;19h31;Défavorables, le 25 mai 2025 à 19h31;Défavorables. Le pastoralisme est une profession qui comme toutes a des contraintes , en particulier de surveillance permanente du troupeau au détriment, évident , d’un emploi du temps de salarié de bureau . Les revendications actuelles démontrent le non professionnalisme des manifestants qui feraient bien de s’inspirer des pratiques de leurs collègues étrangers. Le loup est un acteur indispensable de l’équilibre naturel. Il n’a pas a faire les frais de clientélisme électoral et globalement, de démagogie envers les lobbies agricoles.;Défavorables. Le pastoralisme est une profession qui comme toutes a des contraintes , en particulier de surveillance permanente du troupeau au détriment, évident , d’un emploi du temps de salarié de bureau . Les revendications actuelles démontrent le non professionnalisme des manifestants qui feraient bien de s’inspirer des pratiques de leurs collègues étrangers. Le loup est un acteur indispensable de l’équilibre naturel. Il n’a pas a faire les frais de clientélisme électoral et globalement, de démagogie envers les lobbies agricoles.;défavorable pastoralisme profession contrainte particulier surveillance permanente troupeau détriment évident emploi temps salarier bureau revendication actuel démontrer non professionnalisme manifestant faire bien inspirer pratique collègue étranger loup acteur indispensable équilibre naturel faire frais clientélisme électoral globalement démagogie lobbies agricole;
Avis défavorable ;25 mai 2025;22h43;Avis défavorable , le 25 mai 2025 à 22h43;Avis défavorable . Il faut protéger les troupeaux plutôt que de tuer pour favoriser toujours les mêmes lobbys.;Avis défavorable . Il faut protéger les troupeaux plutôt que de tuer pour favoriser toujours les mêmes lobbys.;avis défavorable falloir protéger troupeau tuer pour favoriser lobby;
DEFAVORABLE;25 mai 2025;17h27;DEFAVORABLE, le 25 mai 2025 à 17h27;DEFAVORABLE. DEFAVORABLE : A l’état de mettre en place de réelles mesures de protection qui existent et sont efficaces ( encore faut il ouvrir les yeux et aller voir ailleurs ce qu’il se fait ) et d’accompagner les éleveurs à mettre en place ces outils de protection des troupeaux..Il existe des grands spécialistes du loup qui étudient l’art et la manière d faire cohabiter cet ensemble, je pense à Mr Jean Marc LANDRY. En s’accompagnant de telles personnes je pense que l’on peut trouver une autre solution que les tirs.;défavorable. défavorable : A l’état de mettre en place de réelles mesures de protection qui existent et sont efficaces ( encore faut il ouvrir les yeux et aller voir ailleurs ce qu’il se fait ) et d’accompagner les éleveurs à mettre en place ces outils de protection des troupeaux..Il existe des grands spécialistes du loup qui étudient l’art et la manière d faire cohabiter cet ensemble, je pense à Mr Jean Marc LANDRY. En s’accompagnant de telles personnes je pense que l’on peut trouver une autre solution que les tirs.;défavorable défavorable état mettre place réel mesure protection exister efficace falloir ouvrir oeil aller voir ailleurs accompagner éleveur mettre place outil protection troupeau exister grand spécialiste loup étudier art manière d faire cohabiter ensemble mr jean marc landry accompagnant personne trouver solution tir;
Totalement défavorable ;25 mai 2025;23h04;Totalement défavorable , le 25 mai 2025 à 23h04;Totalement défavorable . Le loup a toute sa place sur notre territoire. Le gouvernement doit aider à protéger les troupeaux, tuer ne sert à rien bien au contraire cela aggrave les choses.;Totalement défavorable . Le loup a toute sa place sur notre territoire. Le gouvernement doit aider à protéger les troupeaux, tuer ne sert à rien bien au contraire cela aggrave les choses.;totalement défavorable loup place territoire gouvernement aider protéger troupeau tuer servir rien bien contraire aggraver chose;
Avis favorable ;25 mai 2025;09h58;Avis favorable , le 25 mai 2025 à 09h58;"Avis favorable . Avis favorable au nouveau projet de loi Bien qu’il ne vas pas assez loin, a quand des zones ou il n""a pas lieu d’être";Avis favorable . Avis favorable au nouveau projet de loi Bien qu’il ne vas pas assez loin, a quand des zones ou il na pas lieu d’être;avis favorable avis favorable projet loi bien loin zone lieu;
Défavorable ;25 mai 2025;23h08;Défavorable , le 25 mai 2025 à 23h08;Défavorable . Contre la modification de l’arrêté et contre l’acharnement sur le loup alors que nous devons le protéger plutôt que de chercher à le détruire. C’est une honte.;Défavorable . Contre la modification de l’arrêté et contre l’acharnement sur le loup alors que nous devons le protéger plutôt que de chercher à le détruire. C’est une honte.;défavorable contre modification arrêté contre acharnement loup devoir protéger chercher détruire honte;
Favorable à la modification de l’arrêté ;25 mai 2025;16h14;Favorable à la modification de l’arrêté , le 25 mai 2025 à 16h14;Favorable à la modification de l’arrêté . Le loup n’a pas sa place en France, notre pays est malheureusement trop petit pour supporter ce grand prédateur, nous ne sommes pas en Amérique ni en Russie !!!! C’est tout simplement du bon sens…;Favorable à la modification de l’arrêté . Le loup n’a pas sa place en France, notre pays est malheureusement trop petit pour supporter ce grand prédateur, nous ne sommes pas en Amérique ni en Russie !!!! C’est tout simplement du bon sens…;favorable modification arrêté loup place pays malheureusement trop petit pour supporter grand prédateur sommes amérique russie simplement bon sens;
Défavorable;25 mai 2025;09h59;Défavorable, le 25 mai 2025 à 09h59;Défavorable. Totalement défavorable. Le fait de tirer des loups n’arrange rien aux problèmes, ça les amplifies très souvent ,et les attaques sont bien souvent plus nombreuses ,car les meutes sont désorganisées .Il serait plus intelligent de faire des tirs avec des balles en caoutouch, afin de faire comprendre au loup de ne pas revenir !;Défavorable. Totalement défavorable. Le fait de tirer des loups n’arrange rien aux problèmes, ça les amplifies très souvent ,et les attaques sont bien souvent plus nombreuses ,car les meutes sont désorganisées . Il serait plus intelligent de faire des tirs avec des balles en caoutchouc, afin de faire comprendre au loup de ne pas revenir !;défavorable totalement défavorable tirer loup arranger rien problème amplifier attaquer bien meute désorganiser intelligent faire tir balle caoutchouc faire comprendre loup revenir;
Avis défavorable ;25 mai 2025;23h27;Avis défavorable , le 25 mai 2025 à 23h27;Avis défavorable . Cet acharnement est insupportable, il faut arrêter de massacrer cet animal indispensable à nos forêts et au contraire le protéger.;Avis défavorable . Cet acharnement est insupportable, il faut arrêter de massacrer cet animal indispensable à nos forêts et au contraire le protéger.;avis défavorable acharnement insupportable falloir arrêter massacrer animal indispensable forêt contraire protéger;
Avis défavorable ;25 mai 2025;23h24;Avis défavorable , le 25 mai 2025 à 23h24;Avis défavorable . Contre la modification de cet arrêté. Le loup est le garant de la bonne santé de nos forêts car c’est un excellent régulateur. La clé de la cohabitation c’est la protection des troupeaux qui fonctionne chez nos voisins. Prenons exemple sur eux plutôt que de mettre en danger une population de loups déjà affaiblie.;Avis défavorable . Contre la modification de cet arrêté. Le loup est le garant de la bonne santé de nos forêts car c’est un excellent régulateur. La clé de la cohabitation c’est la protection des troupeaux qui fonctionne chez nos voisins. Prenons exemple sur eux plutôt que de mettre en danger une population de loups déjà affaiblie.;avis défavorable contre modification arrêté loup garant bon santé forêt excellent régulateur clé cohabitation protection troupeau fonctionner voisin prendre exemple mettre danger population loup affaiblir;
Très défavorable ;25 mai 2025;23h18;Très défavorable , le 25 mai 2025 à 23h18;Très défavorable . Non à la modification de l’arrêté, la cohabitation est possible a condition de s’en donner les moyens, l’état doit aider les éleveurs à protéger les troupeaux et arrêter de céder aux lobbys au détriment d’une espèce aujourd’hui menacée et qui devrait être protégée.;Très défavorable . Non à la modification de l’arrêté, la cohabitation est possible a condition de s’en donner les moyens, l’état doit aider les éleveurs à protéger les troupeaux et arrêter de céder aux lobbys au détriment d’une espèce aujourd’hui menacée et qui devrait être protégée.;défavorable non modification arrêté cohabitation condition donner moyen état aider éleveur protéger troupeau arrêter céder lobby détriment espèce aujourd’hui menacer devoir protéger;
Avis défavorable ;25 mai 2025;23h14;Avis défavorable , le 25 mai 2025 à 23h14;Avis défavorable . Contre la modification de l’arrêté qui n’a pour seul but de satisfaire les syndicats agricoles et les éleveurs peu scrupuleux qui ne daignent même pas protéger leurs troupeau car c’est bien plus facile de tirer des loups alors qu’au contraire il faut les protéger.;Avis défavorable . Contre la modification de l’arrêté qui n’a pour seul but de satisfaire les syndicats agricoles et les éleveurs peu scrupuleux qui ne daignent même pas protéger leurs troupeau car c’est bien plus facile de tirer des loups alors qu’au contraire il faut les protéger.;avis défavorable contre modification arrêté pour but satisfaire syndicat agricole éleveur scrupuleux daigner protéger troupeau bien facile tirer loup contraire falloir protéger;
Projet d’arrêté modifiant l’arrêté du 21 février 2024 fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus). Amélioration protection bovins, équins, asins, porcins.;25 mai 2025;07h43;Projet d’arrêté modifiant l’arrêté du 21 février 2024 fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus). Amélioration protection bovins, équins, asins, porcins., le 25 mai 2025 à 07h43;Projet d’arrêté modifiant l’arrêté du NOMBRE février NOMBRE fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus ). Amélioration protection bovins, équins, asins, porcins.. Totalement favorable à ce projet d’arrêté. Celui qui est mis en œuvre actuellement pour les ovins et caprins n’est pas adapté aux autres types d’élevage d’ongulés domestiques. Les conséquences écologiques de la gestion complètement irrationnelle du loup se voient déjà sur certaines espèces. Un seul exemple le tétras-lyre, qui dans certains vallons alpins voit ses prairies de nidification remplacées par la forêt, car les éleveurs ne veulent plus y faire brouter leurs moutons. De plus l’Etat en préconisant le recours systématique aux chiens de protection, accentue ces impacts défavorables. Je parle de la destruction observée de poules couveuses et de nichées des mêmes tétras. On peut évoquer aussi leur prédation sur des populations de marmotte qui est dramatique sur certains massifs alpins. Or la marmotte y est la base de l’alimentation de l’aigle royal. Ses effectifs régressent. Il faudrait aussi évoquer les végétaux montagnards rares, mais les exemples sont trop nombreux pour le faire ici. De plus en plus de naturalistes de terrain constatent ces effets et pensent qu’un enlèvement, qui reste à définir en technique et en nombre des loups, doit être réétudié afin de garantir la préservation de la flore et de la faune alpine pour ne citer qu’elles. Mais aussi le pastoralisme et l’élevage extensif montagnard. Avis favorable à ce projet d’arrêté.;Projet d’arrêté modifiant l’arrêté du NOMBRE février NOMBRE fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus ). Amélioration protection bovins, équins, asins, porcins.. Totalement favorable à ce projet d’arrêté. Celui qui est mis en œuvre actuellement pour les ovins et caprins n’est pas adapté aux autres types d’élevage d’ongulés domestiques. Les conséquences écologiques de la gestion complètement irrationnelle du loup se voient déjà sur certaines espèces. Un seul exemple le tétras-lyre, qui dans certains vallons alpins voit ses prairies de nidification remplacées par la forêt, car les éleveurs ne veulent plus y faire brouter leurs moutons. De plus l’État en préconisant le recours systématique aux chiens de protection, accentue ces impacts défavorables. Je parle de la destruction observée de poules couveuses et de nichées des mêmes tétras. On peut évoquer aussi leur prédation sur des populations de marmotte qui est dramatique sur certains massifs alpins. Or la marmotte y est la base de l’alimentation de l’aigle royal. Ses effectifs régressent. Il faudrait aussi évoquer les végétaux montagnards rares, mais les exemples sont trop nombreux pour le faire ici. De plus en plus de naturalistes de terrain constatent ces effets et pensent qu’un enlèvement, qui reste à définir en technique et en nombre des loups, doit être réétudié afin de garantir la préservation de la flore et de la faune alpine pour ne citer qu’elles. Mais aussi le pastoralisme et l’élevage extensif montagnard. Avis favorable à ce projet d’arrêté.;projet arrêté modifier arrêté nombre février nombre fixer condition limite dérogation interdiction destruction accorder préfet loup canis lupus amélioration protection bovin équin asins porcin totalement favorable projet arrêté mis œuvre actuellement pour ovin caprin adapté typer élevage ongulé domestique conséquence écologique gestion complètement irrationnelle loup voir espèce exemple tétras lyre vallon alpin voir prairie nidification remplacer forêt éleveur vouloir faire brouter mouton état préconiser recours systématique chien protection accentuer impact défavorable destruction observer poule couveuse nicher tétras évoquer prédation population marmotte dramatique massif alpin marmotte base alimentation aigle royal effectif régresser falloir évoquer végétal montagnard rare exemple trop pour faire ici naturaliste terrain constater effet penser enlèvement définir technique nombre loup réétudié garantir préservation flore faune alpin pour citer pastoralisme élevage extensif montagnard avis favorable projet arrêté;
Avis défavorable;25 mai 2025;21h22;Avis défavorable, le 25 mai 2025 à 21h22;Avis défavorable. Je suis défavorable à ce projet d’arrêté qui a pour but de réduire les populations d’une espèce pour laquelle toutes les études scientifiques montrent les bénéfices sur les ecosystèmes qui plus en régulant les populations de sangliers ou de chevreuils jugées trop importantes par les mêmes qui veulent réduire les population de loups. L’état ne devrait pas céder à la FNSEA et la Coordination rurale qui se comportent comme de véritables terroristes.;Avis défavorable. Je suis défavorable à ce projet d’arrêté qui a pour but de réduire les populations d’une espèce pour laquelle toutes les études scientifiques montrent les bénéfices sur les écosystèmes qui plus en régulant les populations de sangliers ou de chevreuils jugées trop importantes par les mêmes qui veulent réduire les population de loups. L’état ne devrait pas céder à la FNSEA et la Coordination rurale qui se comportent comme de véritables terroristes.;avis défavorable défavorable projet arrêté pour but réduire population espèce pour étude scientifique montrer bénéfice écosystème réguler population sanglier chevreuil juger trop important vouloir réduire population loup état devoir céder fnsea coordination rural comporter véritable terroriste;
Avis défavorable !;25 mai 2025;18h54;Avis défavorable !, le 25 mai 2025 à 18h54;Avis défavorable !. Dans le Doubs, des élevages bovins de moyenne montagne sont protégés contre les prédations de loups. Cela fonctionne et cela mérite d’être valorisé. Ils ont une vision sur le long terme alors que vous pensez simplement satisfaire sur le court terme certaines fédérations. Agissons pour l’avenir ! Le vrai courage n’est pas de céder aux plus bruyants mais d’agir pour les générations futures qui vous seront reconnaissantes ! Appuyez vous sur l’expertise des associations qui comprennent le comportement des loups pour mieux anticiper les attaques et conseiller les éleveurs. Même si certains sont anti-loups, il est de leur devoir de se protéger. Merci !;Avis défavorable !. Dans le Doubs, des élevages bovins de moyenne montagne sont protégés contre les prédations de loups. Cela fonctionne et cela mérite d’être valorisé. Ils ont une vision sur le long terme alors que vous pensez simplement satisfaire sur le court terme certaines fédérations. Agissons pour l’avenir ! Le vrai courage n’est pas de céder aux plus bruyants mais d’agir pour les générations futures qui vous seront reconnaissantes ! Appuyez vous sur l’expertise des associations qui comprennent le comportement des loups pour mieux anticiper les attaques et conseiller les éleveurs. Même si certains sont anti-loups, il est de leur devoir de se protéger. Merci !;avis défavorable doubs élevage bovin moyenne montagne protéger contre prédation loup fonctionner mérite valoriser vision long terme penser simplement satisfaire court terme fédération agir pour avenir vrai courage céder bruyant agir pour génération futur reconnaissant appuyer expertise association comprendre comportement loup pour mieux anticiper attaquer conseiller éleveur anti-loups devoir protéger;
