titre;date;heure;sujet;raw_text;checked_text;lemma;Opinion_estimée
Favorable;27 mai 2025;14h59;Favorable, le 27 mai 2025 à 14h59;Favorable. Les tirs de défense constituent le seul moyen de protection, même minimal, pour les bovins ainsi que pour toute autre espèce non protégeable. Il est déjà prouvé que les moyens de protection actuellement disponibles sont inefficaces pour les moutons, et ils le sont donc a fortiori pour les bovins.;Favorable. Les tirs de défense constituent le seul moyen de protection, même minimal, pour les bovins ainsi que pour toute autre espèce non protégeable. Il est déjà prouvé que les moyens de protection actuellement disponibles sont inefficaces pour les moutons, et ils le sont donc a fortiori pour les bovins.;favorable tir défense constituer moyen protection minimal pour bovin pour espèce non protégeable prouver moyen protection actuellement disponible inefficace pour mouton fortiori pour bovin;Favorable
Avis très favorable;27 mai 2025;15h07;Avis très favorable, le 27 mai 2025 à 15h07;Avis très favorable. Présence du loup INCOMPATIBLE avec les activités humaines dans nos petits territoires. c’est l’idéologie d’une minorité qui ne vie pas avec .;Avis très favorable. Présence du loup INCOMPATIBLE avec les activités humaines dans nos petits territoires. c’est l’idéologie d’une minorité qui ne vie pas avec .;avis favorable présence loup incompatible activité humain petit territoire idéologie minorité vie;Favorable
Avis défavorable ;27 mai 2025;16h56;Avis défavorable , le 27 mai 2025 à 16h56;"Avis défavorable . La biodiversité s’effondre déjà partout, le loup est une symbole de cet effondrement. Les moyens de défense contre les attaques existent, et doivent être augmentés, le sur-pastoralisme doit lui être revu à la baisse. Les attaques arrivent aussi car les proies naturelles de canis lupus se raréfient. Le loup reste une espèce protégée, et ce déclassement, et cette volonté de l’erradiquer à nouveau révèlent une volonté de nature ""à la carte"", qui n’est pas en accord avec l’équilibre fragile des écosystèmes. Nous devons faire avec cet animal, comme avec les autres. Le loup régule aussi les cervidés, et permet à la forêt de mieux se régénérer. Chaque espèce est utile, ne l’oublions pas.";"Avis défavorable . La biodiversité s’effondre déjà partout, le loup est une symbole de cet effondrement. Les moyens de défense contre les attaques existent, et doivent être augmentés, le sur-pastoralisme doit lui être revu à la baisse. Les attaques arrivent aussi car les proies naturelles de canis lupus se raréfient. Le loup reste une espèce protégée, et ce déclassement, et cette volonté de l’éradiquer à nouveau révèlent une volonté de nature ""à la carte"", qui n’est pas en accord avec l’équilibre fragile des écosystèmes. Nous devons faire avec cet animal, comme avec les autres. Le loup régule aussi les cervidés, et permet à la forêt de mieux se régénérer. Chaque espèce est utile, ne l’oublions pas.";avis défavorable biodiversité effondrer partout loup symbole effondrement moyen défense contre attaquer exister augmenter sur-pastoralisme revoir baisse attaquer arriver proie naturel canis lupus raréfier loup espèce protéger déclassement volonté éradiquer révéler volonté nature carte accord équilibre fragile écosystème devoir faire animal loup régule cervidé forêt mieux régénérer espèce utile oublier;Défavorable
Avis favorable ;27 mai 2025;17h38;Avis favorable , le 27 mai 2025 à 17h38;Avis favorable . Tout éleveur, dès lors qu’il a fait le nécessaire pour protéger ses animaux doit être autorisé à réaliser des tirs de défense ou en demander. On ne peut pas à la fois être en faveur d’un élevage extensif de plein air pour le bien-être et la qualité des animaux et leur laisser courir un danger de prédation.;Avis favorable . Tout éleveur, dès lors qu’il a fait le nécessaire pour protéger ses animaux doit être autorisé à réaliser des tirs de défense ou en demander. On ne peut pas à la fois être en faveur d’un élevage extensif de plein air pour le bien-être et la qualité des animaux et leur laisser courir un danger de prédation.;avis favorable éleveur nécessaire pour protéger animal autorisé réaliser tir défense demander fois faveur élevage extensif plein air pour bien-être qualité animal courir danger prédation;Favorable
Favorable;27 mai 2025;17h38;Favorable, le 27 mai 2025 à 17h38;"Favorable. Le loup, bien qu’aillant un rôle de régulation à la base, à atteint un nombre d’individu bien trop important pour pouvoir cohabiter avec l’élevage extensif. Les moyens de protection des troupeau étant inefficaces, il est nécessaire de pouvoir dissuader les loup d’approcher les troupeaux avec des tirs. Les loups ne touchant pas aux troupeaux se réguleront eux-mêmes avec les animaux sauvages et leur ""disponibilités"". Ce n’est pas aux éleveurs, qui ont un métier déjà assez difficile de pâtir de la réintroduction du loup.";"Favorable. Le loup, bien qu’aillant un rôle de régulation à la base, à atteint un nombre d’individu bien trop important pour pouvoir cohabiter avec l’élevage extensif. Les moyens de protection des troupeau étant inefficaces, il est nécessaire de pouvoir dissuader les loup d’approcher les troupeaux avec des tirs. Les loups ne touchant pas aux troupeaux se réguleront eux-mêmes avec les animaux sauvages et leur ""disponibilités"". Ce n’est pas aux éleveurs, qui ont un métier déjà assez difficile de pâtir de la réintroduction du loup.";favorable loup bien aillant rôle régulation base atteint nombre individu bien trop important pour pouvoir cohabiter élevage extensif moyen protection troupeau inefficace nécessaire pouvoir dissuader loup approcher troupeau tir loup troupeau réguler animal sauvage disponibilité éleveur métier difficile pâtir réintroduction loup;Favorable
AVIS DEFAVORABLE;27 mai 2025;19h41;AVIS DEFAVORABLE, le 27 mai 2025 à 19h41;"AVIS DEFAVORABLE. Avis défavorable au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup. Les mesures envisagées pour autoriser les tirs sont trop simplistes ; qui va, par exemple, aller vérifier qu’il y a une visite quotidienne aux troupeaux et aller visiter ne sera qu’un constat. Que l’on oblige d’abord les éleveurs à protéger leurs troupeaux la nuit dans des enclos qui tiennent la route, avec des chiens. C’est dans la nature du loup d’attaquer les troupeaux, depuis des millénaires….. Aujourd’hui les troupeaux sont laissés sans surveillance. Le loup est un régulateur et il n’y a qu’à regarder ce qui s’est passé à Yellowstone, le parc s’est régénéré en végétation par la dispersion et la baisse des effectifs de cerfs, sangliers, etc…. Le problème en France c’est que le loup est considéré comme un concurrent des chasseurs et qu’il ne faut surtout pas toucher à leur sacro-saint gibier, même si beaucoup se plaignent des dégâts des sangliers, le garde-manger des chasseurs ! Les autres pays d’Europe ont des mesures moindres sur la destruction du loup, un équilibre est maintenu et les mesures de protection sont meilleures, alors pourquoi ne pas copier en France? A quoi sert l’europe, pourquoi ne pas uniformiser les mesures? Le loup est une espèce protégée et doit vivre comme telle.";"AVIS DÉFAVORABLE. Avis défavorable au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup. Les mesures envisagées pour autoriser les tirs sont trop simplistes ; qui va, par exemple, aller vérifier qu’il y a une visite quotidienne aux troupeaux et aller visiter ne sera qu’un constat. Que l’on oblige d’abord les éleveurs à protéger leurs troupeaux la nuit dans des enclos qui tiennent la route, avec des chiens. C’est dans la nature du loup d’attaquer les troupeaux, depuis des millénaires….. Aujourd’hui les troupeaux sont laissés sans surveillance. Le loup est un régulateur et il n’y a qu’à regarder ce qui s’est passé à Yellowstone, le parc s’est régénéré en végétation par la dispersion et la baisse des effectifs de cerfs, sangliers, etc…. Le problème en France c’est que le loup est considéré comme un concurrent des chasseurs et qu’il ne faut surtout pas toucher à leur sacre-saint gibier, même si beaucoup se plaignent des dégâts des sangliers, le garde-manger des chasseurs ! Les autres pays d’Europe ont des mesures moindres sur la destruction du loup, un équilibre est maintenu et les mesures de protection sont meilleures, alors pourquoi ne pas copier en France? A quoi sert l’Europe, pourquoi ne pas uniformiser les mesures? Le loup est une espèce protégée et doit vivre comme telle.";avis défavorable avis défavorable projet arrêté dérogation interdiction destruction loup mesure envisager pour autoriser tir trop simpliste exemple aller vérifier visiter quotidien troupeau aller visiter constat obliger éleveur protéger troupeau nuit enclos tenir router chien nature loup attaquer troupeau millénaire aujourd’hui troupeau laisser surveillance loup régulateur regarder passé yellowstone parc régénérer végétation dispersion baisse effectif cerf sanglier problème loup considérer concurrent chasseur falloir toucher sacre saint gibier beaucoup plaindre dégât sanglier garde-manger chasseur pays europe mesure destruction loup équilibre maintenir mesure protection meilleur copier servir europe uniformiser mesure loup espèce protéger vivre;Défavorable
défavorable;27 mai 2025;20h17;défavorable, le 27 mai 2025 à 20h17;défavorable. Des moyens de protection existent, ils fonctionnent mis en œuvre par certains contiens du partage de la nature. Il faut obliger à les utiliser. Arrêtez de détruire le Vivant : la biodiversité s’effondre dans l’indifférence générale;défavorable. Des moyens de protection existent, ils fonctionnent mis en œuvre par certains contiens du partage de la nature. Il faut obliger à les utiliser. Arrêtez de détruire le Vivant : la biodiversité s’effondre dans l’indifférence générale;défavorable moyen protection exister fonctionner mis œuvre contenir partage nature falloir obliger utiliser arrêter détruire vivant biodiversité effondrer indifférence générale;Défavorable
Défavorable ;27 mai 2025;20h58;Défavorable , le 27 mai 2025 à 20h58;Défavorable . Comme tout le monde le sait depuis longtemps, des moyens de protection existent et ils fonctionnent. Il faut obliger à les utiliser. Il est vital de protéger le Vivant car la biodiversité s’effondre dans l’indifférence.;Défavorable . Comme tout le monde le sait depuis longtemps, des moyens de protection existent et ils fonctionnent. Il faut obliger à les utiliser. Il est vital de protéger le Vivant car la biodiversité s’effondre dans l’indifférence.;défavorable monde moyen protection exister fonctionner falloir obliger utiliser vital protéger vivant biodiversité effondrer indifférence;Défavorable
Mme;27 mai 2025;21h06;Mme, le 27 mai 2025 à 21h06;Mme. Avis défavorable concernant ce projet;Mme. Avis défavorable concernant ce projet;mme. avis défavorable projet;Défavorable
Avis défavorable ;27 mai 2025;22h21;Avis défavorable , le 27 mai 2025 à 22h21;Avis défavorable . Faciliter les tirs est une grave erreur et la porte ouverte à tous les abus. Les tirs doivent être encadrer et doivent rester l’exception. Le loup est une espèce protégée et doit être défendu et non pas massacré.;Avis défavorable . Faciliter les tirs est une grave erreur et la porte ouverte à tous les abus. Les tirs doivent être encadrer et doivent rester l’exception. Le loup est une espèce protégée et doit être défendu et non pas massacré.;avis défavorable faciliter tir grave erreur porte abus tir encadrer rester exception loup espèce protéger défendu non massacrer;Défavorable
Avis défavorable ;27 mai 2025;22h17;Avis défavorable , le 27 mai 2025 à 22h17;Avis défavorable . Non à la modification de l’arrêté qui n’a pour seul but de satisfaire ceux qui veulent rajouter le loup à leur tableau de chasse. Le loup doit au contraire être protégé car sa survie est menacée.;Avis défavorable . Non à la modification de l’arrêté qui n’a pour seul but de satisfaire ceux qui veulent rajouter le loup à leur tableau de chasse. Le loup doit au contraire être protégé car sa survie est menacée.;avis défavorable non modification arrêté pour but satisfaire vouloir rajouter loup tableau chasse loup contraire protéger survie menacer;Défavorable
Avis défavorable ;27 mai 2025;22h13;Avis défavorable , le 27 mai 2025 à 22h13;Avis défavorable . Stop aux décisions mortifères pour le loup prisent par des bureaucrates bien éloignés du terrain. Quand un troupeau est bien protégé pas d’attaque, ça demande un minimum d’effort c’est peut être ça le problème.;Avis défavorable . Stop aux décisions mortifères pour le loup prisent par des bureaucrates bien éloignés du terrain. Quand un troupeau est bien protégé pas d’attaque, ça demande un minimum d’effort c’est peut être ça le problème.;avis défavorable décision mortifère pour loup priser bureaucrate bien éloigner terrain troupeau bien protéger attaquer demande minimum effort problème;Défavorable
Avis défavorable ;27 mai 2025;22h11;Avis défavorable , le 27 mai 2025 à 22h11;Avis défavorable . Cet acharnement sur le loup est insupportable, il faut les protéger et favoriser la cohabitation avec une protection efficace des troupeaux.;Avis défavorable . Cet acharnement sur le loup est insupportable, il faut les protéger et favoriser la cohabitation avec une protection efficace des troupeaux.;avis défavorable acharnement loup insupportable falloir protéger favoriser cohabitation protection efficace troupeau;Défavorable
Avis Favorable;27 mai 2025;21h51;Avis Favorable, le 27 mai 2025 à 21h51;Avis Favorable. Je suis à NOMBRE d’accord avec le commentaire du NOMBRE mai à . Le loup n’a pas à être soit diabolisé soit sacralisé. Le loup n’est qu’un animal, certes magnifique, comme beaucoup d’autres, mais problématique dans des milieux anthropisés comme l’est la France en NOMBRE . Les éleveurs aiment leurs bêtes, quoi qu’en pensent les soit disant écologistes et défenseurs de la biodiversité. je suis favorable à la définition négociée d’un nombre de loups acceptable par massifs et au tirs des loups attaquant les troupeaux. Les loups qui évitent les troupeaux et ils existent, n’ont pas à être tirés.;Avis Favorable. Je suis à NOMBRE d’accord avec le commentaire du NOMBRE mai à . Le loup n’a pas à être soit diabolisé soit sacralisé. Le loup n’est qu’un animal, certes magnifique, comme beaucoup d’autres, mais problématique dans des milieux anthropisés comme l’est la France en NOMBRE . Les éleveurs aiment leurs bêtes, quoi qu’en pensent les soit disant écologistes et défenseurs de la biodiversité. je suis favorable à la définition négociée d’un nombre de loups acceptable par massifs et au tirs des loups attaquant les troupeaux. Les loups qui évitent les troupeaux et ils existent, n’ont pas à être tirés.;avis favorable nombre accord commentaire nombre mai loup diaboliser sacralisé loup animal magnifique beaucoup problématique milieu anthropisés nombre éleveur aimer bête penser dire écologiste défenseur biodiversité favorable définition négocier nombre loup acceptable massif tir loup attaquant troupeau loup éviter troupeau exister tirer;Favorable
Défavorable ;27 mai 2025;10h40;Défavorable , le 27 mai 2025 à 10h40;Défavorable . Défavorable !!! Incroyable que l’on s’autorise à tuer encore le moindre animal . Le monde de la faune et de la flore sont en train de disparaître et vous vous permettez de tuer le peu de vie qui existe encore . De plus c’est pour protéger soi disant d’autres animaux qui vont être tués par l’homme quelques instants plus tard dans des conditions atroces qui plus est. Quelle hypocrisie quel cynisme Messieurs dames s’il vous reste une once d’humanité et d’intelligence stoppez ce massacre que ce soit sur les animaux sauvages mais aussi stoppez les élevages intensifs et l’exploitation animale en tout genre;Défavorable . Défavorable !!! Incroyable que l’on s’autorise à tuer encore le moindre animal . Le monde de la faune et de la flore sont en train de disparaître et vous vous permettez de tuer le peu de vie qui existe encore . De plus c’est pour protéger soi disant d’autres animaux qui vont être tués par l’homme quelques instants plus tard dans des conditions atroces qui plus est. Quelle hypocrisie quel cynisme Messieurs dames s’il vous reste une once d’humanité et d’intelligence stoppez ce massacre que ce soit sur les animaux sauvages mais aussi stoppez les élevages intensifs et l’exploitation animale en tout genre;défavorable défavorable incroyable autoriser tuer moindre animal monde faune flore train disparaître permettre tuer vie exister pour protéger dire animal tuer homme instant tard condition atroce hypocrisie cynisme monsieur dame once humanité intelligence stopper massacre animal sauvage stopper élevage intensif exploitation animal genre;Défavorable
Le loup est essentiel à l’équilibre naturel;27 mai 2025;10h36;Le loup est essentiel à l’équilibre naturel, le 27 mai 2025 à 10h36;Le loup est essentiel à l’équilibre naturel. Défavorable. Abattre des loups n’est pas une solution et elle va à l’encontre d’un réel apprentissage de la cohabitation entre élevages et faune sauvage.;Le loup est essentiel à l’équilibre naturel. Défavorable. Abattre des loups n’est pas une solution et elle va à l’encontre d’un réel apprentissage de la cohabitation entre élevages et faune sauvage.;loup essentiel équilibre naturel défavorable abattre loup solution encontre réel apprentissage cohabitation élevage faune sauvage;Défavorable
favorable;27 mai 2025;16h02;favorable, le 27 mai 2025 à 16h02;favorable. L’action de tir de défense démontre au loups des limites qu’il prend en compte par expérience.C’est un moyen supplémentaire au autres, prés-cité, important pour maintenir le loup dans une zone adéquat a sa tranquilité,loin du pastoralisme.;favorable. L’action de tir de défense démontre au loups des limites qu’il prend en compte par expérience.C’est un moyen supplémentaire au autres, prés-cité, important pour maintenir le loup dans une zone adéquat a sa tranquillité,loin du pastoralisme.;favorable action tir défense démontrer loup limite prendre compte expérience moyen supplémentaire pré cité important pour maintenir loup zone adéquat tranquillité loin pastoralisme;Favorable
Défavorable;27 mai 2025;09h32;Défavorable, le 27 mai 2025 à 09h32;Défavorable. Il est faux de dire qu’il n’existe pas de moyens de protections efficaces. A partir d’un postulat erroné il est donc facile de justifier ces mesures de régulations des populations de loups. Conséquences en cascade, il n’y a plus de prédateurs, donc on doit aussi réguler les populations d’ongulés et éventuellement des lagomorphes. Il est effectivement plus simple pour les agriculteurs d’éliminer toute concurrence quelque soit les conséquences .;Défavorable. Il est faux de dire qu’il n’existe pas de moyens de protections efficaces. A partir d’un postulat erroné il est donc facile de justifier ces mesures de régulations des populations de loups. Conséquences en cascade, il n’y a plus de prédateurs, donc on doit aussi réguler les populations d’ongulés et éventuellement des lagomorphes. Il est effectivement plus simple pour les agriculteurs d’éliminer toute concurrence quelque soit les conséquences .;défavorable faux exister moyen protection efficace partir postulat erroné facile justifier mesure régulation population loup conséquence cascade prédateur réguler population ongulé éventuellement lagomorphes effectivement simple pour agriculteur éliminer concurrence conséquence;Défavorable
Non !;27 mai 2025;10h08;Non !, le 27 mai 2025 à 10h08;Non !. NOMBRE attaques sur des humains non mortelles en Europe en NOMBRE ans ne nécessite pas d’exterminer les loups ! Source lien ci dessous. Si vous trouvez les loups dangereux, commencez par interdire les chiens et autorisez à les chasser ! https: _URL_ fileadmin fm-wwf Publikationen-PDF Deutschland Report-Wolf-attacks- NOMBRE - NOMBRE .pdf;Non !. NOMBRE attaques sur des humains non mortelles en Europe en NOMBRE ans ne nécessite pas d’exterminer les loups ! Source lien ci dessous. Si vous trouvez les loups dangereux, commencez par interdire les chiens et autorisez à les chasser ! https: _URL_ file admin fm-WWF Publikationen-PDF Deutschland Report-Woolf-attache-ski NOMBRE - NOMBRE PDF;non nombre attaquer humain non mortel europe nombre an nécessiter exterminer loup source lien trouver loup dangereux commencer interdire chien autoriser chasser https url file admin fm wwf publikationen pdf deutschland report woolf attache ski nombre nombre pdf;Défavorable
Non !;27 mai 2025;10h07;Non !, le 27 mai 2025 à 10h07;Non !. NOMBRE attaques sur des humains en Europe en NOMBRE ans ne nécessite pas d’exterminer les loups ! Si vous trouvez les loups dangereux, commencez par interdire les chiens et autorisez à les chasser ! https: _URL_ fileadmin fm-wwf Publikationen-PDF Deutschland Report-Wolf-attacks- NOMBRE - NOMBRE .pdf;Non !. NOMBRE attaques sur des humains en Europe en NOMBRE ans ne nécessite pas d’exterminer les loups ! Si vous trouvez les loups dangereux, commencez par interdire les chiens et autorisez à les chasser ! https: _URL_ file admin fm-WWF Publikationen-PDF Deutschland Report-Woolf-attache-ski NOMBRE - NOMBRE PDF;non nombre attaquer humain europe nombre an nécessiter exterminer loup trouver loup dangereux commencer interdire chien autoriser chasser https url file admin fm wwf publikationen pdf deutschland report woolf attache ski nombre nombre pdf;Défavorable
Favorable;27 mai 2025;09h39;Favorable, le 27 mai 2025 à 09h39;Favorable. Tous les écologiques hurlent avec les loups, il est clair qu’ils n’ont jamais eu de troupeau à protéger. Des loups oui mais raisonnablement;Favorable. Tous les écologiques hurlent avec les loups, il est clair qu’ils n’ont jamais eu de troupeau à protéger. Des loups oui mais raisonnablement;favorable écologique hurler loup clair jamais troupeau protéger loup oui raisonnablement;Favorable
Contre la destruction du loup !;27 mai 2025;09h29;Contre la destruction du loup !, le 27 mai 2025 à 09h29;Contre la destruction du loup !. Une fois encore nos gouvernants obéissent aux lobbies. Les éleveurs doivent pré exemple sur nos voisins qui gèrent la présence du loup sans avoir à le détruire . Le loup est utile dans la biodiversité !;Contre la destruction du loup !. Une fois encore nos gouvernants obéissent aux lobbies. Les éleveurs doivent pré exemple sur nos voisins qui gèrent la présence du loup sans avoir à le détruire . Le loup est utile dans la biodiversité !;contre destruction loup fois gouvernant obéir lobbies éleveur pré exemple voisin gérer présence loup détruire loup utile biodiversité;Défavorable
Pour une gestion  cadrée des loups;27 mai 2025;08h53;Pour une gestion  cadrée des loups, le 27 mai 2025 à 08h53;Pour une gestion cadrée des loups. Je suis pour que les aspects de biodiversité soient pris en compte mais en limitant l’impact des loups sur les activités d’élevage et de partage des milieux naturels en facilitant leur régulation.;Pour une gestion cadrée des loups. Je suis pour que les aspects de biodiversité soient pris en compte mais en limitant l’impact des loups sur les activités d’élevage et de partage des milieux naturels en facilitant leur régulation.;pour gestion cadrer loup pour aspect biodiversité être pris compte limiter impact loup activité élevage partage milieu naturel facilitant régulation;Défavorable
DEFAVORABLE;27 mai 2025;08h32;DEFAVORABLE, le 27 mai 2025 à 08h32;"DEFAVORABLE. Je m’oppose fermement à ce projet d’arrêté visant à assouplir les conditions de destruction du loup. Cette mesure, qui prétend répondre à la détresse de certains éleveurs, fait l’impasse sur la complexité écologique et humaine de la cohabitation avec ce grand prédateur. Le loup est un acteur clé des écosystèmes naturels. Sa présence contribue à l’équilibre des milieux en régulant les populations de grands herbivores, avec des effets positifs bien documentés sur la biodiversité (Ripple et al., NOMBRE ). En fragmentant les meutes par des tirs répétés, on compromet ces équilibres et l’on augmente paradoxalement les risques de prédation sur les troupeaux (Treves et al., NOMBRE ; Santiago-Ávila et al., NOMBRE ). Plutôt que de céder à la facilité de la régulation létale, il est urgent de soutenir les démarches de cohabitation qui fonctionnent. L’association OPPAL en Suisse en est un exemple inspirant : elle forme des chiens de protection, accompagne les éleveurs sur le terrain et installe des dispositifs adaptés à chaque situation. Et ce travail est en grande partie porté par des bénévoles… dont beaucoup sont Français. Ces personnes donnent de leur temps, de leur énergie, parfois même de leurs congés, pour inventer un avenir où élevage et nature sauvage peuvent coexister. Leur investissement mérite reconnaissance et soutien, plutôt que d’être balayé par une logique d’abattage systématique. Plutôt que d’ouvrir la voie à davantage de tirs, investissons dans ces solutions humaines, respectueuses, efficaces à long terme. Soutenons les éleveurs dans leur transition vers des systèmes plus résilients. Et surtout, gardons à l’esprit que la coexistence n’est pas une utopie : c’est une réalité, déjà à l’œuvre, qu’il faut encourager. Pour toutes ces raisons, je m’oppose à ce projet d’arrêté.";"DÉFAVORABLE. Je m’oppose fermement à ce projet d’arrêté visant à assouplir les conditions de destruction du loup. Cette mesure, qui prétend répondre à la détresse de certains éleveurs, fait l’impasse sur la complexité écologique et humaine de la cohabitation avec ce grand prédateur. Le loup est un acteur clé des écosystèmes naturels. Sa présence contribue à l’équilibre des milieux en régulant les populations de grands herbivores, avec des effets positifs bien documentés sur la biodiversité (Triple et al., NOMBRE ). En fragmentant les meutes par des tirs répétés, on compromet ces équilibres et l’on augmente paradoxalement les risques de prédation sur les troupeaux (Trêves et al., NOMBRE ; Santiago-Villa et al., NOMBRE ). Plutôt que de céder à la facilité de la régulation létale, il est urgent de soutenir les démarches de cohabitation qui fonctionnent. L’association OPPAL en Suisse en est un exemple inspirant : elle forme des chiens de protection, accompagne les éleveurs sur le terrain et installe des dispositifs adaptés à chaque situation. Et ce travail est en grande partie porté par des bénévoles… dont beaucoup sont Français. Ces personnes donnent de leur temps, de leur énergie, parfois même de leurs congés, pour inventer un avenir où élevage et nature sauvage peuvent coexister. Leur investissement mérite reconnaissance et soutien, plutôt que d’être balayé par une logique d’abattage systématique. Plutôt que d’ouvrir la voie à davantage de tirs, investissons dans ces solutions humaines, respectueuses, efficaces à long terme. Soutenons les éleveurs dans leur transition vers des systèmes plus résilients. Et surtout, gardons à l’esprit que la coexistence n’est pas une utopie : c’est une réalité, déjà à l’œuvre, qu’il faut encourager. Pour toutes ces raisons, je m’oppose à ce projet d’arrêté.";défavorable opposer fermement projet arrêté viser assouplir condition destruction loup mesure prétendre répondre détresse éleveur impasse complexité écologique humain cohabitation grand prédateur loup acteur clé écosystème naturel présence contribuer équilibre milieu réguler population grand herbivore effet positif bien documenter biodiversité triple al nombre fragmenter meute tir répéter compromettre équilibre augmenter paradoxalement risque prédation troupeau trêve al nombre santiago villa al nombre céder facilité régulation létal urgent soutenir démarcher cohabitation fonctionner association oppal suisse exemple inspirant forme chien protection accompagner éleveur terrain installer dispositif adapter situation travail grand partie porté bénévole beaucoup français personne donner temps énergie congé pour inventer avenir élevage nature sauvage coexister investissement mérite reconnaissance soutien balayer logique abattage systématique ouvrir voie davantage tir investir solution humain respectueux efficace long terme soutenir éleveur transition système résilients gardon esprit coexistence utopie réalité œuvre falloir encourager pour raison opposer projet arrêté;Défavorable
Défavorable ;27 mai 2025;10h15;Défavorable , le 27 mai 2025 à 10h15;Défavorable . Contre les tirs qui ne font que déstabiliser les meutes et augmenter le risque d’attaques sur les troupeaux. Ces grands prédateurs ont un rôle dans l’écosystème, vouloir lutter contre sa présence à tous prix est à la fois spéciste et contreproductif d’un point de vue écologique et sanitaire. Cependant, toujours pas assez d’aide concrète pour les petits éleveurs. Je ne parle pas de tirs mais de réels accompagnements, avec un soutien financier et matériel pour faciliter au mieux cette nouvelle cohabitation, sans mises à mort.;Défavorable . Contre les tirs qui ne font que déstabiliser les meutes et augmenter le risque d’attaques sur les troupeaux. Ces grands prédateurs ont un rôle dans l’écosystème, vouloir lutter contre sa présence à tous prix est à la fois spéciste et contre-productif d’un point de vue écologique et sanitaire. Cependant, toujours pas assez d’aide concrète pour les petits éleveurs. Je ne parle pas de tirs mais de réels accompagnements, avec un soutien financier et matériel pour faciliter au mieux cette nouvelle cohabitation, sans mises à mort.;défavorable contre tir déstabiliser meute augmenter risque attaquer troupeau grand prédateur rôle écosystème vouloir lutter contre présence prix fois spéciste contre-productif point vue écologique sanitaire aide concret pour petit éleveur tir réel accompagnement soutien financier matériel pour faciliter mieux nouveau cohabitation mises mort;Défavorable
DEFAVORABLE;28 mai 2025;17h27;DEFAVORABLE, le 28 mai 2025 à 17h27;DEFAVORABLE. L’état obéit aux lobbies anti-loup plutôt que privilégier les mesures de protection des troupeaux comme cela fonctionne dans d’autres pays. C’est une honte;DÉFAVORABLE. L’état obéit aux lobbies anti-loup plutôt que privilégier les mesures de protection des troupeaux comme cela fonctionne dans d’autres pays. C’est une honte;défavorable état obéir lobbies anti-loup privilégier mesure protection troupeau fonctionner pays honte;Défavorable
Avis défavorable;28 mai 2025;16h10;Avis défavorable, le 28 mai 2025 à 16h10;Avis défavorable. Ce type de mesure nuit aux éleveurs en leur donnant une fausse impression de sécurité alors qu’en fait rien ne permet d’affirmer que l’abattage des loups réduise la prédation. D’autres mesures en revanche sont efficaces. En plus de fragiliser l’écosystème, ce projet est donc une tromperie vis-à-vis des éleveurs.;Avis défavorable. Ce type de mesure nuit aux éleveurs en leur donnant une fausse impression de sécurité alors qu’en fait rien ne permet d’affirmer que l’abattage des loups réduise la prédation. D’autres mesures en revanche sont efficaces. En plus de fragiliser l’écosystème, ce projet est donc une tromperie vis-à-vis des éleveurs.;avis défavorable typer mesure nuit éleveur donnant faux impression sécurité rien affirmer abattage loup réduire prédation mesure revanche efficace fragiliser écosystème projet tromperie vis-à-vis éleveur;Défavorable
Avis défavorable;28 mai 2025;16h10;Avis défavorable, le 28 mai 2025 à 16h10;"Avis défavorable. Avis DEFAVORABLE, dans la mesure où si les conditions du V (à savoir l encadrement sur le plan réglementaire des mesures de réduction de la vulnérabilité des troupeaux ) sont effectivement mises en oeuvre, alors les tirs sur les loups sont inutiles puisque les troupeaux seront protégés. On peut donc protéger efficacement les troupeaux sans pour autant massacrer les loups ! D autant que ces massacres risquent de causer davantage de dégâts, car si la hierarchie de la horde est destabilisée parce que les ""meneurs"" (qui ont l experience de l humain et de sa dangerosité et donc ne se risquent pas à s approcher à ce qui y est lié ) sont tués, alors les plus jeunes risquent de faire n importe quoi par inexperience…";"Avis défavorable. Avis DÉFAVORABLE, dans la mesure où si les conditions du V (à savoir l encadrement sur le plan réglementaire des mesures de réduction de la vulnérabilité des troupeaux ) sont effectivement mises en œuvre, alors les tirs sur les loups sont inutiles puisque les troupeaux seront protégés. On peut donc protéger efficacement les troupeaux sans pour autant massacrer les loups ! D autant que ces massacres risquent de causer davantage de dégâts, car si la hiérarchie de la horde est déstabilisée parce que les ""meneurs"" (qui ont l expérience de l humain et de sa dangerosité et donc ne se risquent pas à s approcher à ce qui y est lié ) sont tués, alors les plus jeunes risquent de faire n importe quoi par inexpérience…";avis défavorable avis défavorable mesure condition v savoir l encadrement plan réglementaire mesure réduction vulnérabilité troupeau effectivement mises œuvre tir loup inutile troupeau protéger protéger efficacement troupeau pour autant massacrer loup d autant massacre risquer causer davantage dégât hiérarchie horde déstabiliser meneur l expérience l humain dangerosité risquer s approcher lié tuer jeune risquer faire ne inexpérience;Défavorable
